# event_ticker=KXATPCHALLENGERMATCH-26MAY21DALCOM
# final_score=7-6(5) 6-4
# score_resolution=6-7 4-6
# match_winner=Tommaso Compagnucci
# fav_player=Enrico Dalla Valle
# dog_player=Tommaso Compagnucci
# kalshi_date=2026-05-21
timestamp,Enrico Dalla Valle,Tommaso Compagnucci
2026-05-21T00:32:00Z,61.00,
2026-05-21T02:17:00Z,58.00,
2026-05-21T03:12:00Z,56.00,
2026-05-21T04:07:00Z,56.00,
2026-05-21T04:44:00Z,56.00,43.00
2026-05-21T05:36:00Z,56.00,43.00
2026-05-21T05:53:00Z,56.00,43.00
2026-05-21T05:58:00Z,56.00,44.00
2026-05-21T07:00:00Z,56.00,43.00
2026-05-21T09:08:00Z,58.00,43.00
2026-05-21T09:57:00Z,58.00,43.00
2026-05-21T10:00:00Z,58.00,43.00
2026-05-21T10:01:00Z,57.00,43.04
2026-05-21T10:13:00Z,56.76,44.00
2026-05-21T10:15:00Z,56.00,44.00
2026-05-21T10:28:00Z,57.00,44.00
2026-05-21T10:46:00Z,57.00,44.00
2026-05-21T10:49:00Z,57.00,44.00
2026-05-21T10:59:00Z,57.00,44.00
2026-05-21T11:14:00Z,57.00,44.00
2026-05-21T11:15:00Z,58.47,41.97
2026-05-21T11:16:00Z,65.18,41.97
2026-05-21T11:18:00Z,67.02,31.33
2026-05-21T11:19:00Z,65.00,31.33
2026-05-21T11:20:00Z,67.00,31.33
2026-05-21T11:21:00Z,72.00,30.00
2026-05-21T11:22:00Z,65.00,32.53
2026-05-21T11:23:00Z,65.00,41.00
2026-05-21T11:24:00Z,58.00,43.00
2026-05-21T11:25:00Z,55.00,45.87
2026-05-21T11:26:00Z,55.00,51.00
2026-05-21T11:27:00Z,51.00,51.00
2026-05-21T11:30:00Z,48.00,51.04
2026-05-21T11:31:00Z,48.00,51.00
2026-05-21T11:32:00Z,50.96,52.09
2026-05-21T11:33:00Z,50.00,52.09
2026-05-21T11:34:00Z,50.90,48.59
2026-05-21T11:35:00Z,61.66,44.67
2026-05-21T11:36:00Z,65.00,44.67
2026-05-21T11:37:00Z,66.95,38.73
2026-05-21T11:38:00Z,66.95,39.00
2026-05-21T11:39:00Z,57.00,44.43
2026-05-21T11:41:00Z,55.00,44.43
2026-05-21T11:42:00Z,55.40,46.10
2026-05-21T11:43:00Z,55.55,45.29
2026-05-21T11:44:00Z,49.39,49.12
2026-05-21T11:45:00Z,49.39,52.00
2026-05-21T11:46:00Z,56.00,46.67
2026-05-21T11:47:00Z,45.57,57.72
2026-05-21T11:48:00Z,45.82,62.30
2026-05-21T11:49:00Z,35.62,64.55
2026-05-21T11:50:00Z,35.80,64.55
2026-05-21T11:51:00Z,30.37,69.78
2026-05-21T11:52:00Z,29.13,72.00
2026-05-21T11:54:00Z,30.00,74.00
2026-05-21T11:55:00Z,32.50,70.03
2026-05-21T11:56:00Z,32.50,70.00
2026-05-21T11:58:00Z,31.00,70.00
2026-05-21T11:59:00Z,30.92,72.00
2026-05-21T12:00:00Z,30.92,72.00
2026-05-21T12:02:00Z,27.82,71.00
2026-05-21T12:03:00Z,31.28,71.00
2026-05-21T12:04:00Z,30.00,70.15
2026-05-21T12:05:00Z,31.00,70.15
2026-05-21T12:06:00Z,34.05,70.15
2026-05-21T12:07:00Z,35.00,64.00
2026-05-21T12:08:00Z,42.82,59.55
2026-05-21T12:09:00Z,47.00,59.55
2026-05-21T12:10:00Z,47.82,54.82
2026-05-21T12:11:00Z,50.96,54.82
2026-05-21T12:12:00Z,48.45,55.65
2026-05-21T12:13:00Z,50.93,55.00
2026-05-21T12:14:00Z,50.69,50.87
2026-05-21T12:15:00Z,51.52,48.33
2026-05-21T12:16:00Z,56.92,45.75
2026-05-21T12:17:00Z,55.96,47.29
2026-05-21T12:18:00Z,51.13,48.00
2026-05-21T12:19:00Z,51.00,50.00
2026-05-21T12:20:00Z,54.94,50.05
2026-05-21T12:21:00Z,55.31,45.70
2026-05-21T12:22:00Z,55.31,50.74
2026-05-21T12:23:00Z,52.50,54.00
2026-05-21T12:24:00Z,53.31,49.85
2026-05-21T12:25:00Z,49.40,50.67
2026-05-21T12:26:00Z,54.84,50.85
2026-05-21T12:27:00Z,52.07,49.00
2026-05-21T12:28:00Z,65.15,42.42
2026-05-21T12:29:00Z,65.15,33.33
2026-05-21T12:30:00Z,59.15,40.22
2026-05-21T12:31:00Z,58.77,43.60
2026-05-21T12:32:00Z,58.00,38.00
2026-05-21T12:33:00Z,66.37,39.72
2026-05-21T12:34:00Z,57.46,44.69
2026-05-21T12:35:00Z,62.00,39.75
2026-05-21T12:36:00Z,55.53,47.02
2026-05-21T12:37:00Z,39.59,59.39
