# event_ticker=KXATPMATCH-25JUL13OFNDZU
# final_score=6-4 6-4
# match_winner=Damir Dzumhur
# fav_player=Damir Dzumhur
# dog_player=Sebastian Ofner
# kalshi_date=2025-07-13
timestamp,Damir Dzumhur,Sebastian Ofner
2025-07-15T00:46:00Z,39.00,
2025-07-15T01:44:00Z,39.00,
2025-07-15T02:07:00Z,39.00,62.00
2025-07-15T04:22:00Z,39.00,62.00
2025-07-15T05:04:00Z,40.00,62.00
2025-07-15T05:36:00Z,40.00,62.00
2025-07-15T06:03:00Z,40.00,62.00
2025-07-15T06:47:00Z,40.00,62.00
2025-07-15T12:11:00Z,79.94,62.00
2025-07-15T13:10:00Z,41.00,62.00
