# event_ticker=KXATPCHALLENGERMATCH-26JUN01SKAGAU
# final_score=4-6 6-4 6-2
# match_winner=Timofey Skatov
# fav_player=Timofey Skatov
# dog_player=Vilius Gaubas
# kalshi_date=2026-06-01
timestamp,Timofey Skatov,Vilius Gaubas
2026-06-01T00:58:00Z,,65.00
2026-06-01T02:08:00Z,,65.00
2026-06-01T02:14:00Z,34.00,65.00
2026-06-01T02:42:00Z,34.00,66.00
2026-06-01T02:43:00Z,34.00,66.00
2026-06-01T02:53:00Z,34.00,66.00
2026-06-01T03:23:00Z,34.00,68.23
2026-06-01T03:27:00Z,34.00,68.00
2026-06-01T04:52:00Z,34.00,65.00
2026-06-01T06:13:00Z,34.00,65.00
2026-06-01T06:22:00Z,34.00,65.00
2026-06-01T07:45:00Z,34.00,65.00
2026-06-01T07:55:00Z,34.00,65.36
2026-06-01T09:48:00Z,34.00,65.00
2026-06-01T09:52:00Z,34.00,66.00
2026-06-01T09:56:00Z,35.00,66.00
2026-06-01T10:04:00Z,35.00,66.00
2026-06-01T10:19:00Z,35.00,66.00
2026-06-01T11:13:00Z,35.00,65.00
2026-06-01T11:23:00Z,35.00,62.15
2026-06-01T11:49:00Z,35.00,64.00
2026-06-01T11:59:00Z,35.00,64.00
2026-06-01T12:05:00Z,35.00,64.00
2026-06-01T12:12:00Z,35.00,64.68
2026-06-01T12:16:00Z,41.07,59.05
2026-06-01T12:17:00Z,40.07,60.81
2026-06-01T12:18:00Z,41.06,59.85
2026-06-01T12:19:00Z,37.00,63.62
2026-06-01T12:20:00Z,37.00,65.00
2026-06-01T12:21:00Z,36.00,65.00
2026-06-01T12:22:00Z,29.82,69.90
2026-06-01T12:23:00Z,25.73,74.93
2026-06-01T12:24:00Z,24.76,75.36
2026-06-01T12:25:00Z,25.78,76.39
2026-06-01T12:26:00Z,25.10,76.58
2026-06-01T12:27:00Z,27.72,74.00
2026-06-01T12:28:00Z,32.41,69.68
2026-06-01T12:29:00Z,35.00,66.00
2026-06-01T12:30:00Z,34.43,66.96
2026-06-01T12:31:00Z,32.06,69.21
2026-06-01T12:32:00Z,34.74,65.26
2026-06-01T12:33:00Z,32.09,66.51
2026-06-01T12:34:00Z,29.72,70.94
2026-06-01T12:35:00Z,33.39,63.15
2026-06-01T12:36:00Z,39.00,61.21
2026-06-01T12:37:00Z,41.25,59.36
2026-06-01T12:38:00Z,40.97,64.98
2026-06-01T12:39:00Z,35.05,63.91
2026-06-01T12:40:00Z,34.18,66.00
2026-06-01T12:41:00Z,35.00,66.00
2026-06-01T12:42:00Z,34.31,66.89
2026-06-01T12:43:00Z,34.88,67.89
2026-06-01T12:44:00Z,27.03,70.00
2026-06-01T12:45:00Z,26.39,72.99
2026-06-01T12:46:00Z,30.28,70.43
2026-06-01T12:47:00Z,30.24,69.42
2026-06-01T12:48:00Z,26.57,72.60
2026-06-01T12:49:00Z,22.42,77.99
2026-06-01T12:50:00Z,20.62,79.05
2026-06-01T12:51:00Z,25.96,76.53
2026-06-01T12:52:00Z,30.44,71.34
2026-06-01T12:53:00Z,26.44,73.49
2026-06-01T12:54:00Z,23.17,77.00
2026-06-01T12:55:00Z,22.57,77.45
2026-06-01T12:56:00Z,20.96,80.84
2026-06-01T12:57:00Z,19.97,81.00
2026-06-01T12:58:00Z,20.00,80.35
2026-06-01T12:59:00Z,20.00,80.00
2026-06-01T13:00:00Z,18.98,82.00
2026-06-01T13:01:00Z,18.00,82.01
2026-06-01T13:02:00Z,18.09,82.35
2026-06-01T13:03:00Z,20.07,81.00
2026-06-01T13:04:00Z,19.39,81.00
2026-06-01T13:05:00Z,17.91,83.00
2026-06-01T13:06:00Z,16.01,83.91
2026-06-01T13:07:00Z,17.97,82.74
2026-06-01T13:08:00Z,21.61,81.33
2026-06-01T13:09:00Z,25.79,74.11
2026-06-01T13:10:00Z,28.42,74.92
2026-06-01T13:11:00Z,34.61,66.00
2026-06-01T13:12:00Z,33.35,66.01
2026-06-01T13:13:00Z,28.98,71.59
2026-06-01T13:14:00Z,23.27,80.23
2026-06-01T13:15:00Z,21.89,80.98
2026-06-01T13:16:00Z,25.03,75.32
2026-06-01T13:17:00Z,21.67,80.58
2026-06-01T13:18:00Z,17.00,84.00
2026-06-01T13:19:00Z,16.88,84.00
2026-06-01T13:20:00Z,16.95,83.74
2026-06-01T13:21:00Z,18.00,81.42
2026-06-01T13:22:00Z,20.40,79.57
2026-06-01T13:23:00Z,18.39,81.95
2026-06-01T13:24:00Z,20.31,81.42
2026-06-01T13:25:00Z,21.69,80.71
2026-06-01T13:26:00Z,20.61,78.27
2026-06-01T13:27:00Z,20.61,81.31
2026-06-01T13:28:00Z,16.63,84.15
