# event_ticker=KXATPCHALLENGERMATCH-26MAY05TOBRIB
# final_score=7-6(2) 7-6(6)
# score_resolution=6-7 6-7
# match_winner=Miguel Tobon
# fav_player=Eduardo Ribeiro
# dog_player=Miguel Tobon
# kalshi_date=2026-05-05
timestamp,Miguel Tobon,Eduardo Ribeiro
2026-05-05T08:20:00Z,35.00,
2026-05-05T09:02:00Z,35.00,64.00
2026-05-05T13:30:00Z,35.00,63.00
2026-05-05T13:35:00Z,35.00,63.00
2026-05-05T14:14:00Z,35.00,64.00
2026-05-05T14:24:00Z,35.00,64.00
2026-05-05T14:33:00Z,35.00,64.00
2026-05-05T14:50:00Z,38.65,64.00
2026-05-05T15:01:00Z,39.00,64.00
2026-05-05T16:34:00Z,38.00,63.00
2026-05-05T16:42:00Z,38.00,63.00
2026-05-05T16:43:00Z,38.00,63.00
2026-05-05T16:44:00Z,38.00,63.00
2026-05-05T16:52:00Z,38.00,63.00
2026-05-05T16:54:00Z,38.00,62.00
2026-05-05T16:55:00Z,38.00,62.00
2026-05-05T16:56:00Z,38.00,62.51
2026-05-05T16:57:00Z,38.98,62.51
2026-05-05T16:59:00Z,38.98,62.00
2026-05-05T17:01:00Z,38.98,63.00
2026-05-05T17:05:00Z,38.98,63.00
2026-05-05T17:08:00Z,39.00,63.00
2026-05-05T17:09:00Z,39.00,63.00
2026-05-05T17:10:00Z,39.00,63.00
2026-05-05T17:15:00Z,39.00,63.00
2026-05-05T17:18:00Z,39.00,63.00
2026-05-05T17:20:00Z,39.00,62.00
2026-05-05T17:25:00Z,39.00,62.44
2026-05-05T17:32:00Z,39.00,63.93
2026-05-05T17:36:00Z,39.00,63.00
2026-05-05T17:39:00Z,39.00,63.98
2026-05-05T17:41:00Z,39.00,64.00
2026-05-05T17:47:00Z,39.00,64.00
2026-05-05T17:49:00Z,39.00,64.00
2026-05-05T17:50:00Z,39.61,64.00
2026-05-05T17:53:00Z,39.00,64.00
2026-05-05T17:54:00Z,39.00,64.00
2026-05-05T17:56:00Z,39.00,64.00
2026-05-05T17:59:00Z,38.00,64.00
2026-05-05T18:03:00Z,38.00,64.00
2026-05-05T18:04:00Z,38.00,64.00
2026-05-05T18:05:00Z,39.67,62.00
2026-05-05T18:06:00Z,42.61,58.00
2026-05-05T18:07:00Z,44.00,57.00
2026-05-05T18:08:00Z,45.79,56.20
2026-05-05T18:09:00Z,44.00,56.10
2026-05-05T18:10:00Z,41.25,56.10
2026-05-05T18:11:00Z,37.34,64.68
2026-05-05T18:12:00Z,37.16,63.03
2026-05-05T18:13:00Z,32.46,67.20
2026-05-05T18:14:00Z,27.12,70.71
2026-05-05T18:15:00Z,27.12,75.73
2026-05-05T18:16:00Z,24.91,78.00
2026-05-05T18:17:00Z,22.00,78.00
2026-05-05T18:18:00Z,24.08,75.00
2026-05-05T18:19:00Z,26.00,75.00
2026-05-05T18:20:00Z,27.19,72.80
2026-05-05T18:21:00Z,30.66,69.80
2026-05-05T18:22:00Z,32.00,67.20
2026-05-05T18:23:00Z,26.61,73.86
2026-05-05T18:24:00Z,23.23,76.41
2026-05-05T18:25:00Z,25.07,75.00
2026-05-05T18:26:00Z,26.00,76.00
2026-05-05T18:27:00Z,22.75,77.71
2026-05-05T18:28:00Z,20.88,79.00
2026-05-05T18:29:00Z,21.55,80.00
2026-05-05T18:30:00Z,22.00,78.81
2026-05-05T18:31:00Z,23.00,78.00
2026-05-05T18:32:00Z,24.46,77.22
2026-05-05T18:33:00Z,31.05,67.56
2026-05-05T18:34:00Z,34.63,65.60
