# event_ticker=KXATPCHALLENGERMATCH-26MAY13VIRMPE
# final_score=2-6 7-5 6-4
# score_resolution=6-2 5-7 4-6
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Otto Virtanen
# dog_player=Giovanni Mpetshi Perricard
# kalshi_date=2026-05-13
timestamp,Otto Virtanen,Giovanni Mpetshi Perricard
2026-05-13T00:44:00Z,,55.00
2026-05-13T02:03:00Z,,55.00
2026-05-13T02:13:00Z,,55.00
2026-05-13T02:14:00Z,,55.00
2026-05-13T02:19:00Z,,55.00
2026-05-13T02:31:00Z,,55.00
2026-05-13T02:32:00Z,,55.00
2026-05-13T02:55:00Z,,55.00
2026-05-13T02:56:00Z,47.00,55.00
2026-05-13T02:59:00Z,47.00,55.00
2026-05-13T03:04:00Z,47.00,55.00
2026-05-13T03:26:00Z,47.00,55.00
2026-05-13T03:32:00Z,47.00,55.00
2026-05-13T03:42:00Z,47.00,55.00
2026-05-13T03:52:00Z,47.00,55.00
2026-05-13T03:57:00Z,47.00,55.00
2026-05-13T04:12:00Z,47.00,54.00
2026-05-13T04:27:00Z,47.00,55.00
2026-05-13T04:29:00Z,47.00,55.00
2026-05-13T04:37:00Z,47.00,55.00
2026-05-13T04:44:00Z,47.00,55.00
2026-05-13T04:46:00Z,47.00,55.00
2026-05-13T04:47:00Z,47.00,55.00
2026-05-13T04:55:00Z,47.00,55.00
2026-05-13T04:58:00Z,47.00,55.00
2026-05-13T05:04:00Z,47.00,56.00
2026-05-13T05:06:00Z,45.00,56.00
2026-05-13T05:09:00Z,45.00,56.00
2026-05-13T05:15:00Z,46.00,56.00
2026-05-13T05:16:00Z,46.00,56.00
2026-05-13T05:21:00Z,46.00,56.00
2026-05-13T05:23:00Z,46.00,55.50
2026-05-13T05:29:00Z,46.00,56.00
2026-05-13T05:39:00Z,45.00,56.00
2026-05-13T05:40:00Z,45.00,55.00
2026-05-13T05:53:00Z,45.00,55.00
2026-05-13T05:55:00Z,45.00,55.00
2026-05-13T05:58:00Z,45.00,55.00
2026-05-13T06:00:00Z,45.00,55.00
2026-05-13T06:07:00Z,46.00,55.00
2026-05-13T06:49:00Z,46.00,55.00
2026-05-13T06:54:00Z,46.00,56.00
2026-05-13T07:22:00Z,46.00,56.00
2026-05-13T07:39:00Z,46.00,56.00
2026-05-13T08:04:00Z,46.00,56.00
2026-05-13T08:14:00Z,46.00,57.00
2026-05-13T08:41:00Z,46.00,57.00
2026-05-13T08:58:00Z,46.00,57.00
2026-05-13T09:02:00Z,46.00,57.00
2026-05-13T09:05:00Z,46.00,56.00
2026-05-13T09:14:00Z,46.00,57.00
2026-05-13T09:34:00Z,46.00,57.00
2026-05-13T09:43:00Z,45.00,57.00
2026-05-13T09:51:00Z,45.00,57.00
2026-05-13T09:53:00Z,45.00,57.00
2026-05-13T09:58:00Z,45.00,57.00
2026-05-13T10:01:00Z,45.00,57.00
2026-05-13T10:05:00Z,45.00,56.00
2026-05-13T10:08:00Z,45.00,57.00
2026-05-13T10:17:00Z,43.00,57.00
2026-05-13T10:18:00Z,43.00,57.00
2026-05-13T10:25:00Z,43.00,57.00
2026-05-13T10:26:00Z,43.00,57.00
2026-05-13T10:29:00Z,43.00,57.00
2026-05-13T10:32:00Z,43.00,56.00
2026-05-13T10:33:00Z,43.00,57.00
2026-05-13T10:36:00Z,43.00,58.00
2026-05-13T10:37:00Z,43.00,56.00
2026-05-13T10:39:00Z,45.00,56.24
2026-05-13T10:40:00Z,54.89,51.15
2026-05-13T10:41:00Z,47.00,51.00
2026-05-13T10:42:00Z,58.92,42.89
2026-05-13T10:43:00Z,64.00,36.00
2026-05-13T10:44:00Z,63.10,35.74
2026-05-13T10:45:00Z,65.83,35.04
2026-05-13T10:46:00Z,65.00,36.97
2026-05-13T10:47:00Z,63.54,36.39
2026-05-13T10:48:00Z,63.00,37.00
2026-05-13T10:49:00Z,64.00,37.00
2026-05-13T10:50:00Z,63.00,39.57
2026-05-13T10:51:00Z,53.92,47.94
2026-05-13T10:52:00Z,59.50,41.05
2026-05-13T10:53:00Z,65.00,36.00
2026-05-13T10:55:00Z,64.00,39.00
2026-05-13T10:56:00Z,64.00,38.18
2026-05-13T10:57:00Z,64.00,38.00
2026-05-13T10:58:00Z,64.00,38.00
2026-05-13T10:59:00Z,64.90,38.00
2026-05-13T11:00:00Z,65.77,36.00
2026-05-13T11:01:00Z,66.33,34.05
2026-05-13T11:02:00Z,70.31,31.00
2026-05-13T11:03:00Z,74.00,28.00
2026-05-13T11:04:00Z,74.99,26.07
2026-05-13T11:05:00Z,75.00,27.00
2026-05-13T11:06:00Z,75.00,26.00
2026-05-13T11:07:00Z,75.00,26.00
2026-05-13T11:08:00Z,75.00,25.05
2026-05-13T11:09:00Z,75.00,21.19
2026-05-13T11:40:00Z,79.00,14.86
2026-05-13T11:41:00Z,79.00,25.99
2026-05-13T11:42:00Z,76.00,27.61
2026-05-13T11:43:00Z,79.16,37.19
2026-05-13T11:44:00Z,79.00,32.90
2026-05-13T11:45:00Z,83.57,30.37
2026-05-13T11:46:00Z,76.00,34.20
2026-05-13T11:47:00Z,55.35,42.00
2026-05-13T11:48:00Z,65.86,73.23
2026-05-13T11:49:00Z,54.57,40.58
2026-05-13T11:50:00Z,43.02,56.59
2026-05-13T11:51:00Z,49.88,56.96
2026-05-13T11:52:00Z,48.88,63.26
2026-05-13T11:53:00Z,49.91,58.80
2026-05-13T11:54:00Z,46.97,59.43
2026-05-13T11:55:00Z,45.05,56.17
2026-05-13T11:56:00Z,49.01,57.28
2026-05-13T11:57:00Z,46.62,57.31
2026-05-13T11:58:00Z,63.95,48.47
2026-05-13T11:59:00Z,62.92,33.17
2026-05-13T12:00:00Z,74.50,24.01
2026-05-13T12:01:00Z,78.21,24.84
2026-05-13T12:02:00Z,79.82,22.54
2026-05-13T12:03:00Z,77.18,23.09
2026-05-13T12:04:00Z,77.25,23.00
2026-05-13T12:05:00Z,77.13,22.83
2026-05-13T12:06:00Z,81.60,17.45
2026-05-13T12:07:00Z,85.09,14.88
2026-05-13T12:08:00Z,88.91,9.44
2026-05-13T12:09:00Z,93.35,4.44
2026-05-13T12:10:00Z,87.51,12.72
2026-05-13T12:11:00Z,88.73,13.08
2026-05-13T12:12:00Z,83.30,18.32
2026-05-13T12:13:00Z,84.41,16.85
2026-05-13T12:14:00Z,90.04,14.20
2026-05-13T12:15:00Z,82.83,18.75
2026-05-13T12:16:00Z,56.40,45.67
2026-05-13T12:17:00Z,44.48,54.67
2026-05-13T12:18:00Z,40.14,62.20
2026-05-13T12:19:00Z,39.91,63.05
2026-05-13T12:20:00Z,36.52,63.72
2026-05-13T12:21:00Z,39.09,62.54
2026-05-13T12:22:00Z,47.29,54.79
2026-05-13T12:23:00Z,50.78,48.97
2026-05-13T12:24:00Z,43.82,57.61
2026-05-13T12:25:00Z,41.33,61.05
2026-05-13T12:26:00Z,34.79,64.23
2026-05-13T12:27:00Z,25.39,79.05
2026-05-13T12:28:00Z,9.40,89.06
2026-05-13T12:29:00Z,1.54,97.76
2026-05-13T12:30:00Z,1.00,99.00
2026-05-13T12:31:00Z,1.00,99.00
2026-05-13T12:32:00Z,1.00,99.00
2026-05-13T12:33:00Z,1.00,99.00
