# event_ticker=KXATPCHALLENGERMATCH-26MAR23WONMEJ
# final_score=7-5 7-6(2)
# score_resolution=7-5 7-6
# match_winner=Nicolas Mejia
# fav_player=Nicolas Mejia
# dog_player=Coleman Wong
# kalshi_date=2026-03-23
timestamp,Nicolas Mejia,Coleman Wong
2026-03-23T22:04:00Z,66.58,34.85
2026-03-23T22:05:00Z,63.73,37.87
2026-03-23T22:06:00Z,61.36,41.17
2026-03-23T22:07:00Z,60.68,44.07
2026-03-23T22:08:00Z,61.93,39.25
2026-03-23T22:09:00Z,65.89,35.54
2026-03-23T22:10:00Z,70.35,32.60
2026-03-23T22:11:00Z,68.86,32.81
2026-03-23T22:12:00Z,67.02,36.65
2026-03-23T22:13:00Z,63.87,37.93
2026-03-23T22:14:00Z,61.42,38.01
2026-03-23T22:15:00Z,60.42,42.55
2026-03-23T22:16:00Z,64.15,35.69
2026-03-23T22:17:00Z,67.41,33.21
2026-03-23T22:18:00Z,67.05,33.86
2026-03-23T22:19:00Z,75.90,25.38
2026-03-23T22:20:00Z,84.22,15.56
2026-03-23T22:21:00Z,91.94,7.29
2026-03-23T22:22:00Z,94.90,5.60
2026-03-23T22:23:00Z,94.43,4.78
2026-03-23T22:24:00Z,96.88,3.85
2026-03-23T22:25:00Z,96.00,4.16
2026-03-23T22:26:00Z,96.00,4.50
2026-03-23T22:27:00Z,96.55,5.19
2026-03-23T22:28:00Z,91.70,6.02
2026-03-23T22:29:00Z,83.45,17.30
2026-03-23T22:30:00Z,81.05,17.27
2026-03-23T22:31:00Z,72.99,28.35
2026-03-23T22:32:00Z,66.02,32.38
2026-03-23T22:33:00Z,62.90,39.79
2026-03-23T22:34:00Z,68.11,36.35
2026-03-23T22:35:00Z,71.26,30.79
2026-03-23T22:36:00Z,72.07,28.51
2026-03-23T22:37:00Z,68.01,33.48
2026-03-23T22:38:00Z,66.22,33.35
2026-03-23T22:39:00Z,66.01,34.73
2026-03-23T22:40:00Z,72.74,30.48
2026-03-23T22:41:00Z,81.23,20.49
2026-03-23T22:42:00Z,84.87,15.46
2026-03-23T22:43:00Z,92.22,6.40
2026-03-23T22:44:00Z,96.45,4.62
2026-03-23T22:45:00Z,98.67,2.15
2026-03-23T22:46:00Z,99.00,1.00
2026-03-23T22:47:00Z,99.00,1.00
2026-03-23T22:48:00Z,99.00,1.00
2026-03-23T22:49:00Z,99.00,1.00
2026-03-23T22:50:00Z,99.00,1.00
2026-03-23T22:51:00Z,99.00,1.00
2026-03-23T22:52:00Z,99.00,1.00
2026-03-23T22:53:00Z,99.00,1.00
