# event_ticker=KXATPCHALLENGERMATCH-26MAY05BALVOE
# final_score=6-4 6-1
# match_winner=Aditya Vishal Balsekar
# fav_player=Aditya Vishal Balsekar
# dog_player=Gray Voelzke
# kalshi_date=2026-05-05
timestamp,Aditya Vishal Balsekar,Gray Voelzke
2026-05-05T04:03:00Z,71.00,29.00
2026-05-05T05:38:00Z,71.00,31.00
2026-05-05T07:30:00Z,71.00,31.00
2026-05-05T07:51:00Z,71.00,31.00
2026-05-05T11:22:00Z,69.00,31.00
2026-05-05T12:42:00Z,69.00,31.00
2026-05-05T13:17:00Z,69.00,32.00
2026-05-05T13:52:00Z,69.00,32.00
2026-05-05T14:22:00Z,69.00,32.00
2026-05-05T14:32:00Z,67.17,32.00
2026-05-05T14:37:00Z,64.00,39.75
2026-05-05T14:38:00Z,63.97,43.41
2026-05-05T14:42:00Z,76.00,32.00
2026-05-05T14:43:00Z,76.00,32.42
2026-05-05T14:45:00Z,76.00,31.00
2026-05-05T14:46:00Z,68.00,31.00
2026-05-05T14:47:00Z,69.00,31.00
2026-05-05T14:48:00Z,70.80,31.59
2026-05-05T14:49:00Z,71.00,31.59
2026-05-05T14:50:00Z,69.00,34.00
2026-05-05T14:51:00Z,70.00,34.00
2026-05-05T14:52:00Z,69.00,34.00
2026-05-05T14:53:00Z,69.00,29.00
2026-05-05T14:56:00Z,69.00,34.00
2026-05-05T14:57:00Z,69.00,32.00
2026-05-05T14:59:00Z,69.00,32.00
2026-05-05T15:00:00Z,72.00,32.00
2026-05-05T15:01:00Z,72.00,30.00
2026-05-05T15:02:00Z,72.00,29.00
2026-05-05T15:03:00Z,72.00,29.58
2026-05-05T15:04:00Z,66.00,36.00
2026-05-05T15:05:00Z,66.43,31.00
2026-05-05T15:06:00Z,72.00,30.00
2026-05-05T15:07:00Z,72.00,30.00
2026-05-05T15:08:00Z,72.00,30.00
2026-05-05T15:09:00Z,67.00,31.00
2026-05-05T15:10:00Z,61.09,31.00
2026-05-05T15:11:00Z,60.00,31.00
2026-05-05T15:12:00Z,58.00,47.59
2026-05-05T15:13:00Z,57.63,44.00
2026-05-05T15:14:00Z,57.61,41.66
2026-05-05T15:15:00Z,66.83,41.66
2026-05-05T15:17:00Z,66.83,35.00
2026-05-05T15:18:00Z,62.89,37.00
2026-05-05T15:19:00Z,67.92,37.00
2026-05-05T15:20:00Z,72.99,37.00
2026-05-05T15:21:00Z,80.88,19.00
2026-05-05T15:22:00Z,78.00,20.53
2026-05-05T15:23:00Z,83.00,17.57
2026-05-05T15:26:00Z,85.00,16.00
2026-05-05T15:27:00Z,86.00,16.00
2026-05-05T15:28:00Z,86.30,13.06
2026-05-05T15:29:00Z,88.00,13.06
2026-05-05T15:30:00Z,88.18,13.06
2026-05-05T15:32:00Z,90.06,7.43
2026-05-05T15:33:00Z,94.72,4.26
2026-05-05T15:34:00Z,96.00,3.02
2026-05-05T15:35:00Z,96.63,3.00
2026-05-05T15:36:00Z,97.00,3.97
2026-05-05T15:37:00Z,95.21,5.41
2026-05-05T15:39:00Z,94.26,6.00
2026-05-05T15:40:00Z,95.00,6.00
2026-05-05T15:41:00Z,95.27,6.00
2026-05-05T15:42:00Z,96.98,4.00
2026-05-05T15:43:00Z,97.00,4.00
2026-05-05T15:45:00Z,97.00,4.87
2026-05-05T15:46:00Z,96.42,5.00
2026-05-05T15:47:00Z,94.71,5.42
2026-05-05T15:48:00Z,95.02,4.00
2026-05-05T15:49:00Z,97.08,3.69
2026-05-05T15:50:00Z,97.12,3.00
2026-05-05T15:51:00Z,98.00,3.41
2026-05-05T15:52:00Z,98.00,2.00
2026-05-05T15:53:00Z,99.00,1.00
2026-05-05T15:55:00Z,99.00,1.00
