# event_ticker=KXATPMATCH-26FEB11OCONOR
# final_score=7-6(9) 6-4
# score_resolution=6-7 4-6
# match_winner=Christopher O'Connell
# fav_player=Cameron Norrie
# dog_player=Christopher O'Connell
# kalshi_date=2026-02-11
timestamp,Cameron Norrie,Christopher O'Connell
2026-02-11T03:21:00Z,76.00,
2026-02-11T03:30:00Z,76.00,
2026-02-11T03:33:00Z,76.00,
2026-02-11T03:44:00Z,76.00,
2026-02-11T03:47:00Z,76.00,
2026-02-11T04:07:00Z,76.98,
2026-02-11T04:08:00Z,77.00,
2026-02-11T04:10:00Z,77.00,
2026-02-11T04:16:00Z,77.00,
2026-02-11T04:17:00Z,77.00,
2026-02-11T04:36:00Z,77.00,
2026-02-11T04:38:00Z,77.00,
2026-02-11T04:42:00Z,77.00,
2026-02-11T04:44:00Z,77.00,
2026-02-11T04:45:00Z,77.00,
2026-02-11T04:58:00Z,77.00,
2026-02-11T05:06:00Z,77.00,
2026-02-11T05:10:00Z,77.00,23.00
2026-02-11T05:13:00Z,77.00,23.00
2026-02-11T05:14:00Z,77.00,24.00
2026-02-11T05:17:00Z,77.00,24.00
2026-02-11T05:26:00Z,77.00,24.00
2026-02-11T05:29:00Z,77.00,24.00
2026-02-11T05:30:00Z,77.00,24.00
2026-02-11T05:34:00Z,77.00,24.00
2026-02-11T05:35:00Z,77.00,24.00
2026-02-11T05:36:00Z,77.00,24.00
2026-02-11T05:37:00Z,77.00,24.00
2026-02-11T05:44:00Z,77.00,24.00
2026-02-11T05:48:00Z,77.00,24.00
2026-02-11T06:01:00Z,77.00,24.00
2026-02-11T06:04:00Z,77.00,24.00
2026-02-11T06:09:00Z,77.00,24.00
2026-02-11T06:10:00Z,77.00,24.00
2026-02-11T06:12:00Z,77.00,24.00
2026-02-11T06:13:00Z,77.00,24.00
2026-02-11T06:16:00Z,77.00,24.00
2026-02-11T06:18:00Z,77.00,24.00
2026-02-11T06:20:00Z,77.00,24.00
2026-02-11T06:24:00Z,77.00,24.00
2026-02-11T06:25:00Z,77.00,24.00
2026-02-11T06:26:00Z,77.00,24.00
2026-02-11T06:27:00Z,77.00,24.00
2026-02-11T06:29:00Z,77.00,24.00
