# event_ticker=KXATPCHALLENGERMATCH-26JUN01SHISWE
# final_score=7-5 7-5
# score_resolution=5-7 5-7
# match_winner=Yuta Shimizu
# fav_player=Dane Sweeny
# dog_player=Yuta Shimizu
# kalshi_date=2026-06-01
timestamp,Yuta Shimizu,Dane Sweeny
2026-06-03T05:26:00Z,,59.00
2026-06-03T07:11:00Z,,58.70
2026-06-03T08:55:00Z,,59.00
2026-06-03T11:57:00Z,,59.78
2026-06-03T12:48:00Z,46.00,59.78
2026-06-03T13:18:00Z,46.00,58.00
2026-06-03T14:08:00Z,46.00,58.00
2026-06-03T14:15:00Z,46.00,58.00
2026-06-03T14:50:00Z,45.00,58.00
2026-06-03T15:05:00Z,45.00,58.00
2026-06-03T15:25:00Z,45.00,58.00
2026-06-03T15:41:00Z,45.00,58.00
2026-06-03T15:42:00Z,45.00,58.00
2026-06-03T16:01:00Z,45.00,56.38
2026-06-03T16:13:00Z,42.00,56.38
2026-06-03T16:26:00Z,42.00,58.00
2026-06-03T17:05:00Z,42.00,58.00
2026-06-03T17:07:00Z,42.00,56.00
2026-06-03T17:08:00Z,42.00,58.52
2026-06-03T17:15:00Z,42.00,60.00
2026-06-03T17:17:00Z,42.00,56.00
2026-06-03T17:18:00Z,51.23,56.00
2026-06-03T17:19:00Z,56.75,46.18
2026-06-03T17:20:00Z,57.98,42.93
2026-06-03T17:21:00Z,58.96,42.25
2026-06-03T17:22:00Z,58.96,50.56
2026-06-03T17:23:00Z,48.00,52.14
2026-06-03T17:24:00Z,46.71,53.52
2026-06-03T17:25:00Z,45.00,55.00
2026-06-03T17:26:00Z,50.30,55.26
2026-06-03T17:27:00Z,45.50,54.10
2026-06-03T17:28:00Z,45.50,54.71
2026-06-03T17:29:00Z,47.00,55.44
2026-06-03T17:30:00Z,42.31,57.74
2026-06-03T17:31:00Z,42.31,58.00
2026-06-03T17:32:00Z,40.43,59.62
2026-06-03T17:33:00Z,43.24,58.00
2026-06-03T17:34:00Z,44.00,56.00
2026-06-03T17:36:00Z,44.00,56.03
2026-06-03T17:37:00Z,41.10,59.00
2026-06-03T17:38:00Z,43.25,57.90
2026-06-03T17:39:00Z,42.00,59.00
2026-06-03T17:40:00Z,42.00,59.00
2026-06-03T17:41:00Z,45.00,55.96
2026-06-03T17:42:00Z,46.00,53.76
2026-06-03T17:43:00Z,43.09,58.61
2026-06-03T17:44:00Z,42.00,59.00
2026-06-03T17:45:00Z,39.17,63.09
