# event_ticker=KXATPCHALLENGERMATCH-26MAR31ROYBUT
# final_score=6-3 7-5
# match_winner=Valentin Royer
# fav_player=Valentin Royer
# dog_player=Edas Butvilas
# kalshi_date=2026-03-31
timestamp,Valentin Royer,Edas Butvilas
2026-04-01T03:10:00Z,,31.00
2026-04-01T03:11:00Z,,30.00
2026-04-01T03:34:00Z,70.00,30.00
2026-04-01T03:35:00Z,70.00,30.00
2026-04-01T03:54:00Z,70.00,30.00
2026-04-01T04:41:00Z,70.00,30.00
2026-04-01T04:50:00Z,70.00,31.00
2026-04-01T04:59:00Z,70.00,31.00
2026-04-01T05:02:00Z,70.00,31.00
2026-04-01T05:08:00Z,70.00,31.00
2026-04-01T05:10:00Z,70.00,31.00
2026-04-01T05:52:00Z,71.00,31.00
2026-04-01T06:03:00Z,71.00,31.00
2026-04-01T06:08:00Z,71.00,31.00
2026-04-01T10:48:00Z,70.00,31.00
2026-04-01T11:49:00Z,70.00,31.00
2026-04-01T11:57:00Z,70.00,32.00
2026-04-01T12:02:00Z,70.57,32.00
2026-04-01T12:04:00Z,71.00,32.00
2026-04-01T12:09:00Z,71.00,32.00
2026-04-01T12:16:00Z,71.00,32.00
2026-04-01T12:17:00Z,70.03,32.00
2026-04-01T12:19:00Z,71.00,32.00
2026-04-01T12:25:00Z,71.00,32.00
2026-04-01T12:27:00Z,71.00,32.00
2026-04-01T12:31:00Z,71.64,32.00
2026-04-01T12:32:00Z,72.00,30.75
2026-04-01T12:33:00Z,72.00,30.00
2026-04-01T12:34:00Z,69.01,30.00
2026-04-01T12:36:00Z,72.20,31.00
2026-04-01T12:37:00Z,72.88,30.00
2026-04-01T12:38:00Z,72.88,29.00
2026-04-01T12:39:00Z,73.00,30.00
2026-04-01T12:40:00Z,75.26,29.81
2026-04-01T12:41:00Z,73.00,28.00
2026-04-01T12:42:00Z,72.27,25.59
2026-04-01T12:43:00Z,74.67,23.66
2026-04-01T12:44:00Z,72.05,26.93
2026-04-01T12:45:00Z,80.70,26.93
2026-04-01T12:46:00Z,81.06,20.00
2026-04-01T12:47:00Z,81.01,19.00
2026-04-01T12:48:00Z,82.75,19.00
2026-04-01T12:49:00Z,84.01,17.96
2026-04-01T12:50:00Z,84.93,16.00
2026-04-01T12:51:00Z,81.00,19.11
2026-04-01T12:52:00Z,82.33,19.11
2026-04-01T12:53:00Z,81.59,22.24
2026-04-01T12:54:00Z,82.68,19.50
2026-04-01T12:55:00Z,84.69,19.24
2026-04-01T12:56:00Z,84.75,15.94
2026-04-01T12:57:00Z,84.40,17.18
2026-04-01T12:58:00Z,84.66,17.09
2026-04-01T12:59:00Z,83.00,18.92
2026-04-01T13:00:00Z,83.07,19.00
2026-04-01T13:01:00Z,85.48,16.76
2026-04-01T13:02:00Z,87.27,14.00
2026-04-01T13:03:00Z,88.00,12.43
