# event_ticker=KXATPMATCH-25JUL30DAVMOU
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Alejandro Davidovich Fokina
# fav_player=Corentin Moutet
# dog_player=Alejandro Davidovich Fokina
# kalshi_date=2025-07-30
timestamp,Corentin Moutet,Alejandro Davidovich Fokina
2025-07-30T12:22:00Z,,59.00
2025-07-30T12:24:00Z,,59.00
2025-07-30T12:27:00Z,45.00,59.00
2025-07-30T12:35:00Z,45.00,59.00
2025-07-30T13:04:00Z,42.00,59.00
2025-07-30T13:51:00Z,42.00,59.00
2025-07-30T14:03:00Z,42.00,59.00
2025-07-30T14:08:00Z,42.00,59.00
2025-07-30T14:15:00Z,42.00,56.00
2025-07-30T14:30:00Z,41.00,56.00
2025-07-30T14:42:00Z,41.00,59.00
2025-07-30T14:47:00Z,41.00,59.00
2025-07-30T14:48:00Z,41.00,59.28
2025-07-30T14:56:00Z,42.13,59.28
2025-07-30T15:50:00Z,42.13,59.00
2025-07-30T15:52:00Z,42.00,59.00
2025-07-30T16:02:00Z,43.00,59.00
2025-07-30T16:13:00Z,43.00,59.00
2025-07-30T18:21:00Z,43.00,59.00
2025-07-30T18:29:00Z,43.00,58.00
2025-07-30T18:30:00Z,43.00,58.00
2025-07-30T18:36:00Z,43.00,58.00
2025-07-30T18:38:00Z,42.00,58.00
2025-07-30T18:45:00Z,42.00,58.00
2025-07-30T18:55:00Z,42.00,58.00
2025-07-30T19:01:00Z,42.00,58.00
2025-07-30T19:04:00Z,42.00,58.00
2025-07-30T19:11:00Z,42.00,59.43
2025-07-30T19:57:00Z,42.00,60.00
2025-07-30T20:00:00Z,42.00,60.00
2025-07-30T20:09:00Z,42.00,59.00
2025-07-30T20:10:00Z,42.00,59.00
2025-07-30T20:14:00Z,42.00,59.00
2025-07-30T20:19:00Z,42.00,59.72
2025-07-30T20:33:00Z,42.00,60.32
2025-07-30T20:37:00Z,42.00,60.99
2025-07-30T20:40:00Z,42.00,61.00
2025-07-30T20:42:00Z,42.00,61.00
2025-07-30T20:45:00Z,42.00,60.97
2025-07-30T20:50:00Z,40.00,60.97
2025-07-30T20:55:00Z,40.00,60.00
2025-07-30T20:57:00Z,40.00,61.00
2025-07-30T20:58:00Z,40.00,61.00
2025-07-30T21:00:00Z,40.00,61.00
2025-07-30T21:01:00Z,40.00,61.00
2025-07-30T21:03:00Z,40.00,61.00
2025-07-30T21:06:00Z,40.00,61.00
2025-07-30T21:07:00Z,40.00,61.00
2025-07-30T21:09:00Z,40.00,61.00
2025-07-30T21:17:00Z,40.00,61.00
2025-07-30T21:18:00Z,40.00,61.00
2025-07-30T21:22:00Z,40.00,61.00
2025-07-30T21:26:00Z,40.00,61.00
2025-07-30T21:30:00Z,42.00,60.00
2025-07-30T21:31:00Z,42.00,60.67
2025-07-30T21:33:00Z,42.00,61.00
2025-07-30T21:37:00Z,42.00,61.00
2025-07-30T21:40:00Z,42.00,62.00
2025-07-30T21:41:00Z,42.00,62.00
2025-07-30T21:42:00Z,42.00,62.00
2025-07-30T21:45:00Z,41.00,61.00
2025-07-30T21:46:00Z,45.00,57.00
2025-07-30T21:47:00Z,48.00,57.50
2025-07-30T21:48:00Z,48.00,59.99
2025-07-30T21:49:00Z,44.00,59.99
2025-07-30T21:51:00Z,44.00,60.60
2025-07-30T21:52:00Z,44.03,56.00
2025-07-30T21:53:00Z,44.03,56.00
2025-07-30T21:54:00Z,48.00,56.00
2025-07-30T21:55:00Z,48.00,55.00
2025-07-30T21:56:00Z,50.00,52.00
2025-07-30T21:57:00Z,50.00,51.00
2025-07-30T21:58:00Z,51.00,57.00
2025-07-30T21:59:00Z,51.00,59.99
2025-07-30T22:00:00Z,42.96,57.00
2025-07-30T22:01:00Z,42.96,62.00
2025-07-30T22:02:00Z,42.00,62.00
2025-07-30T22:03:00Z,43.00,57.58
2025-07-30T22:04:00Z,49.00,57.58
2025-07-30T22:05:00Z,46.00,55.00
2025-07-30T22:06:00Z,41.00,66.99
2025-07-30T22:07:00Z,39.98,65.00
2025-07-30T22:09:00Z,39.98,58.00
2025-07-30T22:11:00Z,47.00,53.00
2025-07-30T22:13:00Z,50.99,54.00
2025-07-30T22:15:00Z,45.00,54.02
2025-07-30T22:16:00Z,40.00,73.11
2025-07-30T22:17:00Z,39.00,64.00
2025-07-30T22:18:00Z,47.06,64.00
2025-07-30T22:19:00Z,38.00,64.00
2025-07-30T22:20:00Z,34.00,73.10
2025-07-30T22:21:00Z,26.00,73.10
2025-07-30T22:22:00Z,26.00,74.00
2025-07-30T22:23:00Z,26.00,77.55
2025-07-30T22:25:00Z,26.00,81.00
2025-07-30T22:26:00Z,54.58,80.00
