# event_ticker=KXATPMATCH-25OCT11DJOVAC
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Valentin Vacherot
# fav_player=Novak Djokovic
# dog_player=Valentin Vacherot
# kalshi_date=2025-10-11
timestamp,Novak Djokovic,Valentin Vacherot
2025-10-10T22:48:00Z,,22.22
2025-10-10T22:51:00Z,86.00,22.22
2025-10-10T22:53:00Z,85.00,28.57
2025-10-10T22:54:00Z,84.00,20.29
2025-10-10T22:55:00Z,84.00,15.00
2025-10-10T22:57:00Z,84.00,15.00
2025-10-10T22:59:00Z,84.00,15.00
2025-10-10T23:00:00Z,87.00,15.00
2025-10-10T23:02:00Z,87.00,15.00
2025-10-10T23:07:00Z,87.00,15.00
2025-10-10T23:11:00Z,87.00,15.00
2025-10-10T23:14:00Z,87.00,15.00
2025-10-10T23:15:00Z,87.00,14.43
2025-10-10T23:16:00Z,87.00,14.98
2025-10-10T23:17:00Z,87.00,14.67
2025-10-10T23:18:00Z,87.00,14.86
2025-10-10T23:19:00Z,87.00,14.64
2025-10-10T23:20:00Z,87.00,14.90
2025-10-10T23:21:00Z,87.00,14.96
2025-10-10T23:22:00Z,87.00,14.67
2025-10-10T23:23:00Z,87.00,14.00
2025-10-10T23:24:00Z,86.00,14.67
2025-10-10T23:25:00Z,86.00,14.75
2025-10-10T23:27:00Z,86.00,15.00
2025-10-10T23:28:00Z,86.00,15.00
2025-10-10T23:29:00Z,86.00,15.00
2025-10-10T23:30:00Z,86.00,15.00
2025-10-10T23:32:00Z,86.00,15.00
2025-10-10T23:33:00Z,86.00,14.83
2025-10-10T23:34:00Z,86.00,15.00
2025-10-10T23:35:00Z,86.00,14.00
2025-10-10T23:36:00Z,86.00,14.00
2025-10-10T23:39:00Z,86.00,15.00
2025-10-10T23:40:00Z,86.00,15.00
2025-10-10T23:41:00Z,86.00,14.99
2025-10-10T23:42:00Z,86.00,14.00
2025-10-10T23:43:00Z,86.00,15.00
2025-10-10T23:44:00Z,86.00,15.00
2025-10-10T23:45:00Z,86.00,15.00
2025-10-10T23:46:00Z,86.00,15.00
2025-10-10T23:48:00Z,86.00,15.00
2025-10-10T23:50:00Z,86.00,15.00
2025-10-10T23:52:00Z,86.00,15.00
2025-10-10T23:54:00Z,86.00,15.00
2025-10-10T23:57:00Z,86.00,15.00
2025-10-11T00:01:00Z,86.00,15.00
2025-10-11T00:02:00Z,86.00,14.99
2025-10-11T00:03:00Z,86.00,15.00
2025-10-11T00:05:00Z,86.00,15.00
2025-10-11T00:07:00Z,86.00,15.00
2025-10-11T00:08:00Z,86.00,15.00
2025-10-11T00:09:00Z,86.00,15.00
2025-10-11T00:13:00Z,86.00,15.00
2025-10-11T00:14:00Z,86.00,15.00
2025-10-11T00:16:00Z,86.00,15.00
2025-10-11T00:18:00Z,86.00,15.00
2025-10-11T00:19:00Z,86.00,15.00
2025-10-11T00:21:00Z,86.00,15.00
