# event_ticker=KXATPCHALLENGERMATCH-26APR07HUECAS
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Hernan Casanova
# fav_player=Connor Huertas Del Pino
# dog_player=Hernan Casanova
# kalshi_date=2026-04-07
timestamp,Connor Huertas Del Pino,Hernan Casanova
2026-04-07T09:08:00Z,38.00,
2026-04-07T09:10:00Z,37.00,
2026-04-07T15:12:00Z,38.57,
2026-04-07T15:15:00Z,39.00,
2026-04-07T15:26:00Z,38.00,
2026-04-07T15:49:00Z,38.00,
2026-04-07T16:34:00Z,38.37,
2026-04-07T16:51:00Z,39.00,
2026-04-07T17:11:00Z,39.00,66.00
2026-04-07T17:28:00Z,39.00,66.00
2026-04-07T17:31:00Z,39.00,66.00
2026-04-07T17:36:00Z,35.00,66.00
2026-04-07T17:39:00Z,35.00,66.00
2026-04-07T17:40:00Z,40.00,66.00
2026-04-07T17:42:00Z,40.00,66.00
2026-04-07T17:43:00Z,35.00,66.00
2026-04-07T17:47:00Z,35.00,66.00
2026-04-07T17:52:00Z,35.00,66.00
2026-04-07T17:55:00Z,35.00,66.71
2026-04-07T17:57:00Z,35.00,66.00
2026-04-07T17:59:00Z,35.00,66.00
2026-04-07T18:02:00Z,44.37,59.00
2026-04-07T18:04:00Z,39.00,59.00
2026-04-07T18:06:00Z,39.00,59.00
2026-04-07T18:09:00Z,39.00,59.00
2026-04-07T18:10:00Z,39.00,62.00
2026-04-07T18:11:00Z,60.42,62.00
2026-04-07T18:12:00Z,62.87,60.25
2026-04-07T18:13:00Z,34.09,68.62
2026-04-07T18:15:00Z,44.50,68.62
2026-04-07T18:17:00Z,44.50,75.00
2026-04-07T18:18:00Z,43.00,75.00
2026-04-07T18:19:00Z,43.81,75.00
2026-04-07T18:20:00Z,44.00,75.00
2026-04-07T18:22:00Z,43.65,75.00
2026-04-07T18:23:00Z,42.25,67.00
2026-04-07T18:24:00Z,26.25,67.00
2026-04-07T18:25:00Z,26.29,76.79
2026-04-07T18:26:00Z,45.89,61.46
2026-04-07T18:27:00Z,45.76,55.52
2026-04-07T18:28:00Z,58.80,47.19
2026-04-07T18:29:00Z,44.35,58.16
2026-04-07T18:30:00Z,40.00,62.97
2026-04-07T18:31:00Z,41.18,76.45
2026-04-07T18:32:00Z,25.00,77.70
2026-04-07T18:33:00Z,27.33,79.19
2026-04-07T18:35:00Z,27.33,68.62
2026-04-07T18:36:00Z,39.35,69.32
2026-04-07T18:37:00Z,39.35,69.11
2026-04-07T18:38:00Z,39.35,70.00
2026-04-07T18:39:00Z,39.35,69.00
2026-04-07T18:40:00Z,39.35,67.00
2026-04-07T18:41:00Z,29.67,65.47
2026-04-07T18:42:00Z,29.67,72.40
2026-04-07T18:43:00Z,26.80,80.53
2026-04-07T18:44:00Z,24.59,76.20
2026-04-07T18:45:00Z,19.00,76.72
2026-04-07T18:46:00Z,20.03,78.89
2026-04-07T18:47:00Z,16.40,88.53
2026-04-07T18:48:00Z,14.91,89.10
2026-04-07T18:49:00Z,12.17,92.24
2026-04-07T18:50:00Z,14.06,91.59
2026-04-07T18:51:00Z,15.70,85.60
2026-04-07T18:52:00Z,18.65,84.00
2026-04-07T18:53:00Z,18.74,83.21
2026-04-07T18:54:00Z,19.00,83.00
2026-04-07T18:55:00Z,19.19,84.07
2026-04-07T18:56:00Z,18.87,82.42
2026-04-07T18:57:00Z,18.12,84.84
2026-04-07T18:58:00Z,24.88,82.62
2026-04-07T18:59:00Z,20.30,82.60
2026-04-07T19:00:00Z,20.00,82.10
2026-04-07T19:01:00Z,22.45,82.00
2026-04-07T19:02:00Z,27.48,79.87
2026-04-07T19:03:00Z,23.87,77.33
2026-04-07T19:04:00Z,26.85,75.56
2026-04-07T19:05:00Z,27.61,76.45
2026-04-07T19:06:00Z,30.05,79.08
2026-04-07T19:07:00Z,23.14,78.34
2026-04-07T19:08:00Z,23.50,79.00
2026-04-07T19:09:00Z,20.40,81.06
2026-04-07T19:10:00Z,16.23,85.91
2026-04-07T19:11:00Z,16.36,85.02
2026-04-07T19:12:00Z,16.73,83.44
2026-04-07T19:13:00Z,15.12,87.63
2026-04-07T19:14:00Z,11.42,93.42
2026-04-07T19:15:00Z,2.71,95.10
2026-04-07T19:16:00Z,4.63,95.59
2026-04-07T19:17:00Z,5.36,95.88
2026-04-07T19:18:00Z,5.65,95.67
2026-04-07T19:19:00Z,3.27,98.40
2026-04-07T19:20:00Z,1.68,98.14
2026-04-07T19:21:00Z,2.09,99.00
2026-04-07T19:22:00Z,1.29,99.00
2026-04-07T19:23:00Z,1.00,99.00
2026-04-07T19:24:00Z,1.00,99.00
2026-04-07T19:25:00Z,1.00,99.00
2026-04-07T19:29:00Z,1.00,99.00
2026-04-07T19:30:00Z,1.00,99.00
2026-04-07T19:32:00Z,1.00,99.00
