# event_ticker=KXATPMATCH-26MAR20NAVVAC
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Valentin Vacherot
# fav_player=Mariano Navone
# dog_player=Valentin Vacherot
# kalshi_date=2026-03-20
timestamp,Mariano Navone,Valentin Vacherot
2026-03-20T14:28:00Z,34.00,
2026-03-20T14:29:00Z,34.00,
2026-03-20T14:57:00Z,34.00,67.00
2026-03-20T15:04:00Z,34.00,67.00
2026-03-20T15:05:00Z,34.00,67.00
2026-03-20T15:14:00Z,34.00,67.00
2026-03-20T15:16:00Z,34.00,67.00
2026-03-20T15:34:00Z,34.00,67.00
2026-03-20T15:36:00Z,34.00,67.00
2026-03-20T15:38:00Z,34.00,67.00
2026-03-20T15:55:00Z,34.00,67.00
2026-03-20T16:02:00Z,34.00,67.00
2026-03-20T16:18:00Z,34.00,67.00
2026-03-20T16:26:00Z,34.00,67.00
2026-03-20T16:42:00Z,34.00,67.00
2026-03-20T16:46:00Z,34.00,67.00
2026-03-20T17:00:00Z,34.00,66.00
2026-03-20T17:24:00Z,34.00,67.00
2026-03-20T17:49:00Z,34.00,67.00
2026-03-20T17:58:00Z,34.00,67.00
2026-03-20T18:06:00Z,34.00,67.00
2026-03-20T18:09:00Z,34.00,67.00
2026-03-20T18:34:00Z,34.00,67.00
2026-03-20T18:43:00Z,34.00,67.00
2026-03-20T19:58:00Z,34.00,67.00
2026-03-20T20:12:00Z,34.00,65.22
2026-03-20T20:18:00Z,34.00,65.00
2026-03-20T21:25:00Z,34.00,66.00
2026-03-20T22:09:00Z,34.00,66.00
2026-03-20T22:27:00Z,35.00,66.00
2026-03-20T22:53:00Z,35.00,66.00
2026-03-20T23:33:00Z,35.00,66.00
2026-03-20T23:36:00Z,35.00,66.00
2026-03-20T23:39:00Z,35.00,67.00
2026-03-21T00:01:00Z,35.00,67.00
2026-03-21T00:06:00Z,35.00,67.00
2026-03-21T00:15:00Z,35.00,67.00
2026-03-21T00:18:00Z,35.00,67.00
2026-03-21T00:25:00Z,35.00,66.00
2026-03-21T00:26:00Z,35.00,67.00
2026-03-21T00:28:00Z,35.00,67.00
2026-03-21T00:40:00Z,35.00,67.39
2026-03-21T00:45:00Z,35.00,68.00
2026-03-21T00:53:00Z,35.00,68.00
2026-03-21T00:54:00Z,35.00,68.00
2026-03-21T01:01:00Z,34.00,68.00
2026-03-21T01:06:00Z,34.00,68.00
2026-03-21T01:07:00Z,34.00,68.00
2026-03-21T01:08:00Z,34.00,68.00
2026-03-21T01:11:00Z,34.00,68.00
2026-03-21T01:18:00Z,34.00,68.00
2026-03-21T01:21:00Z,34.00,68.00
2026-03-21T01:26:00Z,34.00,68.00
2026-03-21T01:41:00Z,34.00,68.00
2026-03-21T01:44:00Z,34.00,68.00
2026-03-21T01:45:00Z,34.00,68.00
2026-03-21T01:48:00Z,34.00,68.00
2026-03-21T01:50:00Z,34.00,68.00
2026-03-21T01:51:00Z,34.00,68.00
2026-03-21T01:52:00Z,33.00,68.00
2026-03-21T01:53:00Z,33.00,68.00
2026-03-21T01:55:00Z,33.00,68.00
2026-03-21T01:57:00Z,33.00,68.00
