# event_ticker=KXATPMATCH-25JUL15MONBUD
# final_score=5-7 6-3 7-6(2)
# score_resolution=5-7 6-3 7-6
# match_winner=Nicolai Budkov Kjaer
# fav_player=Nicolai Budkov Kjaer
# dog_player=Thiago Monteiro
# kalshi_date=2025-07-15
timestamp,Nicolai Budkov Kjaer,Thiago Monteiro
2025-07-15T00:26:00Z,,68.00
2025-07-15T05:38:00Z,,68.00
2025-07-15T06:19:00Z,43.08,68.00
2025-07-15T12:07:00Z,43.08,72.00
2025-07-15T12:12:00Z,21.00,72.00
2025-07-15T12:13:00Z,83.00,72.00
2025-07-15T12:14:00Z,28.00,72.00
2025-07-15T12:15:00Z,28.00,67.00
2025-07-15T12:16:00Z,28.00,61.00
2025-07-15T12:19:00Z,28.00,59.00
2025-07-15T12:21:00Z,28.00,56.00
2025-07-15T12:22:00Z,46.00,56.00
2025-07-15T12:23:00Z,47.87,56.00
2025-07-15T12:25:00Z,50.04,56.00
2025-07-15T12:26:00Z,41.00,56.00
2025-07-15T12:27:00Z,41.00,56.00
2025-07-15T12:28:00Z,41.00,75.84
2025-07-15T12:29:00Z,40.00,58.00
2025-07-15T12:31:00Z,40.00,76.00
2025-07-15T12:32:00Z,45.00,76.00
2025-07-15T12:33:00Z,45.00,76.00
2025-07-15T12:34:00Z,45.00,59.29
2025-07-15T12:35:00Z,74.00,59.29
2025-07-15T12:36:00Z,74.00,57.00
2025-07-15T12:37:00Z,42.00,75.84
2025-07-15T12:38:00Z,38.57,75.84
2025-07-15T12:39:00Z,42.00,75.84
2025-07-15T12:40:00Z,42.00,73.78
2025-07-15T12:41:00Z,47.50,55.00
2025-07-15T12:42:00Z,47.50,52.00
2025-07-15T12:43:00Z,47.50,60.62
2025-07-15T12:44:00Z,47.50,57.00
2025-07-15T12:45:00Z,44.00,61.00
2025-07-15T12:47:00Z,36.00,64.00
2025-07-15T12:48:00Z,27.54,71.55
2025-07-15T12:49:00Z,15.36,87.53
2025-07-15T12:51:00Z,4.00,96.00
2025-07-15T12:54:00Z,11.00,90.79
2025-07-15T12:55:00Z,5.00,95.81
2025-07-15T12:56:00Z,5.00,97.00
2025-07-15T13:00:00Z,7.91,93.00
2025-07-15T13:01:00Z,7.91,77.00
2025-07-15T13:02:00Z,33.00,68.00
2025-07-15T13:03:00Z,39.00,61.65
2025-07-15T13:04:00Z,41.00,61.05
2025-07-15T13:05:00Z,49.00,65.46
2025-07-15T13:06:00Z,49.00,53.00
2025-07-15T13:07:00Z,49.00,58.00
2025-07-15T13:08:00Z,50.00,60.00
2025-07-15T13:09:00Z,46.75,53.67
2025-07-15T13:10:00Z,42.07,58.05
2025-07-15T13:11:00Z,42.07,61.92
2025-07-15T13:12:00Z,38.72,60.54
2025-07-15T13:13:00Z,41.35,61.35
2025-07-15T13:14:00Z,37.00,64.06
2025-07-15T13:15:00Z,34.35,67.74
2025-07-15T13:16:00Z,42.00,64.41
2025-07-15T13:17:00Z,49.00,64.41
2025-07-15T13:18:00Z,57.37,50.58
2025-07-15T13:19:00Z,78.71,29.94
2025-07-15T13:20:00Z,87.48,39.00
2025-07-15T13:21:00Z,91.00,6.52
2025-07-15T13:22:00Z,93.30,7.04
2025-07-15T13:23:00Z,99.00,5.00
2025-07-15T13:25:00Z,99.00,5.00
2025-07-15T13:26:00Z,99.00,5.00
2025-07-15T13:27:00Z,99.00,5.00
