# event_ticker=KXATPCHALLENGERMATCH-26MAR25JUSMAR
# final_score=6-4 6-2
# match_winner=Guido Ivan Justo
# fav_player=Guido Ivan Justo
# dog_player=Ivan Marrero Curbelo
# kalshi_date=2026-03-25
timestamp,Guido Ivan Justo,Ivan Marrero Curbelo
2026-03-25T09:25:00Z,79.00,
2026-03-25T09:27:00Z,79.00,
2026-03-25T10:59:00Z,82.00,
2026-03-25T11:15:00Z,82.00,
2026-03-25T12:17:00Z,82.00,19.00
2026-03-25T12:25:00Z,82.00,17.00
2026-03-25T12:26:00Z,82.00,17.00
2026-03-25T12:39:00Z,82.00,17.00
2026-03-25T13:11:00Z,82.00,17.00
2026-03-25T13:38:00Z,82.00,17.00
2026-03-25T13:41:00Z,83.00,17.00
2026-03-25T14:05:00Z,83.00,17.00
2026-03-25T14:18:00Z,83.00,17.00
2026-03-25T14:20:00Z,85.00,17.00
2026-03-25T15:52:00Z,85.00,17.00
2026-03-25T15:53:00Z,85.00,18.00
2026-03-25T15:56:00Z,83.00,18.00
2026-03-25T16:10:00Z,84.00,18.00
2026-03-25T16:12:00Z,84.00,18.00
2026-03-25T16:33:00Z,83.00,18.00
2026-03-25T16:35:00Z,83.00,18.00
2026-03-25T17:02:00Z,83.00,18.00
2026-03-25T17:31:00Z,84.00,18.00
2026-03-25T17:33:00Z,84.00,18.00
2026-03-25T17:51:00Z,84.00,18.00
2026-03-25T17:56:00Z,82.00,18.00
2026-03-25T17:59:00Z,84.00,18.00
2026-03-25T18:26:00Z,84.86,18.00
2026-03-25T18:30:00Z,84.86,18.00
2026-03-25T18:36:00Z,84.86,17.00
2026-03-25T18:37:00Z,85.00,17.00
2026-03-25T18:47:00Z,86.61,14.77
2026-03-25T18:56:00Z,85.00,14.77
2026-03-25T19:03:00Z,85.00,14.77
2026-03-25T19:05:00Z,85.00,15.00
2026-03-25T19:19:00Z,84.00,15.00
2026-03-25T19:23:00Z,84.00,17.00
2026-03-25T19:26:00Z,84.00,17.00
2026-03-25T19:33:00Z,84.00,17.00
2026-03-25T19:40:00Z,84.00,17.00
2026-03-25T19:51:00Z,84.00,17.00
2026-03-25T19:57:00Z,84.00,16.00
2026-03-25T19:59:00Z,84.00,16.00
2026-03-25T20:05:00Z,83.00,16.00
2026-03-25T20:07:00Z,85.00,16.00
2026-03-25T20:08:00Z,85.00,16.00
2026-03-25T20:09:00Z,85.00,17.00
2026-03-25T20:10:00Z,88.00,16.84
2026-03-25T20:11:00Z,82.00,18.96
2026-03-25T20:12:00Z,85.06,12.17
2026-03-25T20:13:00Z,87.12,12.17
2026-03-25T20:14:00Z,86.81,12.00
2026-03-25T20:15:00Z,89.00,12.00
2026-03-25T20:16:00Z,87.00,14.00
2026-03-25T20:17:00Z,89.72,11.02
