# event_ticker=KXATPCHALLENGERMATCH-26JUN01ARDZIN
# final_score=6-4 6-4
# match_winner=Landon Ardila
# fav_player=Landon Ardila
# dog_player=Tyler Zink
# kalshi_date=2026-06-01
timestamp,Landon Ardila,Tyler Zink
2026-06-02T03:35:00Z,,86.00
2026-06-02T04:26:00Z,15.00,86.00
2026-06-02T04:27:00Z,16.00,86.00
2026-06-02T04:37:00Z,15.00,86.00
2026-06-02T05:12:00Z,15.00,87.00
2026-06-02T05:35:00Z,15.00,87.00
2026-06-02T05:37:00Z,15.00,87.09
2026-06-02T05:44:00Z,16.75,85.00
2026-06-02T06:03:00Z,17.00,85.00
2026-06-02T06:13:00Z,17.00,85.00
2026-06-02T06:21:00Z,17.00,85.00
2026-06-02T06:26:00Z,17.00,85.00
2026-06-02T06:53:00Z,17.00,85.00
2026-06-02T07:05:00Z,17.00,86.00
2026-06-02T08:10:00Z,16.00,86.00
2026-06-02T08:41:00Z,16.00,86.00
2026-06-02T08:50:00Z,16.00,86.00
2026-06-02T08:52:00Z,16.00,86.00
2026-06-02T08:57:00Z,16.00,86.00
2026-06-02T09:07:00Z,16.00,86.00
2026-06-02T10:17:00Z,16.00,86.00
2026-06-02T10:24:00Z,16.00,86.00
2026-06-02T10:53:00Z,16.00,86.00
2026-06-02T10:54:00Z,16.00,86.00
2026-06-02T11:13:00Z,16.00,86.00
2026-06-02T11:29:00Z,16.00,86.00
2026-06-02T12:10:00Z,16.00,86.00
2026-06-02T12:38:00Z,16.00,86.00
2026-06-02T13:14:00Z,16.00,87.00
2026-06-02T13:17:00Z,16.00,87.00
2026-06-02T13:30:00Z,14.00,87.00
2026-06-02T13:34:00Z,15.00,87.00
2026-06-02T13:45:00Z,15.00,87.00
2026-06-02T13:55:00Z,15.00,87.00
2026-06-02T13:58:00Z,15.00,86.50
2026-06-02T14:07:00Z,15.00,86.50
2026-06-02T14:10:00Z,15.00,86.50
2026-06-02T14:11:00Z,15.00,87.00
2026-06-02T14:28:00Z,16.00,87.00
2026-06-02T14:34:00Z,16.00,87.00
2026-06-02T14:35:00Z,14.00,87.00
2026-06-02T14:42:00Z,14.00,86.00
2026-06-02T14:44:00Z,16.00,86.00
2026-06-02T14:51:00Z,16.00,86.00
2026-06-02T14:53:00Z,16.00,85.50
2026-06-02T15:02:00Z,16.00,85.50
2026-06-02T15:04:00Z,16.00,85.50
2026-06-02T15:05:00Z,16.00,85.50
2026-06-02T15:06:00Z,16.00,85.00
2026-06-02T15:07:00Z,16.00,85.00
2026-06-02T15:08:00Z,16.38,85.00
