# event_ticker=KXATPCHALLENGERMATCH-26MAY05KRUPIR
# final_score=6-4 6-4
# match_winner=Martin Krumich
# fav_player=Martin Krumich
# dog_player=Gabriele Piraino
# kalshi_date=2026-05-05
timestamp,Martin Krumich,Gabriele Piraino
2026-05-05T03:17:00Z,,26.00
2026-05-05T04:03:00Z,74.00,28.33
2026-05-05T04:04:00Z,74.00,28.50
2026-05-05T04:05:00Z,74.00,28.50
2026-05-05T05:58:00Z,71.00,28.50
2026-05-05T07:13:00Z,71.00,28.50
2026-05-05T07:33:00Z,71.00,29.00
2026-05-05T07:41:00Z,69.00,29.00
2026-05-05T07:50:00Z,69.00,30.00
2026-05-05T09:39:00Z,69.00,30.00
2026-05-05T10:54:00Z,69.00,30.00
2026-05-05T11:18:00Z,69.00,30.00
2026-05-05T11:39:00Z,69.00,30.00
2026-05-05T12:08:00Z,69.00,30.00
2026-05-05T12:12:00Z,69.00,30.00
2026-05-05T12:42:00Z,69.00,30.00
2026-05-05T12:51:00Z,69.00,30.00
2026-05-05T13:10:00Z,69.00,30.00
2026-05-05T13:19:00Z,69.00,30.00
2026-05-05T13:32:00Z,69.00,30.00
2026-05-05T13:41:00Z,69.00,30.00
2026-05-05T13:50:00Z,69.00,30.00
2026-05-05T13:55:00Z,69.00,30.00
2026-05-05T14:02:00Z,69.00,32.00
2026-05-05T14:07:00Z,69.00,32.00
2026-05-05T14:09:00Z,70.00,32.00
2026-05-05T14:10:00Z,71.00,32.00
2026-05-05T14:13:00Z,71.00,32.00
2026-05-05T14:15:00Z,71.00,32.00
2026-05-05T14:16:00Z,70.00,33.00
2026-05-05T14:18:00Z,74.00,33.00
2026-05-05T14:19:00Z,70.16,28.76
2026-05-05T14:20:00Z,74.11,25.29
2026-05-05T14:21:00Z,77.00,25.29
2026-05-05T14:22:00Z,77.00,22.00
2026-05-05T14:23:00Z,79.17,21.00
2026-05-05T14:24:00Z,81.00,21.00
2026-05-05T14:26:00Z,80.34,21.00
2026-05-05T14:27:00Z,80.99,21.00
2026-05-05T14:28:00Z,81.00,21.00
2026-05-05T14:29:00Z,81.00,21.00
2026-05-05T14:30:00Z,81.00,20.00
2026-05-05T14:31:00Z,80.00,21.00
2026-05-05T14:32:00Z,79.00,21.00
2026-05-05T14:33:00Z,79.00,22.00
2026-05-05T14:34:00Z,78.34,22.00
2026-05-05T14:35:00Z,76.31,23.92
2026-05-05T14:36:00Z,76.98,25.00
2026-05-05T14:37:00Z,70.99,30.51
2026-05-05T14:38:00Z,64.14,34.26
2026-05-05T14:39:00Z,63.95,38.98
2026-05-05T14:40:00Z,65.01,39.00
2026-05-05T14:41:00Z,64.61,39.00
2026-05-05T14:42:00Z,67.23,37.02
2026-05-05T14:43:00Z,74.52,27.83
2026-05-05T14:44:00Z,78.00,27.83
2026-05-05T14:45:00Z,78.00,27.83
