# event_ticker=KXATPCHALLENGERMATCH-26APR03MARMAR2
# final_score=7-6(5) 6-1
# score_resolution=6-7 1-6
# match_winner=Alex Martinez
# fav_player=Pol Martin Tiffon
# dog_player=Alex Martinez
# kalshi_date=2026-04-03
timestamp,Pol Martin Tiffon,Alex Martinez
2026-04-03T13:13:00Z,,23.00
2026-04-03T13:15:00Z,78.00,23.00
2026-04-03T13:19:00Z,78.00,23.00
2026-04-03T13:26:00Z,78.00,27.00
2026-04-03T13:29:00Z,78.00,27.70
2026-04-03T13:30:00Z,78.00,28.00
2026-04-03T13:35:00Z,74.82,28.00
2026-04-03T13:36:00Z,75.00,28.00
2026-04-03T13:37:00Z,75.00,28.00
2026-04-03T13:39:00Z,75.00,28.00
2026-04-03T13:42:00Z,75.00,28.00
2026-04-03T13:43:00Z,75.00,28.00
2026-04-03T13:47:00Z,75.00,28.00
2026-04-03T13:48:00Z,75.00,28.00
2026-04-03T13:50:00Z,75.00,28.00
2026-04-03T13:57:00Z,76.00,26.00
2026-04-03T14:02:00Z,76.00,26.00
2026-04-03T14:05:00Z,75.96,26.00
2026-04-03T14:06:00Z,75.96,26.00
2026-04-03T14:09:00Z,75.96,26.00
2026-04-03T14:10:00Z,75.96,26.00
2026-04-03T14:11:00Z,75.96,26.00
2026-04-03T14:20:00Z,75.96,26.42
2026-04-03T14:21:00Z,76.00,28.10
2026-04-03T14:22:00Z,76.00,27.00
2026-04-03T14:23:00Z,76.13,27.00
2026-04-03T14:24:00Z,76.13,27.00
2026-04-03T14:25:00Z,80.52,23.25
2026-04-03T14:26:00Z,78.76,23.25
2026-04-03T14:27:00Z,87.58,20.09
2026-04-03T14:28:00Z,87.58,18.48
2026-04-03T14:29:00Z,87.58,22.87
2026-04-03T14:30:00Z,87.58,24.00
2026-04-03T14:31:00Z,76.50,28.00
2026-04-03T14:32:00Z,74.00,28.39
2026-04-03T14:33:00Z,74.00,31.90
2026-04-03T14:34:00Z,69.32,30.96
2026-04-03T14:35:00Z,69.32,36.78
2026-04-03T14:36:00Z,75.67,35.88
2026-04-03T14:37:00Z,70.03,30.96
2026-04-03T14:38:00Z,60.79,39.64
2026-04-03T14:39:00Z,57.00,45.31
2026-04-03T14:40:00Z,57.00,46.82
2026-04-03T14:41:00Z,57.00,50.98
2026-04-03T14:42:00Z,51.04,52.41
2026-04-03T14:43:00Z,51.00,52.83
2026-04-03T14:44:00Z,56.67,48.82
2026-04-03T14:45:00Z,54.00,47.00
2026-04-03T14:46:00Z,51.51,50.99
2026-04-03T14:47:00Z,65.00,34.41
2026-04-03T14:48:00Z,59.00,41.62
2026-04-03T14:49:00Z,64.34,36.71
2026-04-03T14:50:00Z,64.34,34.87
2026-04-03T14:51:00Z,64.34,30.20
2026-04-03T14:52:00Z,70.09,31.05
2026-04-03T14:53:00Z,74.00,26.00
2026-04-03T14:54:00Z,77.36,24.01
2026-04-03T14:55:00Z,78.75,26.93
2026-04-03T14:56:00Z,78.75,31.71
2026-04-03T14:57:00Z,69.04,30.20
2026-04-03T14:58:00Z,64.61,36.75
2026-04-03T14:59:00Z,71.00,30.92
2026-04-03T15:00:00Z,71.00,27.50
2026-04-03T15:01:00Z,70.00,29.98
2026-04-03T15:02:00Z,69.00,30.99
2026-04-03T15:03:00Z,69.00,34.00
2026-04-03T15:04:00Z,69.00,33.00
2026-04-03T15:05:00Z,69.26,29.00
2026-04-03T15:06:00Z,72.00,28.03
2026-04-03T15:07:00Z,76.58,27.00
2026-04-03T15:08:00Z,74.00,27.48
2026-04-03T15:09:00Z,73.00,27.36
2026-04-03T15:10:00Z,65.63,34.98
2026-04-03T15:11:00Z,62.81,39.79
2026-04-03T15:12:00Z,62.07,38.44
2026-04-03T15:13:00Z,61.50,37.95
2026-04-03T15:14:00Z,65.79,33.30
2026-04-03T15:15:00Z,68.55,35.48
2026-04-03T15:16:00Z,66.16,32.23
2026-04-03T15:17:00Z,58.71,45.32
2026-04-03T15:18:00Z,39.80,59.96
2026-04-03T15:19:00Z,38.45,62.26
2026-04-03T15:20:00Z,37.18,63.25
2026-04-03T15:21:00Z,37.82,64.00
2026-04-03T15:22:00Z,38.00,63.00
2026-04-03T15:23:00Z,37.45,60.20
2026-04-03T15:24:00Z,34.73,68.23
2026-04-03T15:25:00Z,34.68,69.00
2026-04-03T15:26:00Z,32.89,69.10
2026-04-03T15:27:00Z,32.42,71.44
2026-04-03T15:28:00Z,34.28,66.68
2026-04-03T15:29:00Z,28.52,70.50
2026-04-03T15:30:00Z,22.60,76.97
2026-04-03T15:31:00Z,28.26,71.36
2026-04-03T15:32:00Z,17.20,80.61
2026-04-03T15:33:00Z,12.92,87.13
2026-04-03T15:34:00Z,10.83,91.13
2026-04-03T15:35:00Z,8.55,92.59
2026-04-03T15:36:00Z,8.05,92.02
2026-04-03T15:37:00Z,4.91,93.67
2026-04-03T15:38:00Z,4.21,96.82
2026-04-03T15:39:00Z,2.04,96.99
2026-04-03T15:40:00Z,4.52,96.45
2026-04-03T15:41:00Z,5.49,95.01
2026-04-03T15:42:00Z,8.26,95.65
2026-04-03T15:43:00Z,1.05,98.87
2026-04-03T15:44:00Z,1.35,99.00
2026-04-03T15:45:00Z,2.47,99.00
2026-04-03T15:46:00Z,1.00,99.00
2026-04-03T15:47:00Z,1.69,99.00
2026-04-03T15:48:00Z,1.56,98.99
2026-04-03T15:50:00Z,1.00,98.99
2026-04-03T15:51:00Z,1.00,99.00
2026-04-03T15:52:00Z,1.00,99.00
