# event_ticker=KXATPMATCH-25JUL30COMDE
# final_score=6-4 6-2
# match_winner=Alex de Minaur
# fav_player=Alex de Minaur
# dog_player=Francisco Comesana
# kalshi_date=2025-07-30
timestamp,Alex de Minaur,Francisco Comesana
2025-07-30T14:10:00Z,,11.00
2025-07-30T14:17:00Z,91.00,11.00
2025-07-30T14:41:00Z,91.00,11.00
2025-07-30T14:52:00Z,91.00,11.00
2025-07-30T15:38:00Z,91.00,11.00
2025-07-30T16:01:00Z,91.00,11.00
2025-07-30T18:32:00Z,90.00,11.00
2025-07-30T18:45:00Z,90.00,11.00
2025-07-30T18:53:00Z,90.00,11.00
2025-07-30T19:51:00Z,90.00,11.00
2025-07-30T20:00:00Z,90.00,11.00
2025-07-30T20:09:00Z,90.00,11.00
2025-07-30T20:32:00Z,90.00,11.00
2025-07-30T20:39:00Z,90.00,11.00
2025-07-30T20:40:00Z,90.00,11.00
2025-07-30T20:42:00Z,90.00,11.00
2025-07-30T20:56:00Z,90.00,11.00
2025-07-30T21:01:00Z,90.00,11.00
2025-07-30T21:02:00Z,90.00,11.00
2025-07-30T21:36:00Z,90.00,11.00
2025-07-30T21:45:00Z,90.00,11.00
2025-07-30T21:47:00Z,90.00,11.00
2025-07-30T21:54:00Z,90.00,11.00
2025-07-30T22:06:00Z,90.00,11.00
2025-07-30T22:20:00Z,88.00,11.00
2025-07-30T22:34:00Z,88.00,11.00
2025-07-30T22:41:00Z,88.00,13.00
2025-07-30T22:51:00Z,88.00,12.00
2025-07-30T23:10:00Z,88.00,11.96
2025-07-30T23:17:00Z,88.00,12.31
2025-07-30T23:21:00Z,88.00,13.00
2025-07-30T23:26:00Z,87.00,13.00
2025-07-30T23:28:00Z,87.00,13.00
2025-07-30T23:34:00Z,88.00,13.00
2025-07-30T23:56:00Z,88.00,13.00
2025-07-30T23:57:00Z,88.00,13.00
2025-07-31T00:04:00Z,87.00,13.00
2025-07-31T00:05:00Z,87.59,13.00
2025-07-31T00:11:00Z,87.59,12.00
2025-07-31T00:17:00Z,87.59,12.00
2025-07-31T00:19:00Z,87.59,12.00
2025-07-31T00:29:00Z,87.59,12.00
2025-07-31T00:30:00Z,87.59,12.00
2025-07-31T00:31:00Z,91.00,12.00
2025-07-31T00:36:00Z,91.00,12.00
2025-07-31T00:41:00Z,91.00,12.00
2025-07-31T00:42:00Z,91.00,12.00
2025-07-31T00:50:00Z,91.00,12.00
2025-07-31T00:52:00Z,91.00,12.00
2025-07-31T00:55:00Z,91.00,12.00
2025-07-31T01:02:00Z,88.00,12.00
2025-07-31T01:08:00Z,88.00,12.00
