# event_ticker=KXATPMATCH-26APR05HURDAR
# final_score=7-6(4) 5-7 6-1
# score_resolution=6-7 7-5 1-6
# match_winner=Hubert Hurkacz
# fav_player=Luciano Darderi
# dog_player=Hubert Hurkacz
# kalshi_date=2026-04-05
timestamp,Luciano Darderi,Hubert Hurkacz
2026-04-06T21:19:00Z,,36.00
2026-04-06T21:20:00Z,65.44,36.00
2026-04-06T21:22:00Z,66.00,36.00
2026-04-06T21:26:00Z,66.00,36.00
2026-04-06T21:29:00Z,66.00,36.00
2026-04-06T21:31:00Z,65.92,36.00
2026-04-06T21:32:00Z,65.92,36.00
2026-04-06T21:34:00Z,65.92,36.00
2026-04-06T21:35:00Z,66.00,36.00
2026-04-06T21:44:00Z,64.00,36.00
2026-04-06T21:49:00Z,66.00,36.00
2026-04-06T21:54:00Z,66.00,36.00
2026-04-06T21:58:00Z,66.00,36.00
2026-04-06T22:03:00Z,66.00,36.00
2026-04-06T22:05:00Z,66.00,36.00
2026-04-06T22:09:00Z,66.00,36.00
2026-04-06T22:13:00Z,66.00,36.00
2026-04-06T22:22:00Z,65.00,36.00
2026-04-06T22:24:00Z,64.01,36.00
2026-04-06T22:28:00Z,66.00,36.00
2026-04-06T22:32:00Z,66.56,36.00
2026-04-06T22:35:00Z,66.00,36.00
2026-04-06T22:36:00Z,66.00,36.00
2026-04-06T22:38:00Z,66.00,36.00
2026-04-06T22:39:00Z,67.00,36.00
2026-04-06T23:03:00Z,67.00,36.00
2026-04-06T23:08:00Z,67.00,36.00
2026-04-06T23:13:00Z,66.00,36.00
2026-04-06T23:14:00Z,67.00,36.00
2026-04-06T23:24:00Z,67.00,36.00
2026-04-06T23:28:00Z,67.00,36.00
2026-04-06T23:31:00Z,67.00,36.00
2026-04-06T23:36:00Z,67.00,36.00
2026-04-06T23:42:00Z,67.00,36.00
2026-04-06T23:51:00Z,67.00,36.00
2026-04-06T23:53:00Z,67.00,36.00
2026-04-06T23:57:00Z,67.00,36.00
2026-04-06T23:59:00Z,67.00,36.00
2026-04-07T00:00:00Z,67.00,36.00
2026-04-07T00:07:00Z,67.00,36.00
2026-04-07T00:19:00Z,67.00,36.00
2026-04-07T00:23:00Z,67.00,36.00
2026-04-07T00:24:00Z,67.00,36.00
2026-04-07T00:26:00Z,67.00,36.00
2026-04-07T00:28:00Z,67.00,36.00
2026-04-07T00:31:00Z,67.00,36.00
2026-04-07T00:34:00Z,67.00,36.00
2026-04-07T00:38:00Z,67.00,36.00
2026-04-07T00:41:00Z,67.00,36.00
2026-04-07T00:42:00Z,67.00,36.00
2026-04-07T00:43:00Z,67.00,36.00
2026-04-07T00:44:00Z,67.00,36.00
2026-04-07T00:45:00Z,67.00,35.99
2026-04-07T00:47:00Z,67.00,33.88
2026-04-07T00:54:00Z,67.00,33.00
2026-04-07T01:04:00Z,67.00,33.00
2026-04-07T01:06:00Z,67.00,35.00
2026-04-07T01:11:00Z,67.00,35.00
2026-04-07T01:24:00Z,67.00,35.00
2026-04-07T01:30:00Z,67.00,35.00
2026-04-07T01:41:00Z,67.00,35.00
2026-04-07T01:43:00Z,67.00,35.00
2026-04-07T01:44:00Z,67.00,35.00
2026-04-07T01:46:00Z,67.00,35.00
2026-04-07T01:48:00Z,67.00,35.00
2026-04-07T01:49:00Z,67.00,35.00
2026-04-07T01:51:00Z,67.00,35.00
2026-04-07T01:52:00Z,67.00,35.00
2026-04-07T01:54:00Z,66.00,35.00
2026-04-07T01:55:00Z,67.00,35.00
2026-04-07T01:57:00Z,67.00,35.00
2026-04-07T01:58:00Z,67.00,35.00
2026-04-07T01:59:00Z,67.00,35.00
2026-04-07T02:01:00Z,67.00,35.00
