# event_ticker=KXATPCHALLENGERMATCH-26MAR27RIBBON
# final_score=6-3 6-2
# match_winner=Federico Bondioli
# fav_player=Federico Bondioli
# dog_player=Michele Ribecai
# kalshi_date=2026-03-27
timestamp,Federico Bondioli,Michele Ribecai
2026-03-27T02:00:00Z,,53.00
2026-03-27T02:33:00Z,48.00,53.00
2026-03-27T03:38:00Z,48.00,53.00
2026-03-27T03:50:00Z,48.00,53.00
2026-03-27T04:11:00Z,47.00,53.00
2026-03-27T04:22:00Z,47.00,53.00
2026-03-27T04:27:00Z,47.00,52.00
2026-03-27T04:30:00Z,47.00,53.50
2026-03-27T04:33:00Z,47.00,55.00
2026-03-27T04:37:00Z,47.00,55.00
2026-03-27T04:42:00Z,47.00,55.00
2026-03-27T04:45:00Z,47.00,55.00
2026-03-27T04:59:00Z,47.00,55.00
2026-03-27T05:00:00Z,47.00,55.00
2026-03-27T05:02:00Z,47.00,55.00
2026-03-27T05:15:00Z,47.00,55.00
2026-03-27T05:20:00Z,47.00,55.00
2026-03-27T05:22:00Z,47.00,55.00
2026-03-27T05:34:00Z,47.33,55.00
2026-03-27T05:37:00Z,48.00,55.00
2026-03-27T05:41:00Z,48.00,55.00
2026-03-27T05:43:00Z,48.00,55.00
2026-03-27T05:46:00Z,48.00,54.42
2026-03-27T05:47:00Z,48.00,56.00
2026-03-27T05:50:00Z,46.00,56.00
2026-03-27T05:53:00Z,46.00,56.00
2026-03-27T05:54:00Z,46.00,56.00
2026-03-27T05:55:00Z,46.00,56.00
2026-03-27T06:06:00Z,46.00,56.00
2026-03-27T06:22:00Z,46.00,56.00
2026-03-27T06:23:00Z,46.00,56.00
2026-03-27T06:41:00Z,46.00,56.00
2026-03-27T06:46:00Z,46.00,56.00
2026-03-27T07:01:00Z,46.00,56.00
2026-03-27T07:05:00Z,44.88,56.00
2026-03-27T07:06:00Z,46.00,56.00
2026-03-27T07:41:00Z,46.00,56.00
2026-03-27T08:11:00Z,46.00,55.00
2026-03-27T08:42:00Z,46.00,55.00
2026-03-27T09:15:00Z,46.00,55.00
2026-03-27T09:31:00Z,46.00,55.00
2026-03-27T10:12:00Z,46.00,55.00
2026-03-27T10:22:00Z,46.00,55.00
2026-03-27T10:36:00Z,47.00,55.00
2026-03-27T10:55:00Z,47.00,55.00
2026-03-27T10:56:00Z,47.00,55.00
2026-03-27T10:59:00Z,47.00,55.00
2026-03-27T11:03:00Z,47.00,55.00
2026-03-27T11:07:00Z,47.00,55.00
2026-03-27T11:09:00Z,47.00,55.00
2026-03-27T11:20:00Z,44.00,55.00
2026-03-27T11:22:00Z,45.00,55.00
2026-03-27T11:24:00Z,45.00,55.00
2026-03-27T11:25:00Z,45.00,57.82
2026-03-27T11:26:00Z,45.00,58.00
2026-03-27T11:29:00Z,45.00,58.00
2026-03-27T11:31:00Z,45.00,58.00
2026-03-27T11:33:00Z,45.00,58.00
2026-03-27T11:34:00Z,45.00,58.00
2026-03-27T11:36:00Z,45.00,58.00
2026-03-27T11:37:00Z,45.00,58.00
2026-03-27T11:42:00Z,45.00,58.00
2026-03-27T11:43:00Z,45.00,55.00
2026-03-27T11:44:00Z,45.00,55.00
2026-03-27T11:45:00Z,45.00,55.00
2026-03-27T11:46:00Z,48.45,55.00
2026-03-27T11:47:00Z,47.19,55.00
2026-03-27T11:48:00Z,41.00,59.91
2026-03-27T11:49:00Z,41.00,65.30
2026-03-27T11:50:00Z,32.00,70.00
2026-03-27T11:51:00Z,30.52,70.00
2026-03-27T11:52:00Z,28.95,72.00
2026-03-27T11:53:00Z,31.00,70.44
2026-03-27T11:54:00Z,28.00,72.00
2026-03-27T11:55:00Z,26.69,74.70
2026-03-27T11:56:00Z,28.50,72.00
2026-03-27T11:57:00Z,27.41,74.94
2026-03-27T11:58:00Z,31.00,70.00
2026-03-27T11:59:00Z,33.51,66.95
2026-03-27T12:00:00Z,33.51,67.00
2026-03-27T12:01:00Z,39.00,64.91
2026-03-27T12:02:00Z,43.90,57.00
2026-03-27T12:03:00Z,41.95,61.00
2026-03-27T12:04:00Z,44.82,54.89
2026-03-27T12:05:00Z,44.71,58.56
2026-03-27T12:06:00Z,47.41,53.17
2026-03-27T12:07:00Z,49.80,52.91
2026-03-27T12:08:00Z,50.79,50.88
2026-03-27T12:09:00Z,54.49,49.08
2026-03-27T12:10:00Z,50.66,51.56
2026-03-27T12:11:00Z,52.83,50.56
2026-03-27T12:12:00Z,61.33,43.95
2026-03-27T12:13:00Z,66.31,37.97
2026-03-27T12:14:00Z,69.99,31.06
2026-03-27T12:15:00Z,67.99,35.76
2026-03-27T12:16:00Z,65.29,36.33
2026-03-27T12:17:00Z,70.64,32.03
2026-03-27T12:18:00Z,69.00,33.00
2026-03-27T12:19:00Z,65.02,35.92
2026-03-27T12:20:00Z,66.83,34.61
2026-03-27T12:21:00Z,64.89,37.02
2026-03-27T12:22:00Z,68.96,36.80
2026-03-27T12:23:00Z,70.20,28.58
2026-03-27T12:24:00Z,72.19,30.82
2026-03-27T12:25:00Z,71.38,29.53
2026-03-27T12:26:00Z,71.10,29.98
2026-03-27T12:27:00Z,71.80,29.98
2026-03-27T12:28:00Z,69.40,31.92
2026-03-27T12:29:00Z,69.35,32.05
2026-03-27T12:30:00Z,73.75,26.67
2026-03-27T12:31:00Z,79.18,20.86
2026-03-27T12:32:00Z,82.93,18.40
2026-03-27T12:33:00Z,83.04,18.47
2026-03-27T12:34:00Z,82.52,16.86
2026-03-27T12:35:00Z,85.36,18.74
2026-03-27T12:36:00Z,84.43,15.51
2026-03-27T12:37:00Z,78.30,23.60
2026-03-27T12:38:00Z,70.52,30.93
2026-03-27T12:39:00Z,69.17,30.56
2026-03-27T12:40:00Z,66.13,33.02
2026-03-27T12:41:00Z,67.37,30.45
2026-03-27T12:42:00Z,68.16,30.11
2026-03-27T12:43:00Z,65.84,32.58
2026-03-27T12:44:00Z,68.96,29.20
2026-03-27T12:45:00Z,67.54,30.40
2026-03-27T12:46:00Z,69.58,30.24
2026-03-27T12:47:00Z,70.38,30.36
2026-03-27T12:48:00Z,70.20,29.78
2026-03-27T12:49:00Z,69.99,29.69
2026-03-27T12:50:00Z,69.27,31.00
2026-03-27T12:51:00Z,69.63,29.32
2026-03-27T12:52:00Z,70.01,29.03
2026-03-27T12:53:00Z,71.00,29.32
2026-03-27T12:54:00Z,68.43,29.56
2026-03-27T12:55:00Z,70.04,29.03
2026-03-27T12:56:00Z,69.53,28.18
2026-03-27T12:57:00Z,71.61,28.81
2026-03-27T12:58:00Z,70.83,28.20
2026-03-27T12:59:00Z,72.41,29.00
2026-03-27T13:00:00Z,72.11,28.65
2026-03-27T13:01:00Z,70.81,29.00
2026-03-27T13:02:00Z,72.70,26.65
2026-03-27T13:03:00Z,72.00,27.00
2026-03-27T13:04:00Z,72.97,26.00
2026-03-27T13:05:00Z,73.58,26.00
2026-03-27T13:06:00Z,74.00,26.13
2026-03-27T13:07:00Z,74.00,26.00
2026-03-27T13:08:00Z,73.26,26.97
2026-03-27T13:09:00Z,72.00,26.40
2026-03-27T13:10:00Z,71.62,26.40
2026-03-27T13:11:00Z,72.00,27.00
2026-03-27T13:12:00Z,70.63,27.36
2026-03-27T13:13:00Z,70.52,29.00
2026-03-27T13:14:00Z,68.78,29.16
2026-03-27T13:15:00Z,71.09,28.09
2026-03-27T13:16:00Z,73.00,28.09
2026-03-27T13:17:00Z,72.08,27.08
2026-03-27T13:18:00Z,73.00,27.24
2026-03-27T13:19:00Z,71.42,28.00
2026-03-27T13:20:00Z,69.60,29.00
2026-03-27T13:21:00Z,68.06,30.00
2026-03-27T13:22:00Z,70.45,28.61
2026-03-27T13:23:00Z,72.00,29.00
2026-03-27T13:24:00Z,72.00,27.26
2026-03-27T13:25:00Z,71.24,27.01
2026-03-27T13:26:00Z,70.07,27.71
2026-03-27T13:27:00Z,70.85,29.00
2026-03-27T13:28:00Z,72.20,28.14
2026-03-27T13:29:00Z,71.35,27.00
2026-03-27T13:30:00Z,73.00,27.33
2026-03-27T13:31:00Z,73.00,27.82
2026-03-27T13:32:00Z,72.10,27.52
2026-03-27T13:33:00Z,73.00,27.00
2026-03-27T13:34:00Z,72.71,27.00
2026-03-27T13:35:00Z,71.23,27.00
2026-03-27T13:36:00Z,71.53,27.00
2026-03-27T13:37:00Z,71.57,29.00
2026-03-27T13:38:00Z,71.12,28.22
2026-03-27T13:39:00Z,71.85,29.00
2026-03-27T13:40:00Z,72.99,27.68
2026-03-27T13:41:00Z,73.40,29.00
2026-03-27T13:42:00Z,71.91,28.00
2026-03-27T13:43:00Z,73.73,27.44
2026-03-27T13:44:00Z,71.79,28.08
2026-03-27T13:45:00Z,71.59,27.02
2026-03-27T13:46:00Z,69.91,26.96
2026-03-27T13:47:00Z,71.18,28.91
2026-03-27T13:48:00Z,73.00,28.91
2026-03-27T13:49:00Z,73.00,27.43
2026-03-27T13:50:00Z,73.00,27.00
2026-03-27T13:51:00Z,71.67,27.00
2026-03-27T13:52:00Z,71.08,27.00
2026-03-27T13:53:00Z,72.00,27.00
2026-03-27T13:54:00Z,71.61,27.89
2026-03-27T13:55:00Z,71.64,27.79
2026-03-27T13:56:00Z,70.70,28.00
2026-03-27T13:57:00Z,72.00,28.00
2026-03-27T13:58:00Z,71.28,27.82
2026-03-27T13:59:00Z,71.97,28.00
2026-03-27T14:00:00Z,71.04,27.00
