# event_ticker=KXATPCHALLENGERMATCH-26MAY14HASDEL
# final_score=7-5 5-3 RET
# match_winner=Hugo Dellien
# fav_player=Hugo Dellien
# dog_player=Benjamin Hassan
# kalshi_date=2026-05-14
timestamp,Benjamin Hassan,Hugo Dellien
2026-05-14T00:19:00Z,,77.00
2026-05-14T00:55:00Z,,78.00
2026-05-14T01:25:00Z,24.00,78.00
2026-05-14T02:13:00Z,24.00,78.00
2026-05-14T02:18:00Z,24.00,79.00
2026-05-14T03:14:00Z,24.00,79.00
2026-05-14T03:40:00Z,23.00,79.00
2026-05-14T03:56:00Z,23.00,79.00
2026-05-14T04:03:00Z,23.00,79.00
2026-05-14T04:39:00Z,23.00,79.00
2026-05-14T04:53:00Z,23.00,79.00
2026-05-14T05:04:00Z,23.00,79.00
2026-05-14T05:08:00Z,23.00,79.00
2026-05-14T05:19:00Z,23.00,79.00
2026-05-14T05:27:00Z,23.00,79.00
2026-05-14T05:34:00Z,23.00,79.00
2026-05-14T05:44:00Z,21.00,79.00
2026-05-14T05:57:00Z,21.00,79.00
2026-05-14T06:24:00Z,21.00,79.00
2026-05-14T09:01:00Z,23.00,79.00
2026-05-14T09:05:00Z,23.00,79.00
2026-05-14T09:06:00Z,23.00,78.00
2026-05-14T09:17:00Z,24.00,78.00
2026-05-14T10:17:00Z,24.20,78.00
2026-05-14T10:37:00Z,25.00,78.00
2026-05-14T10:42:00Z,25.00,78.00
2026-05-14T10:47:00Z,25.00,78.00
2026-05-14T10:49:00Z,25.00,76.00
2026-05-14T11:01:00Z,25.00,76.15
2026-05-14T11:20:00Z,25.00,76.00
2026-05-14T11:32:00Z,25.00,76.00
2026-05-14T11:36:00Z,25.00,75.00
2026-05-14T11:49:00Z,25.00,75.00
2026-05-14T11:54:00Z,26.82,75.00
2026-05-14T11:58:00Z,26.82,75.00
2026-05-14T12:02:00Z,26.82,75.00
2026-05-14T12:04:00Z,27.00,75.00
2026-05-14T12:07:00Z,26.72,75.00
2026-05-14T12:09:00Z,26.00,77.61
2026-05-14T12:10:00Z,26.00,78.33
2026-05-14T12:11:00Z,22.07,79.00
2026-05-14T12:12:00Z,20.15,82.00
2026-05-14T12:13:00Z,20.15,77.00
2026-05-14T12:14:00Z,23.00,78.69
2026-05-14T12:15:00Z,19.00,78.69
2026-05-14T12:16:00Z,19.00,81.00
2026-05-14T12:17:00Z,19.00,82.99
2026-05-14T12:18:00Z,20.03,82.99
2026-05-14T12:19:00Z,23.00,77.97
2026-05-14T12:20:00Z,26.64,74.00
2026-05-14T12:21:00Z,22.00,78.02
2026-05-14T12:22:00Z,22.00,77.33
2026-05-14T12:23:00Z,22.00,79.00
2026-05-14T12:24:00Z,21.89,79.00
2026-05-14T12:25:00Z,22.68,79.00
2026-05-14T12:26:00Z,24.73,79.00
2026-05-14T12:27:00Z,22.18,76.00
2026-05-14T12:28:00Z,26.00,75.96
2026-05-14T12:29:00Z,25.00,74.35
2026-05-14T12:30:00Z,23.00,77.00
2026-05-14T12:31:00Z,23.00,78.00
2026-05-14T12:32:00Z,23.00,79.48
2026-05-14T12:33:00Z,28.16,73.00
2026-05-14T12:34:00Z,32.61,68.01
2026-05-14T12:35:00Z,30.46,70.07
2026-05-14T12:36:00Z,29.13,72.30
2026-05-14T12:37:00Z,29.01,69.65
2026-05-14T12:38:00Z,26.19,72.50
2026-05-14T12:39:00Z,26.00,74.87
2026-05-14T12:40:00Z,24.94,75.52
2026-05-14T12:41:00Z,23.00,75.92
2026-05-14T12:42:00Z,28.30,70.35
2026-05-14T12:43:00Z,32.00,70.17
2026-05-14T12:44:00Z,31.75,68.73
2026-05-14T12:45:00Z,36.78,61.69
2026-05-14T12:46:00Z,34.75,65.89
2026-05-14T12:47:00Z,38.29,62.98
2026-05-14T12:48:00Z,34.64,66.53
2026-05-14T12:49:00Z,37.19,61.34
2026-05-14T12:50:00Z,33.62,67.87
2026-05-14T12:51:00Z,27.98,73.00
2026-05-14T12:52:00Z,30.06,73.03
2026-05-14T12:53:00Z,32.58,67.46
2026-05-14T12:54:00Z,34.79,66.00
2026-05-14T12:55:00Z,31.87,67.05
