# event_ticker=KXATPCHALLENGERMATCH-26MAR01DAMDIA
# final_score=1-6 6-3 6-0
# match_winner=Facundo Diaz Acosta
# fav_player=Facundo Diaz Acosta
# dog_player=Miguel Damas
# kalshi_date=2026-03-01
timestamp,Facundo Diaz Acosta,Miguel Damas
2026-03-01T04:26:00Z,78.00,
2026-03-01T04:46:00Z,77.00,
2026-03-01T05:09:00Z,77.00,
2026-03-01T05:25:00Z,77.00,25.00
2026-03-01T05:41:00Z,77.00,26.00
2026-03-01T06:00:00Z,77.00,26.00
2026-03-01T06:08:00Z,77.00,26.00
2026-03-01T06:28:00Z,77.00,25.00
2026-03-01T07:41:00Z,77.00,25.00
2026-03-01T07:50:00Z,75.00,25.00
2026-03-01T08:15:00Z,76.00,25.00
2026-03-01T08:26:00Z,76.00,25.00
2026-03-01T08:35:00Z,76.00,25.00
2026-03-01T08:37:00Z,76.00,25.00
2026-03-01T08:42:00Z,76.00,25.00
2026-03-01T09:45:00Z,76.00,25.00
2026-03-01T10:00:00Z,76.00,25.00
2026-03-01T10:27:00Z,77.00,25.00
2026-03-01T11:06:00Z,77.00,26.00
2026-03-01T11:20:00Z,77.00,26.00
2026-03-01T11:48:00Z,77.00,25.00
2026-03-01T11:57:00Z,77.00,25.00
2026-03-01T11:58:00Z,77.00,25.00
2026-03-01T12:08:00Z,77.00,26.00
2026-03-01T12:12:00Z,77.00,26.00
2026-03-01T12:17:00Z,77.00,26.00
2026-03-01T12:31:00Z,77.00,26.00
2026-03-01T12:37:00Z,77.00,25.00
2026-03-01T12:40:00Z,77.00,25.00
2026-03-01T12:42:00Z,77.00,25.00
2026-03-01T13:04:00Z,77.00,25.00
2026-03-01T13:06:00Z,77.00,25.00
2026-03-01T13:08:00Z,77.00,24.00
2026-03-01T13:26:00Z,77.00,24.00
2026-03-01T13:50:00Z,77.00,24.00
2026-03-01T13:55:00Z,77.00,23.00
2026-03-01T14:00:00Z,77.00,23.00
2026-03-01T14:11:00Z,77.00,25.00
2026-03-01T14:14:00Z,77.00,25.00
2026-03-01T14:19:00Z,77.00,24.00
2026-03-01T14:26:00Z,77.00,24.00
2026-03-01T14:29:00Z,77.00,24.00
2026-03-01T14:36:00Z,77.00,24.00
2026-03-01T14:39:00Z,77.00,24.00
2026-03-01T14:46:00Z,77.00,24.00
2026-03-01T14:55:00Z,77.00,24.00
2026-03-01T15:06:00Z,77.00,24.00
2026-03-01T15:09:00Z,77.00,24.00
2026-03-01T15:10:00Z,77.00,25.00
2026-03-01T15:20:00Z,77.00,24.00
2026-03-01T15:24:00Z,77.00,24.00
2026-03-01T15:35:00Z,77.00,24.00
2026-03-01T15:38:00Z,77.00,24.00
2026-03-01T15:47:00Z,77.00,24.00
2026-03-01T15:52:00Z,77.00,22.00
2026-03-01T15:54:00Z,77.00,24.79
2026-03-01T15:57:00Z,77.00,25.00
2026-03-01T15:58:00Z,77.00,24.00
2026-03-01T16:00:00Z,77.00,25.00
2026-03-01T16:02:00Z,77.00,24.00
2026-03-01T16:03:00Z,77.00,24.00
2026-03-01T16:05:00Z,77.00,24.00
2026-03-01T16:07:00Z,77.00,24.00
2026-03-01T16:08:00Z,77.00,24.00
2026-03-01T16:09:00Z,76.00,24.00
2026-03-01T16:11:00Z,76.00,24.00
2026-03-01T16:12:00Z,76.00,24.06
2026-03-01T16:13:00Z,77.00,24.19
2026-03-01T16:14:00Z,77.00,24.91
2026-03-01T16:15:00Z,77.00,24.00
2026-03-01T16:16:00Z,77.04,26.71
2026-03-01T16:17:00Z,79.00,22.99
2026-03-01T16:18:00Z,79.00,22.14
2026-03-01T16:19:00Z,75.01,23.49
2026-03-01T16:20:00Z,77.33,22.39
2026-03-01T16:21:00Z,77.33,21.68
2026-03-01T16:22:00Z,78.00,22.07
2026-03-01T16:23:00Z,81.00,20.59
2026-03-01T16:24:00Z,81.00,25.81
2026-03-01T16:25:00Z,74.12,26.09
2026-03-01T16:26:00Z,74.12,25.56
2026-03-01T16:27:00Z,74.12,27.39
2026-03-01T16:28:00Z,69.69,30.32
2026-03-01T16:29:00Z,69.69,30.11
2026-03-01T16:30:00Z,70.96,28.92
2026-03-01T16:31:00Z,67.61,31.18
2026-03-01T16:32:00Z,62.81,36.18
2026-03-01T16:33:00Z,61.00,39.99
2026-03-01T16:34:00Z,59.70,42.05
2026-03-01T16:35:00Z,56.06,44.66
2026-03-01T16:36:00Z,56.00,42.81
2026-03-01T16:37:00Z,54.01,44.49
2026-03-01T16:38:00Z,51.18,47.70
2026-03-01T16:39:00Z,53.04,48.82
2026-03-01T16:40:00Z,54.95,43.76
2026-03-01T16:41:00Z,54.07,47.21
2026-03-01T16:42:00Z,53.62,49.50
2026-03-01T16:43:00Z,50.84,54.70
2026-03-01T16:44:00Z,48.08,51.60
2026-03-01T16:45:00Z,51.19,52.32
2026-03-01T16:46:00Z,46.01,56.92
2026-03-01T16:47:00Z,47.40,55.66
2026-03-01T16:48:00Z,39.54,59.91
2026-03-01T16:49:00Z,39.97,60.51
2026-03-01T16:50:00Z,40.86,59.25
2026-03-01T16:51:00Z,41.49,58.68
2026-03-01T16:52:00Z,46.84,55.03
2026-03-01T16:53:00Z,43.98,61.27
