# event_ticker=KXATPCHALLENGERMATCH-26APR21SHARIE
# final_score=3-6 6-4 7-5
# match_winner=Leandro Riedi
# fav_player=Leandro Riedi
# dog_player=Marat Sharipov
# kalshi_date=2026-04-21
timestamp,Marat Sharipov,Leandro Riedi
2026-04-20T20:04:00Z,32.00,
2026-04-20T20:42:00Z,32.04,
2026-04-20T21:34:00Z,32.04,67.00
2026-04-20T21:35:00Z,32.04,67.00
2026-04-20T21:36:00Z,32.04,66.00
2026-04-20T22:47:00Z,32.04,67.00
2026-04-20T23:15:00Z,32.04,67.00
2026-04-20T23:57:00Z,32.04,67.00
2026-04-21T00:02:00Z,32.04,67.00
2026-04-21T00:42:00Z,32.04,67.00
2026-04-21T01:08:00Z,32.04,67.00
2026-04-21T01:12:00Z,32.04,67.00
2026-04-21T01:16:00Z,32.04,67.00
2026-04-21T01:46:00Z,32.04,67.00
2026-04-21T02:03:00Z,32.04,67.00
2026-04-21T02:13:00Z,32.04,67.00
2026-04-21T02:27:00Z,32.04,67.54
2026-04-21T02:28:00Z,32.04,68.00
2026-04-21T03:14:00Z,32.04,68.00
2026-04-21T03:17:00Z,32.04,68.00
2026-04-21T03:22:00Z,32.04,68.00
2026-04-21T03:34:00Z,32.04,68.00
2026-04-21T03:50:00Z,32.04,68.00
2026-04-21T04:07:00Z,32.04,68.00
2026-04-21T04:16:00Z,34.00,68.00
2026-04-21T04:22:00Z,34.00,68.00
2026-04-21T04:33:00Z,34.00,68.00
2026-04-21T04:37:00Z,34.00,68.00
2026-04-21T04:49:00Z,34.00,68.00
2026-04-21T04:54:00Z,34.00,68.00
2026-04-21T04:55:00Z,34.00,68.00
2026-04-21T04:58:00Z,34.00,68.00
2026-04-21T04:59:00Z,34.00,68.00
2026-04-21T05:05:00Z,34.00,68.00
2026-04-21T05:07:00Z,33.00,68.00
2026-04-21T05:10:00Z,33.00,68.00
2026-04-21T05:11:00Z,33.00,68.00
2026-04-21T05:12:00Z,33.00,68.00
2026-04-21T05:15:00Z,33.00,68.00
2026-04-21T05:16:00Z,33.00,68.00
2026-04-21T05:22:00Z,34.00,68.00
2026-04-21T05:26:00Z,34.00,67.00
2026-04-21T05:27:00Z,34.00,66.13
2026-04-21T05:29:00Z,34.00,67.00
2026-04-21T05:34:00Z,34.00,67.00
2026-04-21T05:35:00Z,34.00,67.00
2026-04-21T05:36:00Z,34.00,67.00
2026-04-21T05:38:00Z,34.00,67.00
2026-04-21T05:39:00Z,34.00,67.00
2026-04-21T05:40:00Z,34.00,67.00
2026-04-21T05:41:00Z,34.00,68.00
2026-04-21T05:43:00Z,34.00,67.00
2026-04-21T05:44:00Z,34.00,67.97
2026-04-21T05:45:00Z,34.00,68.00
2026-04-21T05:46:00Z,33.00,68.39
2026-04-21T05:47:00Z,33.00,69.00
2026-04-21T05:48:00Z,33.59,66.99
2026-04-21T05:49:00Z,34.23,67.45
2026-04-21T05:50:00Z,33.46,67.17
2026-04-21T05:51:00Z,29.05,73.39
2026-04-21T05:52:00Z,30.78,70.87
2026-04-21T05:53:00Z,32.99,68.82
2026-04-21T05:54:00Z,36.49,66.73
2026-04-21T05:55:00Z,43.92,59.29
2026-04-21T05:56:00Z,49.95,51.09
2026-04-21T05:57:00Z,54.69,48.53
2026-04-21T05:58:00Z,59.23,42.14
2026-04-21T05:59:00Z,55.73,45.32
2026-04-21T06:00:00Z,57.92,42.87
2026-04-21T06:01:00Z,57.66,43.92
2026-04-21T06:02:00Z,58.06,44.50
2026-04-21T06:03:00Z,58.23,41.45
