# event_ticker=KXATPCHALLENGERMATCH-26MAR01CINGIL
# final_score=6-3 5-7 7-6(1)
# score_resolution=6-3 5-7 7-6
# match_winner=Federico Cina
# fav_player=Federico Cina
# dog_player=Felix Gill
# kalshi_date=2026-03-01
timestamp,Federico Cina,Felix Gill
2026-02-28T22:19:00Z,,30.00
2026-02-28T22:24:00Z,,28.00
2026-02-28T22:30:00Z,,28.00
2026-02-28T22:51:00Z,,28.00
2026-02-28T23:24:00Z,74.00,28.00
2026-02-28T23:26:00Z,74.00,28.00
2026-02-28T23:36:00Z,74.00,28.00
2026-02-28T23:59:00Z,74.00,28.00
2026-03-01T00:35:00Z,74.00,28.00
2026-03-01T00:41:00Z,74.00,28.00
2026-03-01T00:48:00Z,74.00,28.00
2026-03-01T01:02:00Z,74.00,28.00
2026-03-01T01:17:00Z,74.00,28.00
2026-03-01T01:18:00Z,74.00,28.00
2026-03-01T01:23:00Z,74.00,28.00
2026-03-01T01:24:00Z,74.00,28.00
2026-03-01T02:01:00Z,75.00,26.00
2026-03-01T02:05:00Z,75.00,26.00
2026-03-01T02:22:00Z,75.00,25.00
2026-03-01T02:25:00Z,75.00,27.98
2026-03-01T02:34:00Z,75.00,28.00
2026-03-01T02:37:00Z,75.00,28.00
2026-03-01T02:47:00Z,75.00,28.00
2026-03-01T02:48:00Z,75.00,28.00
2026-03-01T03:06:00Z,75.00,27.47
2026-03-01T03:32:00Z,75.00,28.00
2026-03-01T03:36:00Z,75.00,28.00
2026-03-01T03:39:00Z,75.00,26.67
2026-03-01T03:42:00Z,75.00,26.67
2026-03-01T03:45:00Z,75.00,28.00
2026-03-01T03:48:00Z,75.00,28.00
2026-03-01T03:59:00Z,75.00,28.00
2026-03-01T04:02:00Z,75.00,28.00
2026-03-01T04:04:00Z,75.00,28.00
2026-03-01T04:07:00Z,75.00,29.00
2026-03-01T04:13:00Z,75.00,29.00
2026-03-01T04:17:00Z,75.00,28.00
2026-03-01T04:21:00Z,75.00,29.00
2026-03-01T04:23:00Z,74.00,29.00
2026-03-01T04:39:00Z,74.00,28.68
2026-03-01T04:43:00Z,74.00,29.00
2026-03-01T04:44:00Z,73.00,29.00
2026-03-01T04:46:00Z,73.00,29.00
2026-03-01T04:50:00Z,73.00,29.00
2026-03-01T04:51:00Z,73.00,29.00
2026-03-01T04:53:00Z,73.00,29.00
2026-03-01T04:55:00Z,73.00,29.00
2026-03-01T04:56:00Z,73.00,29.00
2026-03-01T05:00:00Z,73.00,29.00
2026-03-01T05:04:00Z,73.00,29.00
2026-03-01T05:06:00Z,73.00,29.00
2026-03-01T05:13:00Z,73.87,29.00
2026-03-01T05:16:00Z,72.00,26.00
2026-03-01T05:22:00Z,72.00,28.00
2026-03-01T05:26:00Z,72.00,28.00
