# event_ticker=KXATPCHALLENGERMATCH-26APR01SAIMAR
# final_score=6-1 6-3
# score_resolution=1-6 3-6
# match_winner=Pol Martin Tiffon
# fav_player=Nikolas Sanchez Izquierdo
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-04-01
timestamp,Nikolas Sanchez Izquierdo,Pol Martin Tiffon
2026-04-01T02:41:00Z,,53.00
2026-04-01T03:05:00Z,46.35,53.00
2026-04-01T03:10:00Z,45.00,53.00
2026-04-01T03:23:00Z,45.00,53.00
2026-04-01T03:40:00Z,45.00,53.00
2026-04-01T03:42:00Z,46.00,53.00
2026-04-01T03:48:00Z,46.00,53.00
2026-04-01T04:53:00Z,49.00,53.00
2026-04-01T05:16:00Z,46.00,53.00
2026-04-01T05:53:00Z,49.00,53.00
2026-04-01T07:26:00Z,49.00,53.00
2026-04-01T07:39:00Z,49.00,53.00
2026-04-01T07:40:00Z,47.00,53.00
2026-04-01T07:41:00Z,47.00,53.00
2026-04-01T07:43:00Z,47.00,53.00
2026-04-01T09:41:00Z,47.00,56.00
2026-04-01T10:51:00Z,47.00,56.00
2026-04-01T11:28:00Z,47.00,56.00
2026-04-01T12:14:00Z,45.00,56.00
2026-04-01T12:15:00Z,45.00,56.00
2026-04-01T12:21:00Z,45.00,56.00
2026-04-01T12:37:00Z,45.00,56.00
2026-04-01T12:52:00Z,45.36,56.00
2026-04-01T12:57:00Z,46.00,56.00
2026-04-01T12:58:00Z,46.00,56.00
2026-04-01T13:22:00Z,46.00,56.00
2026-04-01T13:30:00Z,46.00,56.00
2026-04-01T13:31:00Z,46.00,56.00
2026-04-01T13:33:00Z,46.00,56.00
2026-04-01T13:34:00Z,47.01,54.24
2026-04-01T13:35:00Z,47.01,56.00
2026-04-01T13:37:00Z,46.10,53.01
2026-04-01T13:38:00Z,46.98,55.00
2026-04-01T13:39:00Z,47.00,55.38
2026-04-01T13:40:00Z,46.00,55.97
2026-04-01T13:41:00Z,46.99,55.00
2026-04-01T13:42:00Z,46.99,55.98
2026-04-01T13:43:00Z,46.99,56.34
2026-04-01T13:44:00Z,46.98,57.00
2026-04-01T13:45:00Z,46.00,57.00
2026-04-01T13:46:00Z,46.00,56.85
2026-04-01T13:47:00Z,46.84,56.85
2026-04-01T13:48:00Z,47.00,56.85
2026-04-01T13:49:00Z,47.00,56.85
2026-04-01T13:52:00Z,45.00,55.00
2026-04-01T13:53:00Z,47.32,56.54
2026-04-01T13:54:00Z,47.86,55.99
2026-04-01T13:55:00Z,47.83,55.25
2026-04-01T13:56:00Z,47.91,55.89
2026-04-01T13:57:00Z,46.81,55.89
2026-04-01T13:58:00Z,49.77,55.29
2026-04-01T13:59:00Z,48.55,54.09
2026-04-01T14:00:00Z,43.20,56.88
2026-04-01T14:01:00Z,41.96,60.16
2026-04-01T14:02:00Z,29.12,66.60
2026-04-01T14:03:00Z,31.10,71.72
2026-04-01T14:04:00Z,31.10,73.41
