# event_ticker=KXATPCHALLENGERMATCH-26FEB27SCHSTR
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Joel Schwaerzler
# fav_player=Dominic Stricker
# dog_player=Joel Schwaerzler
# kalshi_date=2026-02-27
timestamp,Dominic Stricker,Joel Schwaerzler
2026-02-27T07:27:00Z,71.00,
2026-02-27T07:35:00Z,71.00,
2026-02-27T07:42:00Z,71.00,
2026-02-27T09:01:00Z,71.00,
2026-02-27T10:09:00Z,71.00,
2026-02-27T10:38:00Z,71.00,32.00
2026-02-27T11:36:00Z,74.00,32.00
2026-02-27T11:42:00Z,74.00,29.00
2026-02-27T11:44:00Z,74.00,28.00
2026-02-27T11:46:00Z,74.00,28.00
2026-02-27T11:58:00Z,73.00,28.00
2026-02-27T12:38:00Z,73.00,28.00
2026-02-27T12:39:00Z,74.00,28.00
2026-02-27T12:40:00Z,74.00,28.00
2026-02-27T12:41:00Z,75.00,28.00
2026-02-27T12:52:00Z,74.00,28.00
2026-02-27T12:54:00Z,74.00,28.00
2026-02-27T12:55:00Z,75.00,28.00
2026-02-27T12:56:00Z,75.00,28.00
2026-02-27T12:57:00Z,75.00,24.00
2026-02-27T12:58:00Z,76.00,24.00
2026-02-27T13:38:00Z,76.00,24.00
2026-02-27T13:46:00Z,76.00,26.00
2026-02-27T13:47:00Z,76.00,26.00
2026-02-27T13:53:00Z,76.00,26.00
2026-02-27T14:03:00Z,76.00,25.00
2026-02-27T14:17:00Z,76.00,25.00
2026-02-27T14:19:00Z,76.00,25.00
2026-02-27T14:21:00Z,76.00,25.00
2026-02-27T14:24:00Z,76.00,25.00
2026-02-27T14:25:00Z,76.00,25.00
2026-02-27T14:32:00Z,76.00,25.00
2026-02-27T14:35:00Z,76.00,25.00
2026-02-27T14:36:00Z,76.00,25.00
2026-02-27T14:37:00Z,76.00,25.00
2026-02-27T14:47:00Z,76.00,25.00
2026-02-27T14:53:00Z,76.00,25.00
2026-02-27T14:55:00Z,76.00,25.00
2026-02-27T14:59:00Z,76.00,25.00
2026-02-27T15:05:00Z,76.00,25.00
2026-02-27T15:09:00Z,76.00,25.00
2026-02-27T15:10:00Z,76.00,25.00
2026-02-27T15:35:00Z,76.00,25.00
2026-02-27T15:43:00Z,76.00,25.00
2026-02-27T15:44:00Z,76.00,25.00
2026-02-27T16:15:00Z,76.00,25.00
2026-02-27T16:19:00Z,76.00,25.00
2026-02-27T16:23:00Z,75.00,25.00
2026-02-27T16:26:00Z,75.00,24.00
2026-02-27T16:46:00Z,75.00,25.00
2026-02-27T16:51:00Z,75.00,25.00
2026-02-27T16:53:00Z,75.00,25.00
2026-02-27T16:54:00Z,75.00,25.00
