# event_ticker=KXATPMATCH-25SEP20SHEMPE
# final_score=6-7(2) 7-6(5) 6-4
# score_resolution=6-7 7-6 6-4
# match_winner=Alexander Shevchenko
# fav_player=Alexander Shevchenko
# dog_player=Giovanni Mpetshi Perricard
# kalshi_date=2025-09-20
timestamp,Alexander Shevchenko,Giovanni Mpetshi Perricard
2025-09-20T00:11:00Z,,64.00
2025-09-20T00:52:00Z,,64.00
2025-09-20T01:13:00Z,37.00,64.00
2025-09-20T01:49:00Z,37.00,64.00
2025-09-20T01:52:00Z,37.00,64.00
2025-09-20T02:35:00Z,37.00,64.00
2025-09-20T03:06:00Z,37.00,64.00
2025-09-20T03:46:00Z,37.00,64.00
2025-09-20T03:59:00Z,36.00,64.00
2025-09-20T04:06:00Z,37.00,64.00
2025-09-20T04:23:00Z,37.00,64.00
2025-09-20T04:30:00Z,37.00,64.00
2025-09-20T04:31:00Z,37.00,64.00
2025-09-20T04:32:00Z,37.00,64.00
2025-09-20T04:49:00Z,37.00,64.00
2025-09-20T04:53:00Z,37.00,64.00
2025-09-20T04:56:00Z,37.00,64.00
2025-09-20T05:04:00Z,37.00,64.00
2025-09-20T05:05:00Z,37.00,64.00
2025-09-20T05:06:00Z,37.00,64.00
2025-09-20T05:07:00Z,36.00,64.00
2025-09-20T05:20:00Z,36.00,64.00
2025-09-20T05:23:00Z,36.00,64.00
2025-09-20T05:32:00Z,36.00,64.00
2025-09-20T05:38:00Z,36.00,65.00
2025-09-20T05:47:00Z,36.00,65.00
2025-09-20T05:51:00Z,36.00,65.00
2025-09-20T06:00:00Z,36.00,65.00
2025-09-20T06:02:00Z,36.00,65.00
2025-09-20T06:03:00Z,36.00,65.00
2025-09-20T06:11:00Z,36.00,64.00
2025-09-20T06:16:00Z,36.00,64.00
2025-09-20T06:25:00Z,36.00,64.00
2025-09-20T06:29:00Z,36.00,64.00
2025-09-20T06:31:00Z,36.00,64.00
2025-09-20T06:47:00Z,36.00,64.00
2025-09-20T06:49:00Z,36.00,64.00
2025-09-20T06:55:00Z,36.00,64.00
2025-09-20T06:58:00Z,36.00,64.00
2025-09-20T06:59:00Z,36.00,64.00
2025-09-20T07:01:00Z,36.00,64.00
2025-09-20T07:02:00Z,36.00,64.00
2025-09-20T07:04:00Z,36.00,64.00
2025-09-20T07:07:00Z,36.00,64.00
2025-09-20T07:13:00Z,36.08,64.00
