# event_ticker=KXATPMATCH-25AUG21MEDMPE
# final_score=7-6(8) 6-2
# score_resolution=7-6 6-2
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Hamad Medjedovic
# kalshi_date=2025-08-21
timestamp,Giovanni Mpetshi Perricard,Hamad Medjedovic
2025-08-21T12:52:00Z,46.00,
2025-08-21T14:01:00Z,36.00,
2025-08-21T14:11:00Z,36.00,65.38
2025-08-21T14:34:00Z,36.00,65.00
2025-08-21T14:39:00Z,37.00,65.00
2025-08-21T14:47:00Z,37.00,65.00
2025-08-21T15:07:00Z,37.00,65.00
2025-08-21T15:13:00Z,37.00,65.00
2025-08-21T15:14:00Z,35.00,65.00
2025-08-21T15:23:00Z,35.00,65.00
2025-08-21T15:47:00Z,35.00,65.00
2025-08-21T15:48:00Z,35.00,65.00
2025-08-21T16:17:00Z,35.00,65.00
2025-08-21T16:27:00Z,35.00,65.00
2025-08-21T16:29:00Z,35.00,65.00
2025-08-21T16:36:00Z,35.00,65.00
2025-08-21T16:54:00Z,35.00,65.00
2025-08-21T17:19:00Z,36.00,65.00
2025-08-21T17:34:00Z,36.00,65.00
2025-08-21T17:39:00Z,35.00,65.00
2025-08-21T17:54:00Z,35.00,65.00
2025-08-21T18:11:00Z,35.00,65.00
2025-08-21T18:32:00Z,35.00,67.00
2025-08-21T19:14:00Z,35.00,66.00
2025-08-21T19:28:00Z,34.00,66.00
2025-08-21T19:39:00Z,34.00,66.00
2025-08-21T20:09:00Z,34.00,68.00
2025-08-21T20:26:00Z,34.00,68.00
2025-08-21T20:37:00Z,34.00,68.00
2025-08-21T20:59:00Z,36.00,68.00
2025-08-21T21:01:00Z,36.00,68.00
2025-08-21T21:03:00Z,36.00,68.00
2025-08-21T21:04:00Z,35.00,68.00
2025-08-21T21:07:00Z,35.00,68.00
2025-08-21T21:15:00Z,35.00,67.00
2025-08-21T21:21:00Z,35.00,67.00
2025-08-21T21:22:00Z,35.00,67.00
2025-08-21T21:23:00Z,35.00,67.00
2025-08-21T21:30:00Z,35.00,67.00
2025-08-21T21:32:00Z,35.00,67.00
2025-08-21T21:40:00Z,35.00,67.00
2025-08-21T21:42:00Z,35.00,67.00
2025-08-21T21:46:00Z,35.00,67.00
2025-08-21T21:52:00Z,35.00,67.00
2025-08-21T21:55:00Z,35.00,66.26
2025-08-21T21:56:00Z,35.00,66.26
2025-08-21T22:01:00Z,35.00,66.00
2025-08-21T22:03:00Z,35.00,67.00
2025-08-21T22:04:00Z,35.00,67.00
2025-08-21T22:05:00Z,35.00,67.00
2025-08-21T22:15:00Z,35.00,67.00
2025-08-21T22:17:00Z,35.00,67.00
2025-08-21T22:18:00Z,35.00,67.00
2025-08-21T22:25:00Z,35.00,67.00
2025-08-21T22:28:00Z,35.00,66.00
2025-08-21T22:30:00Z,35.00,66.00
2025-08-21T22:31:00Z,36.00,67.00
2025-08-21T22:32:00Z,36.00,67.00
2025-08-21T22:33:00Z,36.00,66.98
2025-08-21T22:34:00Z,35.00,66.98
2025-08-21T22:35:00Z,35.00,66.00
2025-08-21T22:37:00Z,35.07,66.00
2025-08-21T22:38:00Z,35.07,65.00
2025-08-21T22:39:00Z,35.07,66.00
2025-08-21T22:40:00Z,36.00,66.00
2025-08-21T22:49:00Z,38.00,66.00
2025-08-21T22:50:00Z,38.00,67.00
