# event_ticker=KXATPMATCH-26MAR10HIJNOR
# final_score=6-4 6-2
# match_winner=Cameron Norrie
# fav_player=Cameron Norrie
# dog_player=Rinky Hijikata
# kalshi_date=2026-03-10
timestamp,Cameron Norrie,Rinky Hijikata
2026-03-11T06:17:00Z,,29.00
2026-03-11T06:19:00Z,72.00,29.00
2026-03-11T06:25:00Z,72.00,29.00
2026-03-11T06:26:00Z,72.00,28.00
2026-03-11T06:28:00Z,72.00,28.00
2026-03-11T06:31:00Z,73.76,28.00
2026-03-11T06:32:00Z,73.76,28.00
2026-03-11T06:37:00Z,73.76,29.00
2026-03-11T06:43:00Z,73.76,29.00
2026-03-11T06:47:00Z,72.00,29.00
2026-03-11T06:50:00Z,72.00,29.00
2026-03-11T06:55:00Z,72.00,29.00
2026-03-11T06:59:00Z,72.00,29.00
2026-03-11T07:03:00Z,72.00,29.00
2026-03-11T07:05:00Z,72.00,29.00
2026-03-11T07:20:00Z,72.00,29.00
2026-03-11T07:22:00Z,72.00,27.00
2026-03-11T07:25:00Z,72.00,29.00
2026-03-11T07:26:00Z,72.00,27.00
2026-03-11T07:27:00Z,72.00,29.00
2026-03-11T07:28:00Z,72.00,29.00
2026-03-11T07:36:00Z,72.00,29.00
2026-03-11T07:42:00Z,72.00,29.00
2026-03-11T07:45:00Z,72.00,27.00
2026-03-11T07:47:00Z,72.00,29.00
2026-03-11T07:52:00Z,72.00,29.00
2026-03-11T08:08:00Z,72.00,29.00
2026-03-11T08:13:00Z,72.00,29.00
2026-03-11T08:15:00Z,72.00,27.90
2026-03-11T08:16:00Z,72.00,29.00
2026-03-11T08:21:00Z,72.00,29.00
2026-03-11T08:22:00Z,72.00,27.00
2026-03-11T08:26:00Z,73.00,27.00
2026-03-11T08:31:00Z,73.00,29.00
2026-03-11T08:35:00Z,73.00,29.00
2026-03-11T08:36:00Z,73.00,29.00
2026-03-11T08:44:00Z,73.00,29.00
2026-03-11T08:49:00Z,73.00,29.00
2026-03-11T08:59:00Z,73.00,29.00
2026-03-11T09:09:00Z,73.00,29.00
2026-03-11T09:26:00Z,73.00,29.00
2026-03-11T09:27:00Z,73.00,29.00
2026-03-11T09:28:00Z,73.00,27.00
2026-03-11T09:40:00Z,73.00,29.00
2026-03-11T09:51:00Z,73.00,29.00
2026-03-11T10:07:00Z,73.00,27.00
2026-03-11T10:10:00Z,73.00,27.00
2026-03-11T10:20:00Z,73.00,28.00
2026-03-11T10:22:00Z,73.00,28.00
2026-03-11T10:25:00Z,73.00,28.00
2026-03-11T10:30:00Z,73.00,28.00
2026-03-11T10:41:00Z,73.00,28.00
2026-03-11T10:45:00Z,73.00,28.00
2026-03-11T10:47:00Z,73.00,28.00
2026-03-11T10:52:00Z,73.00,28.00
2026-03-11T10:58:00Z,73.00,28.00
2026-03-11T11:01:00Z,73.00,28.00
2026-03-11T11:04:00Z,73.00,28.00
2026-03-11T11:12:00Z,73.00,28.00
2026-03-11T11:13:00Z,73.00,28.00
2026-03-11T11:20:00Z,73.00,28.00
2026-03-11T11:26:00Z,73.00,28.39
2026-03-11T11:27:00Z,73.00,28.00
2026-03-11T11:34:00Z,73.00,28.00
2026-03-11T11:37:00Z,73.00,28.00
2026-03-11T11:39:00Z,73.00,28.00
2026-03-11T11:46:00Z,73.00,28.00
2026-03-11T11:48:00Z,74.00,28.00
2026-03-11T11:49:00Z,74.00,28.00
2026-03-11T11:55:00Z,74.00,28.00
2026-03-11T11:56:00Z,74.00,28.00
2026-03-11T11:59:00Z,74.00,28.00
2026-03-11T12:02:00Z,74.00,28.00
2026-03-11T12:04:00Z,74.00,28.00
2026-03-11T12:13:00Z,74.00,27.12
2026-03-11T12:16:00Z,74.00,27.12
2026-03-11T12:20:00Z,74.00,27.00
2026-03-11T12:22:00Z,74.00,27.00
2026-03-11T12:23:00Z,74.00,27.00
2026-03-11T12:24:00Z,74.00,28.00
2026-03-11T12:27:00Z,74.00,28.00
2026-03-11T12:28:00Z,74.00,27.00
2026-03-11T12:29:00Z,74.00,27.00
2026-03-11T12:33:00Z,74.00,27.00
2026-03-11T12:40:00Z,74.00,27.00
2026-03-11T12:49:00Z,74.00,27.00
2026-03-11T12:52:00Z,74.00,27.00
2026-03-11T12:54:00Z,74.00,27.00
2026-03-11T12:57:00Z,74.00,27.00
2026-03-11T12:58:00Z,74.00,27.00
2026-03-11T13:03:00Z,74.00,27.00
2026-03-11T13:08:00Z,75.00,27.00
2026-03-11T13:09:00Z,75.00,27.00
2026-03-11T13:10:00Z,75.00,27.00
2026-03-11T13:11:00Z,75.00,25.62
2026-03-11T13:13:00Z,75.00,27.00
2026-03-11T13:14:00Z,75.00,27.00
2026-03-11T13:15:00Z,75.00,27.00
2026-03-11T13:17:00Z,75.00,27.00
2026-03-11T13:19:00Z,75.00,27.00
2026-03-11T13:22:00Z,75.00,27.00
2026-03-11T13:23:00Z,75.00,27.00
2026-03-11T13:28:00Z,75.00,27.00
2026-03-11T13:30:00Z,75.00,27.00
2026-03-11T13:31:00Z,75.00,27.00
2026-03-11T13:32:00Z,75.00,27.00
2026-03-11T13:33:00Z,75.00,27.00
2026-03-11T13:35:00Z,75.00,27.00
2026-03-11T13:37:00Z,75.00,27.00
2026-03-11T13:39:00Z,75.00,27.00
2026-03-11T13:40:00Z,75.00,27.00
2026-03-11T13:41:00Z,75.00,27.00
2026-03-11T13:42:00Z,75.00,25.00
2026-03-11T13:43:00Z,75.00,25.00
2026-03-11T13:45:00Z,74.00,27.00
2026-03-11T13:46:00Z,74.00,27.00
2026-03-11T13:48:00Z,74.00,27.00
2026-03-11T13:49:00Z,74.00,27.00
2026-03-11T13:50:00Z,74.00,27.00
2026-03-11T13:55:00Z,73.11,27.00
2026-03-11T13:56:00Z,73.11,27.00
2026-03-11T13:57:00Z,73.11,27.00
2026-03-11T13:58:00Z,74.00,27.00
2026-03-11T14:03:00Z,74.00,27.00
2026-03-11T14:04:00Z,74.55,27.00
2026-03-11T14:06:00Z,74.00,27.00
2026-03-11T14:08:00Z,74.00,27.00
2026-03-11T14:09:00Z,74.00,27.00
2026-03-11T14:13:00Z,75.00,27.00
2026-03-11T14:15:00Z,75.00,27.00
2026-03-11T14:17:00Z,75.00,27.00
2026-03-11T14:21:00Z,75.00,27.00
2026-03-11T14:22:00Z,75.00,27.00
2026-03-11T14:23:00Z,75.00,27.00
2026-03-11T14:26:00Z,74.00,27.00
