# event_ticker=KXATPCHALLENGERMATCH-26MAR31AVESCH
# final_score=6-7(10) 6-3 6-2
# score_resolution=6-7 6-3 6-2
# match_winner=Tristan Schoolkate
# fav_player=Tristan Schoolkate
# dog_player=Alafia Ayeni
# kalshi_date=2026-03-31
timestamp,Tristan Schoolkate,Alafia Ayeni
2026-03-31T06:26:00Z,94.00,
2026-03-31T07:13:00Z,94.00,93.00
2026-03-31T08:35:00Z,91.00,93.00
2026-03-31T08:37:00Z,78.00,31.75
2026-03-31T09:42:00Z,78.00,41.00
2026-03-31T09:45:00Z,83.07,31.02
2026-03-31T10:56:00Z,74.00,31.02
2026-03-31T11:07:00Z,76.00,31.02
2026-03-31T11:11:00Z,76.00,31.02
2026-03-31T11:18:00Z,76.00,31.02
2026-03-31T12:07:00Z,76.00,31.02
2026-03-31T13:04:00Z,78.00,31.02
2026-03-31T13:20:00Z,78.00,31.02
2026-03-31T13:43:00Z,78.92,31.02
2026-03-31T13:44:00Z,79.00,31.02
2026-03-31T13:50:00Z,78.00,31.02
2026-03-31T13:54:00Z,78.00,31.02
2026-03-31T13:58:00Z,78.00,31.02
2026-03-31T15:01:00Z,78.00,22.00
2026-03-31T15:04:00Z,78.00,22.00
2026-03-31T15:47:00Z,78.00,22.00
2026-03-31T16:13:00Z,78.00,21.00
2026-03-31T16:20:00Z,78.00,21.00
2026-03-31T16:52:00Z,78.00,21.00
2026-03-31T17:01:00Z,79.00,21.00
2026-03-31T17:22:00Z,79.00,21.00
2026-03-31T17:30:00Z,79.00,21.00
2026-03-31T17:42:00Z,79.00,21.00
2026-03-31T17:51:00Z,79.00,22.59
2026-03-31T17:56:00Z,79.00,23.00
2026-03-31T17:59:00Z,79.97,23.00
2026-03-31T18:00:00Z,80.00,23.00
2026-03-31T18:04:00Z,80.00,23.00
2026-03-31T18:09:00Z,79.00,23.00
2026-03-31T18:10:00Z,79.00,23.00
2026-03-31T18:11:00Z,79.00,23.00
2026-03-31T18:12:00Z,77.46,23.00
2026-03-31T18:13:00Z,75.56,23.00
2026-03-31T18:14:00Z,75.56,27.00
2026-03-31T18:15:00Z,75.56,27.33
2026-03-31T18:16:00Z,76.00,23.00
2026-03-31T18:18:00Z,75.00,25.00
2026-03-31T18:19:00Z,75.00,23.00
2026-03-31T18:20:00Z,77.11,23.00
2026-03-31T18:21:00Z,75.00,23.00
2026-03-31T18:22:00Z,75.00,28.00
2026-03-31T18:23:00Z,75.00,29.17
2026-03-31T18:24:00Z,74.00,27.00
2026-03-31T18:25:00Z,75.98,23.00
2026-03-31T18:26:00Z,77.00,22.06
2026-03-31T18:27:00Z,77.00,24.00
2026-03-31T18:28:00Z,81.92,23.92
2026-03-31T18:29:00Z,79.00,23.92
2026-03-31T18:30:00Z,79.00,20.08
2026-03-31T18:31:00Z,79.00,20.46
2026-03-31T18:32:00Z,82.47,19.32
2026-03-31T18:33:00Z,72.57,19.32
2026-03-31T18:34:00Z,72.57,28.00
2026-03-31T18:35:00Z,73.00,27.00
2026-03-31T18:36:00Z,73.00,29.00
2026-03-31T18:37:00Z,75.15,25.20
2026-03-31T18:38:00Z,78.00,23.07
2026-03-31T18:39:00Z,78.00,24.95
2026-03-31T18:40:00Z,75.00,27.32
2026-03-31T18:41:00Z,71.00,27.82
