# event_ticker=KXATPMATCH-25JUL28SCHFON
# final_score=7-6(5) 6-4
# score_resolution=6-7 4-6
# match_winner=Tristan Schoolkate
# fav_player=Joao Fonseca
# dog_player=Tristan Schoolkate
# kalshi_date=2025-07-28
timestamp,Joao Fonseca,Tristan Schoolkate
2025-07-28T12:29:00Z,79.00,
2025-07-28T12:31:00Z,76.00,
2025-07-28T12:44:00Z,77.00,
2025-07-28T13:50:00Z,77.00,23.00
2025-07-28T15:22:00Z,77.00,22.00
2025-07-28T15:27:00Z,77.00,22.00
2025-07-28T15:48:00Z,77.00,22.00
2025-07-28T15:49:00Z,77.00,22.00
2025-07-28T16:03:00Z,77.00,22.00
2025-07-28T16:08:00Z,77.00,22.00
2025-07-28T16:14:00Z,77.00,22.00
2025-07-28T16:26:00Z,77.00,22.00
2025-07-28T16:42:00Z,79.27,22.00
2025-07-28T16:43:00Z,79.27,22.00
2025-07-28T16:45:00Z,79.27,22.00
2025-07-28T16:54:00Z,79.00,22.00
2025-07-28T16:56:00Z,79.00,22.00
2025-07-28T17:13:00Z,79.00,22.00
2025-07-28T17:25:00Z,79.00,23.00
2025-07-28T17:26:00Z,79.00,23.00
2025-07-28T17:27:00Z,79.08,23.00
2025-07-28T17:28:00Z,79.08,22.00
2025-07-28T17:36:00Z,79.08,22.00
2025-07-28T17:38:00Z,80.00,22.00
2025-07-28T17:40:00Z,80.00,22.00
2025-07-28T18:09:00Z,80.00,20.00
2025-07-28T18:10:00Z,80.00,23.00
2025-07-28T18:11:00Z,80.00,24.34
2025-07-28T18:12:00Z,77.00,25.49
2025-07-28T18:13:00Z,77.00,26.51
2025-07-28T18:14:00Z,75.00,25.00
2025-07-28T18:15:00Z,77.00,29.87
2025-07-28T18:16:00Z,72.48,29.02
2025-07-28T18:17:00Z,73.49,35.30
2025-07-28T18:18:00Z,73.49,23.00
2025-07-28T18:19:00Z,76.26,23.00
2025-07-28T18:20:00Z,76.26,23.00
2025-07-28T18:21:00Z,76.26,29.46
2025-07-28T18:22:00Z,72.14,26.32
2025-07-28T18:23:00Z,72.00,28.00
2025-07-28T18:24:00Z,72.00,29.00
2025-07-28T18:27:00Z,67.90,35.71
2025-07-28T18:28:00Z,71.00,29.00
2025-07-28T18:29:00Z,73.57,30.74
2025-07-28T18:30:00Z,67.61,33.13
2025-07-28T18:31:00Z,67.61,36.71
2025-07-28T18:32:00Z,66.92,34.00
2025-07-28T18:33:00Z,69.00,33.00
2025-07-28T18:34:00Z,69.00,33.00
2025-07-28T18:35:00Z,69.00,32.03
2025-07-28T18:36:00Z,69.00,35.11
2025-07-28T18:37:00Z,70.28,35.11
2025-07-28T18:38:00Z,67.82,34.90
2025-07-28T18:39:00Z,67.82,34.26
2025-07-28T18:40:00Z,69.84,34.26
2025-07-28T18:41:00Z,69.05,31.67
2025-07-28T18:42:00Z,69.05,32.89
2025-07-28T18:43:00Z,65.20,34.79
2025-07-28T18:44:00Z,65.00,37.31
2025-07-28T18:45:00Z,65.00,37.00
2025-07-28T18:46:00Z,59.20,40.80
2025-07-28T18:47:00Z,59.20,35.77
2025-07-28T18:48:00Z,67.31,36.00
2025-07-28T18:49:00Z,64.23,39.58
2025-07-28T18:50:00Z,60.00,42.66
2025-07-28T18:51:00Z,61.00,42.89
2025-07-28T18:52:00Z,60.00,39.78
2025-07-28T18:53:00Z,71.63,38.51
2025-07-28T18:54:00Z,63.71,37.19
2025-07-28T18:55:00Z,66.66,34.87
2025-07-28T18:56:00Z,66.99,34.10
2025-07-28T18:57:00Z,71.00,33.91
2025-07-28T18:58:00Z,63.41,41.07
2025-07-28T18:59:00Z,65.39,38.57
2025-07-28T19:00:00Z,65.62,32.66
2025-07-28T19:01:00Z,62.87,38.96
2025-07-28T19:02:00Z,53.03,53.96
2025-07-28T19:03:00Z,44.39,61.55
2025-07-28T19:04:00Z,39.49,60.34
2025-07-28T19:05:00Z,40.00,60.66
2025-07-28T19:06:00Z,46.09,59.66
2025-07-28T19:07:00Z,48.00,54.00
2025-07-28T19:08:00Z,46.78,55.09
2025-07-28T19:09:00Z,51.54,49.25
2025-07-28T19:10:00Z,48.90,52.87
2025-07-28T19:11:00Z,49.69,52.92
2025-07-28T19:12:00Z,46.09,58.93
