# event_ticker=KXATPCHALLENGERMATCH-26MAR31MORMAT
# final_score=4-6 6-4 6-0
# score_resolution=6-4 4-6 0-6
# match_winner=Hiroki Moriya
# fav_player=Koki Matsuda
# dog_player=Hiroki Moriya
# kalshi_date=2026-03-31
timestamp,Koki Matsuda,Hiroki Moriya
2026-03-30T20:13:00Z,40.00,
2026-03-30T21:28:00Z,40.00,61.00
2026-03-31T00:18:00Z,40.00,61.00
2026-03-31T02:31:00Z,40.00,61.00
2026-03-31T02:51:00Z,40.79,61.00
2026-03-31T02:52:00Z,42.00,61.00
2026-03-31T03:07:00Z,42.00,60.00
2026-03-31T03:17:00Z,41.00,60.00
2026-03-31T03:24:00Z,41.00,60.00
2026-03-31T03:43:00Z,41.00,60.00
2026-03-31T03:53:00Z,41.00,61.00
2026-03-31T03:54:00Z,41.00,60.00
2026-03-31T04:00:00Z,41.00,60.00
2026-03-31T04:11:00Z,41.00,60.00
2026-03-31T04:38:00Z,41.00,60.83
2026-03-31T04:41:00Z,41.00,60.00
2026-03-31T04:42:00Z,41.00,61.00
2026-03-31T04:44:00Z,42.00,61.00
2026-03-31T04:45:00Z,42.00,61.00
2026-03-31T04:47:00Z,42.00,61.74
2026-03-31T04:48:00Z,42.00,61.00
2026-03-31T04:54:00Z,42.00,61.00
2026-03-31T04:57:00Z,42.00,61.00
2026-03-31T05:00:00Z,42.00,61.99
2026-03-31T05:02:00Z,41.00,61.99
2026-03-31T05:03:00Z,41.00,61.00
2026-03-31T05:04:00Z,41.00,61.00
2026-03-31T05:06:00Z,41.00,60.00
2026-03-31T05:16:00Z,41.00,60.00
2026-03-31T05:19:00Z,41.00,60.00
2026-03-31T05:20:00Z,41.00,60.00
2026-03-31T05:21:00Z,42.24,60.00
2026-03-31T05:22:00Z,42.24,60.00
2026-03-31T05:28:00Z,42.24,61.86
2026-03-31T05:30:00Z,42.24,61.16
2026-03-31T05:32:00Z,42.24,61.00
2026-03-31T05:34:00Z,42.24,61.92
2026-03-31T05:35:00Z,42.24,61.95
2026-03-31T05:36:00Z,42.00,61.95
2026-03-31T05:40:00Z,42.00,61.51
2026-03-31T05:41:00Z,42.00,61.00
2026-03-31T05:42:00Z,41.00,61.00
2026-03-31T05:43:00Z,41.00,61.00
2026-03-31T05:45:00Z,41.00,61.00
2026-03-31T05:46:00Z,41.00,61.94
2026-03-31T05:48:00Z,41.00,61.94
2026-03-31T05:56:00Z,41.00,61.94
