# event_ticker=KXATPMATCH-25OCT16HUMBER
# final_score=7-6(5) 6-3
# score_resolution=6-7 3-6
# match_winner=Ugo Humbert
# fav_player=Matteo Berrettini
# dog_player=Ugo Humbert
# kalshi_date=2025-10-16
timestamp,Matteo Berrettini,Ugo Humbert
2025-10-16T03:34:00Z,,51.00
2025-10-16T04:08:00Z,51.00,51.00
2025-10-16T04:10:00Z,51.00,51.00
2025-10-16T04:15:00Z,50.00,51.00
2025-10-16T04:18:00Z,50.00,51.00
2025-10-16T04:24:00Z,50.00,51.00
2025-10-16T04:27:00Z,50.00,51.00
2025-10-16T04:32:00Z,50.00,51.00
2025-10-16T04:34:00Z,50.00,51.00
2025-10-16T04:40:00Z,50.00,51.00
2025-10-16T04:42:00Z,50.00,51.00
2025-10-16T04:57:00Z,50.00,51.00
2025-10-16T05:05:00Z,50.00,51.00
2025-10-16T05:08:00Z,49.00,51.00
2025-10-16T05:14:00Z,50.00,51.00
2025-10-16T05:20:00Z,50.00,51.00
2025-10-16T05:23:00Z,50.00,51.00
2025-10-16T05:27:00Z,50.00,51.00
2025-10-16T05:28:00Z,50.00,51.00
2025-10-16T05:32:00Z,50.00,50.00
2025-10-16T05:35:00Z,50.00,50.00
2025-10-16T05:36:00Z,51.00,50.00
2025-10-16T05:39:00Z,51.00,50.00
2025-10-16T06:04:00Z,51.00,50.00
2025-10-16T06:27:00Z,51.00,50.00
2025-10-16T06:31:00Z,51.00,50.00
2025-10-16T06:47:00Z,51.00,50.00
2025-10-16T06:53:00Z,51.00,50.00
2025-10-16T09:02:00Z,51.00,51.00
2025-10-16T09:09:00Z,51.00,51.00
2025-10-16T09:11:00Z,51.00,51.00
2025-10-16T09:15:00Z,51.00,51.00
2025-10-16T09:17:00Z,51.00,51.00
2025-10-16T09:19:00Z,51.00,51.00
2025-10-16T09:30:00Z,51.00,51.00
2025-10-16T09:34:00Z,50.00,51.00
2025-10-16T09:35:00Z,50.00,51.00
2025-10-16T09:39:00Z,50.00,51.00
2025-10-16T09:44:00Z,50.00,51.00
2025-10-16T09:49:00Z,50.00,51.00
2025-10-16T09:54:00Z,50.00,51.00
2025-10-16T10:00:00Z,50.00,50.00
2025-10-16T10:09:00Z,50.00,50.00
2025-10-16T10:11:00Z,52.00,50.00
2025-10-16T10:14:00Z,52.00,50.00
2025-10-16T10:16:00Z,52.00,49.00
2025-10-16T10:18:00Z,52.00,50.00
2025-10-16T10:47:00Z,52.00,50.00
2025-10-16T10:48:00Z,52.00,50.00
2025-10-16T10:49:00Z,52.00,50.00
2025-10-16T10:51:00Z,52.00,50.00
2025-10-16T10:52:00Z,52.00,50.00
2025-10-16T10:58:00Z,52.00,50.00
2025-10-16T11:02:00Z,52.00,50.00
2025-10-16T11:03:00Z,51.00,50.00
2025-10-16T11:04:00Z,51.00,50.00
2025-10-16T11:10:00Z,51.00,50.00
2025-10-16T11:12:00Z,51.00,50.00
2025-10-16T11:16:00Z,51.00,50.00
2025-10-16T11:22:00Z,51.00,50.00
2025-10-16T11:25:00Z,51.00,50.00
2025-10-16T11:34:00Z,51.00,50.00
2025-10-16T11:36:00Z,51.00,50.00
2025-10-16T11:38:00Z,51.81,50.00
2025-10-16T11:42:00Z,51.81,50.00
2025-10-16T11:45:00Z,52.00,50.00
2025-10-16T11:56:00Z,52.00,50.00
2025-10-16T12:06:00Z,51.90,50.00
2025-10-16T12:14:00Z,51.90,50.00
2025-10-16T12:17:00Z,52.00,50.00
2025-10-16T12:21:00Z,52.00,50.00
2025-10-16T12:22:00Z,52.00,50.00
2025-10-16T12:25:00Z,52.00,50.00
2025-10-16T12:26:00Z,52.00,50.00
2025-10-16T12:32:00Z,52.00,50.00
2025-10-16T12:34:00Z,52.00,50.00
2025-10-16T12:35:00Z,52.00,50.00
2025-10-16T12:36:00Z,52.00,50.00
2025-10-16T12:37:00Z,52.00,50.00
2025-10-16T12:38:00Z,52.00,50.00
2025-10-16T12:39:00Z,52.00,50.00
2025-10-16T12:40:00Z,52.00,49.00
2025-10-16T12:41:00Z,52.00,49.00
2025-10-16T12:42:00Z,52.00,50.00
2025-10-16T12:43:00Z,51.00,50.00
2025-10-16T12:45:00Z,51.00,50.33
2025-10-16T12:46:00Z,51.00,50.33
2025-10-16T12:47:00Z,51.00,50.33
2025-10-16T12:48:00Z,51.00,50.00
2025-10-16T12:50:00Z,51.00,50.00
2025-10-16T12:51:00Z,51.00,50.00
2025-10-16T12:52:00Z,51.00,50.00
2025-10-16T12:53:00Z,51.00,50.00
2025-10-16T12:57:00Z,51.00,50.00
2025-10-16T12:59:00Z,51.00,50.00
2025-10-16T13:01:00Z,50.00,49.00
2025-10-16T13:02:00Z,51.00,49.00
2025-10-16T13:04:00Z,51.00,50.00
2025-10-16T13:05:00Z,51.00,50.00
2025-10-16T13:06:00Z,51.00,50.00
2025-10-16T13:07:00Z,51.00,50.00
2025-10-16T13:09:00Z,51.00,50.00
2025-10-16T13:10:00Z,51.00,50.00
2025-10-16T13:11:00Z,51.00,50.57
2025-10-16T13:12:00Z,51.00,51.00
2025-10-16T13:13:00Z,51.00,50.00
2025-10-16T13:15:00Z,51.00,50.00
2025-10-16T13:16:00Z,51.00,50.00
2025-10-16T13:18:00Z,50.78,50.00
2025-10-16T13:19:00Z,51.00,50.00
2025-10-16T13:20:00Z,51.00,50.53
2025-10-16T13:21:00Z,51.00,50.53
2025-10-16T13:22:00Z,51.00,50.00
2025-10-16T13:23:00Z,51.00,50.00
2025-10-16T13:25:00Z,51.35,50.00
2025-10-16T13:26:00Z,51.50,50.00
2025-10-16T13:27:00Z,51.00,50.00
2025-10-16T13:29:00Z,51.00,50.00
2025-10-16T13:30:00Z,51.00,50.00
2025-10-16T13:31:00Z,51.00,50.00
2025-10-16T13:32:00Z,51.00,50.00
2025-10-16T13:33:00Z,51.54,50.00
2025-10-16T13:34:00Z,51.18,50.00
2025-10-16T13:35:00Z,51.09,49.62
2025-10-16T13:36:00Z,52.00,49.62
2025-10-16T13:37:00Z,52.00,49.62
2025-10-16T13:41:00Z,52.00,50.00
2025-10-16T13:44:00Z,51.36,50.00
2025-10-16T13:46:00Z,52.00,50.00
2025-10-16T13:48:00Z,52.00,50.00
2025-10-16T13:51:00Z,52.00,50.00
2025-10-16T13:52:00Z,50.07,50.00
2025-10-16T13:53:00Z,50.07,50.00
2025-10-16T13:54:00Z,50.07,50.00
2025-10-16T13:55:00Z,51.97,50.00
2025-10-16T13:56:00Z,52.00,50.00
2025-10-16T13:57:00Z,52.00,50.00
2025-10-16T13:59:00Z,52.00,50.00
2025-10-16T14:00:00Z,52.00,50.00
2025-10-16T14:01:00Z,52.00,50.00
2025-10-16T14:03:00Z,52.00,50.00
2025-10-16T14:05:00Z,52.00,50.00
2025-10-16T14:06:00Z,52.00,50.00
2025-10-16T14:07:00Z,52.00,50.00
2025-10-16T14:10:00Z,52.00,50.00
2025-10-16T14:11:00Z,52.00,50.00
2025-10-16T14:12:00Z,52.00,50.00
2025-10-16T14:13:00Z,52.00,49.19
2025-10-16T14:14:00Z,52.00,50.00
2025-10-16T14:16:00Z,52.00,50.00
2025-10-16T14:18:00Z,52.00,50.00
2025-10-16T14:19:00Z,52.00,50.00
2025-10-16T14:20:00Z,52.00,50.00
2025-10-16T14:21:00Z,52.00,49.00
2025-10-16T14:25:00Z,52.00,50.00
2025-10-16T14:27:00Z,52.00,50.00
2025-10-16T14:28:00Z,52.00,50.00
2025-10-16T14:29:00Z,52.00,50.00
2025-10-16T14:30:00Z,52.00,50.00
2025-10-16T14:31:00Z,52.00,50.00
2025-10-16T14:32:00Z,50.00,50.00
2025-10-16T14:33:00Z,50.00,50.00
2025-10-16T14:34:00Z,50.00,50.00
2025-10-16T14:35:00Z,50.00,50.00
2025-10-16T14:36:00Z,50.00,50.00
2025-10-16T14:37:00Z,50.10,49.20
2025-10-16T14:38:00Z,49.50,49.00
2025-10-16T14:39:00Z,51.00,49.00
2025-10-16T14:40:00Z,49.26,50.71
2025-10-16T14:41:00Z,51.00,50.71
2025-10-16T14:42:00Z,51.00,51.00
2025-10-16T14:44:00Z,51.00,51.00
2025-10-16T14:45:00Z,51.00,51.00
2025-10-16T14:46:00Z,51.00,51.00
2025-10-16T14:47:00Z,50.56,51.00
2025-10-16T14:48:00Z,51.00,51.00
2025-10-16T14:49:00Z,51.00,50.00
2025-10-16T14:51:00Z,51.00,50.00
2025-10-16T14:52:00Z,51.00,50.00
2025-10-16T14:53:00Z,51.00,50.48
2025-10-16T14:54:00Z,51.00,50.00
2025-10-16T14:55:00Z,51.00,50.48
2025-10-16T14:56:00Z,51.00,50.49
2025-10-16T14:57:00Z,49.90,51.57
2025-10-16T14:58:00Z,50.90,50.00
2025-10-16T14:59:00Z,51.00,50.00
2025-10-16T15:00:00Z,51.00,50.00
2025-10-16T15:01:00Z,51.13,50.72
2025-10-16T15:02:00Z,50.66,51.00
2025-10-16T15:03:00Z,50.49,51.00
2025-10-16T15:04:00Z,50.49,51.00
2025-10-16T15:05:00Z,49.11,51.57
2025-10-16T15:06:00Z,50.50,52.00
2025-10-16T15:07:00Z,50.76,51.33
2025-10-16T15:08:00Z,50.98,51.13
2025-10-16T15:09:00Z,50.98,50.00
2025-10-16T15:10:00Z,50.00,56.41
2025-10-16T15:11:00Z,50.00,52.00
2025-10-16T15:12:00Z,51.31,50.42
2025-10-16T15:13:00Z,55.64,41.80
2025-10-16T15:14:00Z,54.34,48.45
2025-10-16T15:15:00Z,49.57,51.45
2025-10-16T15:16:00Z,50.00,50.80
2025-10-16T15:17:00Z,52.12,50.22
2025-10-16T15:18:00Z,53.00,48.26
2025-10-16T15:19:00Z,51.89,49.50
2025-10-16T15:20:00Z,51.89,50.90
2025-10-16T15:21:00Z,51.67,50.84
2025-10-16T15:22:00Z,52.00,50.58
2025-10-16T15:23:00Z,52.04,50.48
2025-10-16T15:24:00Z,52.04,49.10
2025-10-16T15:25:00Z,47.68,51.02
2025-10-16T15:26:00Z,46.83,54.20
2025-10-16T15:27:00Z,49.01,52.40
2025-10-16T15:28:00Z,51.92,49.10
2025-10-16T15:29:00Z,51.92,50.67
2025-10-16T15:30:00Z,49.00,51.00
2025-10-16T15:31:00Z,49.99,50.11
2025-10-16T15:32:00Z,51.00,52.91
2025-10-16T15:33:00Z,51.00,50.09
2025-10-16T15:34:00Z,53.53,49.84
2025-10-16T15:35:00Z,55.19,45.81
2025-10-16T15:36:00Z,56.17,47.00
2025-10-16T15:37:00Z,50.00,50.25
2025-10-16T15:38:00Z,50.00,51.42
2025-10-16T15:39:00Z,50.00,51.81
2025-10-16T15:40:00Z,52.23,52.17
2025-10-16T15:41:00Z,49.60,49.70
2025-10-16T15:42:00Z,49.60,49.03
2025-10-16T15:43:00Z,49.60,50.00
2025-10-16T15:44:00Z,49.60,52.00
2025-10-16T15:45:00Z,49.00,51.01
2025-10-16T15:46:00Z,48.09,54.00
2025-10-16T15:47:00Z,49.35,53.62
2025-10-16T15:48:00Z,51.00,52.00
2025-10-16T15:49:00Z,51.10,52.00
2025-10-16T15:50:00Z,51.10,50.79
2025-10-16T15:51:00Z,49.00,51.44
2025-10-16T15:52:00Z,46.80,53.67
2025-10-16T15:53:00Z,47.00,55.58
2025-10-16T15:54:00Z,47.86,53.48
2025-10-16T15:55:00Z,49.00,50.53
2025-10-16T15:56:00Z,51.00,51.24
2025-10-16T15:57:00Z,49.97,53.00
2025-10-16T15:58:00Z,45.70,54.15
2025-10-16T15:59:00Z,37.37,58.56
2025-10-16T16:00:00Z,36.96,66.52
2025-10-16T16:01:00Z,35.56,63.50
2025-10-16T16:02:00Z,37.75,60.47
2025-10-16T16:03:00Z,47.72,57.20
2025-10-16T16:04:00Z,47.42,62.20
2025-10-16T16:05:00Z,33.42,67.30
2025-10-16T16:06:00Z,29.38,67.56
2025-10-16T16:07:00Z,29.00,71.00
2025-10-16T16:08:00Z,29.88,71.99
2025-10-16T16:09:00Z,29.67,71.94
2025-10-16T16:10:00Z,29.09,72.92
2025-10-16T16:11:00Z,22.61,77.73
2025-10-16T16:12:00Z,20.26,80.20
2025-10-16T16:13:00Z,11.34,87.36
2025-10-16T16:14:00Z,10.34,91.20
2025-10-16T16:15:00Z,8.72,90.06
2025-10-16T16:16:00Z,9.34,90.10
2025-10-16T16:17:00Z,8.32,91.66
2025-10-16T16:18:00Z,6.88,93.64
2025-10-16T16:19:00Z,7.10,92.53
2025-10-16T16:20:00Z,7.22,93.22
2025-10-16T16:21:00Z,9.15,90.60
2025-10-16T16:22:00Z,9.00,91.46
2025-10-16T16:23:00Z,8.40,91.25
2025-10-16T16:24:00Z,12.28,86.96
2025-10-16T16:25:00Z,11.92,87.30
2025-10-16T16:26:00Z,8.02,92.03
2025-10-16T16:27:00Z,8.98,93.00
2025-10-16T16:28:00Z,9.00,91.99
2025-10-16T16:29:00Z,9.00,91.06
2025-10-16T16:30:00Z,9.81,91.33
