# event_ticker=KXATPCHALLENGERMATCH-26MAR18SARREI
# final_score=7-6(5) 1-6 6-3
# score_resolution=7-6 1-6 6-3
# match_winner=Joao Lucas Reis Da Silva
# fav_player=Joao Lucas Reis Da Silva
# dog_player=Paulo Andre Saraiva Dos Santos
# kalshi_date=2026-03-18
timestamp,Joao Lucas Reis Da Silva,Paulo Andre Saraiva Dos Santos
2026-03-18T07:53:00Z,78.00,
2026-03-18T08:24:00Z,78.00,
2026-03-18T08:37:00Z,83.52,15.78
2026-03-18T08:40:00Z,83.52,14.00
2026-03-18T08:42:00Z,90.00,13.00
2026-03-18T09:35:00Z,90.00,14.00
2026-03-18T09:41:00Z,90.00,13.00
2026-03-18T09:50:00Z,90.00,13.00
2026-03-18T09:57:00Z,90.00,13.00
2026-03-18T10:45:00Z,90.00,13.00
2026-03-18T12:39:00Z,88.25,11.00
2026-03-18T12:46:00Z,88.25,12.00
2026-03-18T12:56:00Z,89.00,11.00
2026-03-18T13:26:00Z,90.00,11.00
2026-03-18T13:51:00Z,90.00,12.00
2026-03-18T13:52:00Z,90.00,10.00
2026-03-18T14:10:00Z,90.00,10.00
2026-03-18T14:38:00Z,90.00,10.00
2026-03-18T14:52:00Z,90.00,10.00
2026-03-18T15:10:00Z,90.00,12.00
2026-03-18T15:21:00Z,88.00,12.00
2026-03-18T15:45:00Z,88.00,10.00
2026-03-18T15:46:00Z,89.13,10.00
2026-03-18T16:14:00Z,89.13,10.00
2026-03-18T16:29:00Z,90.00,10.00
2026-03-18T16:51:00Z,90.00,10.00
2026-03-18T16:55:00Z,90.00,11.00
2026-03-18T17:25:00Z,90.00,11.00
2026-03-18T17:30:00Z,90.00,11.00
2026-03-18T17:41:00Z,90.00,11.00
2026-03-18T17:54:00Z,90.00,11.00
2026-03-18T18:03:00Z,90.00,12.00
2026-03-18T18:04:00Z,90.73,12.00
2026-03-18T18:05:00Z,90.73,12.00
2026-03-18T18:08:00Z,91.00,12.00
2026-03-18T18:41:00Z,90.00,11.00
2026-03-18T18:42:00Z,90.00,11.00
2026-03-18T18:51:00Z,90.00,11.00
2026-03-18T18:53:00Z,90.00,11.28
2026-03-18T19:00:00Z,91.00,11.28
2026-03-18T19:07:00Z,90.00,11.00
2026-03-18T19:15:00Z,90.00,12.00
2026-03-18T19:16:00Z,90.00,12.00
2026-03-18T19:29:00Z,90.00,12.00
2026-03-18T19:31:00Z,90.00,12.79
