# event_ticker=KXATPCHALLENGERMATCH-26MAY20JORYEV
# final_score=7-5 6-2
# match_winner=David Jorda Sanchis
# fav_player=David Jorda Sanchis
# dog_player=Denis Yevseyev
# kalshi_date=2026-05-20
timestamp,David Jorda Sanchis,Denis Yevseyev
2026-05-19T21:50:00Z,,35.00
2026-05-19T23:03:00Z,,34.00
2026-05-20T03:10:00Z,66.00,34.00
2026-05-20T04:30:00Z,66.00,34.00
2026-05-20T05:11:00Z,66.00,35.00
2026-05-20T05:38:00Z,66.00,35.00
2026-05-20T06:40:00Z,67.00,35.00
2026-05-20T07:44:00Z,66.00,35.00
2026-05-20T09:33:00Z,68.00,35.00
2026-05-20T09:41:00Z,68.00,35.00
2026-05-20T09:42:00Z,66.00,33.00
2026-05-20T09:45:00Z,64.00,35.00
2026-05-20T09:46:00Z,65.02,37.00
2026-05-20T09:47:00Z,65.02,30.00
2026-05-20T09:48:00Z,69.00,30.00
2026-05-20T09:49:00Z,69.00,32.00
2026-05-20T09:50:00Z,69.00,32.00
2026-05-20T09:53:00Z,69.00,30.62
2026-05-20T09:54:00Z,69.00,30.62
2026-05-20T09:56:00Z,66.01,30.62
2026-05-20T09:57:00Z,67.00,30.62
2026-05-20T10:00:00Z,71.00,30.62
2026-05-20T10:03:00Z,71.00,34.00
2026-05-20T10:04:00Z,70.00,34.00
2026-05-20T10:07:00Z,71.00,34.00
2026-05-20T10:08:00Z,72.00,32.00
2026-05-20T10:09:00Z,65.57,31.54
2026-05-20T10:10:00Z,68.00,31.48
2026-05-20T10:11:00Z,67.00,31.48
2026-05-20T10:13:00Z,61.71,36.41
2026-05-20T10:14:00Z,65.58,33.90
2026-05-20T10:15:00Z,70.00,35.00
2026-05-20T10:16:00Z,71.00,29.00
2026-05-20T10:17:00Z,70.11,33.00
2026-05-20T10:20:00Z,70.11,33.89
2026-05-20T10:21:00Z,65.00,33.89
2026-05-20T10:24:00Z,74.07,25.16
2026-05-20T10:25:00Z,76.74,19.45
2026-05-20T10:26:00Z,81.00,16.56
2026-05-20T10:30:00Z,84.00,17.00
2026-05-20T10:31:00Z,82.62,18.30
2026-05-20T10:32:00Z,86.00,17.00
2026-05-20T10:34:00Z,86.00,12.00
2026-05-20T10:36:00Z,86.00,12.00
2026-05-20T10:37:00Z,90.00,12.00
2026-05-20T10:38:00Z,92.05,12.00
2026-05-20T10:39:00Z,92.05,8.00
2026-05-20T10:40:00Z,89.00,8.00
2026-05-20T10:41:00Z,89.00,11.45
2026-05-20T10:42:00Z,89.00,14.09
2026-05-20T10:44:00Z,88.00,14.09
2026-05-20T10:45:00Z,90.00,11.94
2026-05-20T10:46:00Z,90.00,11.00
2026-05-20T10:47:00Z,87.00,12.59
2026-05-20T10:48:00Z,89.00,11.00
2026-05-20T10:49:00Z,89.00,8.00
2026-05-20T10:50:00Z,92.98,8.00
2026-05-20T10:51:00Z,91.01,8.00
2026-05-20T10:52:00Z,94.87,6.30
2026-05-20T10:53:00Z,95.00,4.86
2026-05-20T10:54:00Z,95.00,6.97
2026-05-20T10:55:00Z,94.00,8.00
2026-05-20T10:56:00Z,94.00,10.56
2026-05-20T10:57:00Z,90.52,10.91
2026-05-20T10:58:00Z,96.00,10.91
2026-05-20T10:59:00Z,95.30,4.35
2026-05-20T11:00:00Z,95.48,4.00
2026-05-20T11:01:00Z,95.48,3.15
2026-05-20T11:02:00Z,98.00,2.04
2026-05-20T11:03:00Z,99.00,2.04
2026-05-20T11:04:00Z,99.00,2.04
2026-05-20T11:05:00Z,99.00,1.00
2026-05-20T11:06:00Z,99.00,1.00
2026-05-20T11:08:00Z,99.00,1.00
