# event_ticker=KXATPCHALLENGERMATCH-26MAR03BARKUZ
# final_score=6-3 6-2
# match_winner=Dimitar Kuzmanov
# fav_player=Dimitar Kuzmanov
# dog_player=Javier Barranco Cosano
# kalshi_date=2026-03-03
timestamp,Dimitar Kuzmanov,Javier Barranco Cosano
2026-03-03T22:19:00Z,80.64,20.00
2026-03-03T22:20:00Z,81.03,18.32
2026-03-03T22:21:00Z,80.87,20.00
2026-03-03T22:22:00Z,80.37,19.00
2026-03-03T22:23:00Z,79.54,17.26
2026-03-03T22:24:00Z,80.31,20.00
2026-03-03T22:25:00Z,82.05,17.91
2026-03-03T22:26:00Z,80.58,18.55
2026-03-03T22:27:00Z,80.64,17.77
2026-03-03T22:28:00Z,80.59,19.27
2026-03-03T22:29:00Z,79.88,19.87
2026-03-03T22:30:00Z,82.57,18.58
2026-03-03T22:31:00Z,80.45,17.00
2026-03-03T22:32:00Z,80.83,19.41
2026-03-03T22:33:00Z,82.00,19.00
2026-03-03T22:34:00Z,81.36,19.99
2026-03-03T22:35:00Z,82.31,17.95
2026-03-03T22:36:00Z,82.53,19.22
2026-03-03T22:37:00Z,82.26,19.04
2026-03-03T22:38:00Z,82.23,17.64
2026-03-03T22:39:00Z,80.01,17.00
2026-03-03T22:40:00Z,82.04,17.21
2026-03-03T22:41:00Z,81.98,16.10
2026-03-03T22:42:00Z,81.00,18.25
2026-03-03T22:43:00Z,81.82,16.97
2026-03-03T22:44:00Z,83.00,17.85
2026-03-03T22:45:00Z,83.00,18.00
2026-03-03T22:46:00Z,80.83,18.71
2026-03-03T22:47:00Z,79.16,17.91
2026-03-03T22:48:00Z,81.63,17.98
2026-03-03T22:49:00Z,82.00,16.62
2026-03-03T22:50:00Z,81.11,18.97
2026-03-03T22:51:00Z,80.73,17.00
2026-03-03T22:52:00Z,81.31,17.00
2026-03-03T22:53:00Z,81.34,16.97
2026-03-03T22:54:00Z,81.89,18.71
2026-03-03T22:55:00Z,81.87,16.36
2026-03-03T22:56:00Z,81.96,16.98
2026-03-03T22:57:00Z,81.29,17.29
2026-03-03T22:58:00Z,80.33,19.00
2026-03-03T22:59:00Z,81.17,17.00
2026-03-03T23:00:00Z,81.97,16.29
2026-03-03T23:01:00Z,81.69,17.00
2026-03-03T23:02:00Z,81.97,17.00
2026-03-03T23:03:00Z,82.05,18.15
2026-03-03T23:04:00Z,80.61,18.92
2026-03-03T23:05:00Z,81.35,19.00
2026-03-03T23:06:00Z,81.84,19.00
2026-03-03T23:07:00Z,81.10,18.97
2026-03-03T23:08:00Z,81.83,19.00
2026-03-03T23:09:00Z,82.00,18.37
2026-03-03T23:10:00Z,81.68,19.00
2026-03-03T23:11:00Z,81.96,19.00
2026-03-03T23:12:00Z,82.78,16.07
2026-03-03T23:13:00Z,81.08,19.00
2026-03-03T23:14:00Z,81.13,19.00
2026-03-03T23:15:00Z,81.95,19.79
2026-03-03T23:16:00Z,81.78,19.04
2026-03-03T23:17:00Z,82.56,19.04
2026-03-03T23:18:00Z,82.56,17.85
2026-03-03T23:19:00Z,78.99,19.08
2026-03-03T23:20:00Z,81.55,18.04
2026-03-03T23:21:00Z,82.85,17.25
