# event_ticker=KXATPCHALLENGERMATCH-26MAR17OBRAJD
# final_score=6-0 6-4
# match_winner=Duje Ajdukovic
# fav_player=Duje Ajdukovic
# dog_player=Dusan Obradovic
# kalshi_date=2026-03-17
timestamp,Duje Ajdukovic,Dusan Obradovic
2026-03-16T23:56:00Z,,29.00
2026-03-17T00:23:00Z,72.00,29.00
2026-03-17T00:46:00Z,73.00,29.00
2026-03-17T01:38:00Z,73.00,29.00
2026-03-17T01:53:00Z,73.00,29.00
2026-03-17T01:54:00Z,73.00,27.00
2026-03-17T02:13:00Z,73.00,27.00
2026-03-17T02:42:00Z,73.00,27.00
2026-03-17T02:57:00Z,73.00,27.00
2026-03-17T02:59:00Z,73.00,27.00
2026-03-17T03:01:00Z,73.00,27.00
2026-03-17T03:04:00Z,73.00,27.00
2026-03-17T03:10:00Z,73.00,27.00
2026-03-17T04:11:00Z,74.00,27.00
2026-03-17T04:32:00Z,72.00,27.00
2026-03-17T04:42:00Z,73.00,27.00
2026-03-17T04:44:00Z,73.00,27.00
2026-03-17T05:01:00Z,73.00,27.00
2026-03-17T05:02:00Z,73.00,27.00
2026-03-17T05:21:00Z,73.00,27.00
2026-03-17T05:24:00Z,73.00,27.00
2026-03-17T05:59:00Z,73.00,27.00
2026-03-17T06:29:00Z,73.00,28.00
2026-03-17T06:32:00Z,73.87,28.00
2026-03-17T06:33:00Z,74.72,28.00
2026-03-17T06:53:00Z,74.00,28.00
2026-03-17T06:54:00Z,72.00,28.00
2026-03-17T07:13:00Z,73.97,28.00
2026-03-17T07:43:00Z,73.97,28.00
2026-03-17T08:10:00Z,73.00,28.00
2026-03-17T08:32:00Z,73.00,28.00
2026-03-17T09:01:00Z,73.00,27.00
2026-03-17T09:10:00Z,73.00,27.00
2026-03-17T09:52:00Z,74.00,27.00
2026-03-17T09:59:00Z,74.00,27.00
2026-03-17T10:05:00Z,74.00,27.00
2026-03-17T10:15:00Z,75.00,27.00
2026-03-17T10:25:00Z,72.00,30.11
2026-03-17T10:26:00Z,72.00,31.00
2026-03-17T10:38:00Z,73.00,28.00
2026-03-17T10:39:00Z,73.00,29.00
2026-03-17T10:40:00Z,73.00,29.00
2026-03-17T10:42:00Z,74.00,29.00
2026-03-17T10:43:00Z,74.00,26.40
2026-03-17T10:45:00Z,73.28,26.00
2026-03-17T10:46:00Z,81.83,20.00
2026-03-17T10:47:00Z,81.83,18.54
2026-03-17T10:48:00Z,83.40,17.13
2026-03-17T10:49:00Z,85.44,13.77
2026-03-17T10:50:00Z,89.55,10.91
2026-03-17T10:51:00Z,91.98,10.91
2026-03-17T10:52:00Z,91.00,10.00
2026-03-17T10:53:00Z,92.00,9.00
2026-03-17T10:54:00Z,93.00,9.00
2026-03-17T10:55:00Z,92.00,9.00
2026-03-17T10:56:00Z,92.00,9.00
2026-03-17T10:57:00Z,92.00,9.00
2026-03-17T10:58:00Z,93.00,9.00
2026-03-17T10:59:00Z,93.15,7.75
2026-03-17T11:00:00Z,95.00,7.00
2026-03-17T11:01:00Z,95.00,6.94
2026-03-17T11:02:00Z,92.99,7.23
2026-03-17T11:03:00Z,93.00,7.23
2026-03-17T11:04:00Z,93.61,8.67
2026-03-17T11:05:00Z,94.36,6.54
2026-03-17T11:06:00Z,95.00,7.00
2026-03-17T11:08:00Z,95.00,8.44
2026-03-17T11:09:00Z,94.00,7.92
2026-03-17T11:10:00Z,92.00,8.47
2026-03-17T11:11:00Z,92.15,8.44
2026-03-17T11:12:00Z,93.00,9.00
2026-03-17T11:13:00Z,93.09,8.21
2026-03-17T11:14:00Z,90.63,8.40
2026-03-17T11:15:00Z,89.79,14.00
2026-03-17T11:16:00Z,90.02,12.00
2026-03-17T11:17:00Z,90.02,12.82
2026-03-17T11:18:00Z,90.02,12.00
2026-03-17T11:19:00Z,90.02,16.60
2026-03-17T11:20:00Z,90.02,18.61
2026-03-17T11:21:00Z,77.12,19.80
2026-03-17T11:22:00Z,79.00,22.02
2026-03-17T11:23:00Z,77.07,23.99
2026-03-17T11:24:00Z,78.05,25.00
2026-03-17T11:25:00Z,81.00,20.17
2026-03-17T11:26:00Z,79.36,22.00
2026-03-17T11:27:00Z,79.36,18.00
2026-03-17T11:29:00Z,83.00,17.18
2026-03-17T11:30:00Z,89.00,12.04
2026-03-17T11:31:00Z,89.00,10.00
2026-03-17T11:32:00Z,89.00,10.73
2026-03-17T11:33:00Z,89.29,11.56
2026-03-17T11:34:00Z,89.00,11.56
2026-03-17T11:35:00Z,90.19,9.99
2026-03-17T11:36:00Z,90.00,10.47
2026-03-17T11:37:00Z,89.04,10.18
2026-03-17T11:38:00Z,87.22,14.51
2026-03-17T11:39:00Z,87.69,15.00
2026-03-17T11:40:00Z,86.22,17.01
2026-03-17T11:41:00Z,88.81,11.09
2026-03-17T11:42:00Z,89.97,12.91
2026-03-17T11:43:00Z,89.00,11.09
2026-03-17T11:44:00Z,88.47,12.96
2026-03-17T11:45:00Z,92.06,8.35
2026-03-17T11:46:00Z,94.95,7.87
2026-03-17T11:47:00Z,95.99,6.41
2026-03-17T11:48:00Z,98.06,3.17
2026-03-17T11:49:00Z,97.58,2.03
2026-03-17T11:50:00Z,99.00,1.09
2026-03-17T11:51:00Z,99.00,1.00
