# event_ticker=KXATPMATCH-26FEB08TSIRIN
# final_score=7-5 6-3
# score_resolution=5-7 3-6
# match_winner=Stefanos Tsitsipas
# fav_player=Arthur Rinderknech
# dog_player=Stefanos Tsitsipas
# kalshi_date=2026-02-08
timestamp,Arthur Rinderknech,Stefanos Tsitsipas
2026-02-11T00:09:00Z,,61.00
2026-02-11T00:16:00Z,40.00,61.00
2026-02-11T00:22:00Z,40.00,61.00
2026-02-11T00:30:00Z,40.00,62.00
2026-02-11T00:31:00Z,40.00,62.00
2026-02-11T00:46:00Z,40.00,62.00
2026-02-11T00:58:00Z,40.00,62.00
2026-02-11T01:01:00Z,40.00,62.00
2026-02-11T01:16:00Z,40.00,62.00
2026-02-11T01:22:00Z,40.00,62.00
2026-02-11T01:46:00Z,40.00,62.00
2026-02-11T01:47:00Z,40.00,62.00
2026-02-11T02:01:00Z,40.00,62.00
2026-02-11T02:12:00Z,40.00,62.00
2026-02-11T02:36:00Z,38.01,62.00
2026-02-11T02:37:00Z,38.01,62.00
2026-02-11T02:41:00Z,38.01,62.00
2026-02-11T02:44:00Z,38.01,62.00
2026-02-11T02:55:00Z,38.00,62.00
2026-02-11T03:05:00Z,39.00,62.00
2026-02-11T03:20:00Z,39.00,62.00
2026-02-11T03:24:00Z,39.00,62.00
2026-02-11T03:31:00Z,39.00,62.00
2026-02-11T03:32:00Z,39.00,62.00
2026-02-11T03:35:00Z,39.00,62.00
2026-02-11T03:50:00Z,39.00,62.00
2026-02-11T03:52:00Z,39.00,62.00
2026-02-11T04:01:00Z,39.00,62.00
2026-02-11T04:03:00Z,39.00,62.00
2026-02-11T04:06:00Z,39.00,62.00
2026-02-11T04:08:00Z,39.00,62.00
2026-02-11T04:23:00Z,39.00,62.00
2026-02-11T04:28:00Z,38.00,62.00
2026-02-11T04:29:00Z,38.00,62.00
2026-02-11T04:31:00Z,39.00,62.00
2026-02-11T04:32:00Z,39.00,62.00
2026-02-11T04:34:00Z,39.00,62.00
2026-02-11T04:38:00Z,39.00,62.00
2026-02-11T04:43:00Z,39.00,62.00
2026-02-11T04:47:00Z,39.00,62.00
2026-02-11T04:49:00Z,39.00,62.00
2026-02-11T04:50:00Z,39.00,62.00
2026-02-11T04:55:00Z,39.00,62.00
2026-02-11T04:56:00Z,39.00,62.00
2026-02-11T05:04:00Z,39.00,62.00
2026-02-11T05:05:00Z,39.00,62.00
2026-02-11T05:06:00Z,39.00,62.00
2026-02-11T05:07:00Z,39.00,62.00
2026-02-11T05:08:00Z,39.00,62.00
2026-02-11T05:09:00Z,39.00,62.00
2026-02-11T05:12:00Z,39.00,62.00
2026-02-11T05:17:00Z,39.00,62.00
2026-02-11T05:18:00Z,39.00,62.00
2026-02-11T05:19:00Z,39.86,62.00
2026-02-11T05:21:00Z,40.00,62.00
2026-02-11T05:22:00Z,40.00,62.00
2026-02-11T05:25:00Z,40.00,62.00
2026-02-11T05:29:00Z,40.00,62.00
2026-02-11T05:31:00Z,40.00,62.00
2026-02-11T05:32:00Z,40.00,62.00
2026-02-11T05:33:00Z,39.00,62.00
