# event_ticker=KXATPMATCH-25JUL13DUCMAN
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=James Duckworth
# fav_player=Adrian Mannarino
# dog_player=James Duckworth
# kalshi_date=2025-07-13
timestamp,Adrian Mannarino,James Duckworth
2025-07-15T15:21:00Z,48.00,
2025-07-15T16:29:00Z,48.00,
2025-07-15T17:23:00Z,47.00,
2025-07-15T17:25:00Z,47.00,
2025-07-15T18:04:00Z,47.53,
2025-07-15T18:52:00Z,47.53,54.00
2025-07-15T19:10:00Z,47.53,54.00
2025-07-15T20:28:00Z,47.00,54.00
2025-07-15T21:10:00Z,47.00,54.11
2025-07-15T21:28:00Z,47.00,55.00
2025-07-15T21:39:00Z,47.00,55.00
2025-07-15T21:45:00Z,47.00,54.00
2025-07-15T21:57:00Z,47.00,54.00
2025-07-15T22:09:00Z,47.00,54.00
2025-07-15T22:32:00Z,47.00,54.00
2025-07-15T22:38:00Z,47.00,54.00
2025-07-15T23:17:00Z,47.00,54.00
2025-07-15T23:19:00Z,47.00,54.00
2025-07-15T23:20:00Z,47.00,54.00
2025-07-15T23:28:00Z,47.00,54.00
2025-07-15T23:30:00Z,47.00,54.00
2025-07-15T23:33:00Z,48.00,54.00
2025-07-15T23:34:00Z,48.00,54.00
2025-07-15T23:45:00Z,48.00,54.00
2025-07-15T23:46:00Z,47.00,54.00
2025-07-15T23:47:00Z,47.00,54.00
2025-07-15T23:49:00Z,47.00,54.00
2025-07-15T23:51:00Z,47.00,54.00
2025-07-15T23:55:00Z,48.00,54.00
2025-07-16T00:12:00Z,47.00,54.00
2025-07-16T00:14:00Z,47.00,54.00
2025-07-16T00:16:00Z,48.00,54.00
2025-07-16T00:32:00Z,47.00,54.00
2025-07-16T00:33:00Z,47.00,54.00
2025-07-16T00:34:00Z,47.00,54.00
2025-07-16T00:43:00Z,48.00,54.00
2025-07-16T00:44:00Z,48.00,54.00
2025-07-16T00:56:00Z,48.00,53.00
2025-07-16T01:00:00Z,48.00,53.00
2025-07-16T01:39:00Z,49.00,53.00
2025-07-16T01:40:00Z,49.00,53.00
2025-07-16T01:47:00Z,49.00,53.00
2025-07-16T01:48:00Z,49.00,53.00
2025-07-16T01:51:00Z,49.00,53.00
2025-07-16T01:59:00Z,49.00,53.00
2025-07-16T02:01:00Z,49.00,53.00
2025-07-16T02:02:00Z,49.00,53.00
2025-07-16T02:06:00Z,49.00,53.00
2025-07-16T02:09:00Z,48.00,53.00
2025-07-16T02:10:00Z,48.40,53.00
2025-07-16T02:15:00Z,48.40,53.00
2025-07-16T02:16:00Z,50.57,53.00
2025-07-16T02:17:00Z,56.84,53.00
2025-07-16T02:23:00Z,56.84,50.25
2025-07-16T02:32:00Z,56.84,54.33
2025-07-16T02:35:00Z,56.84,54.00
2025-07-16T02:37:00Z,52.14,54.00
2025-07-16T02:38:00Z,52.14,53.00
2025-07-16T02:41:00Z,52.14,50.00
2025-07-16T02:42:00Z,50.00,50.00
2025-07-16T02:44:00Z,50.27,50.00
2025-07-16T02:45:00Z,50.00,50.00
2025-07-16T02:48:00Z,50.21,50.00
2025-07-16T02:51:00Z,50.21,54.12
2025-07-16T02:52:00Z,48.00,55.00
2025-07-16T02:53:00Z,48.80,55.00
2025-07-16T02:54:00Z,45.04,53.74
2025-07-16T02:55:00Z,44.71,58.00
2025-07-16T02:56:00Z,47.54,58.00
2025-07-16T02:57:00Z,48.50,50.16
2025-07-16T02:58:00Z,55.14,70.00
2025-07-16T02:59:00Z,50.00,74.00
2025-07-16T03:00:00Z,51.38,51.79
2025-07-16T03:01:00Z,52.30,50.26
2025-07-16T03:02:00Z,46.62,55.99
2025-07-16T03:03:00Z,44.52,56.00
2025-07-16T03:04:00Z,44.52,56.77
2025-07-16T03:05:00Z,44.00,60.00
2025-07-16T03:06:00Z,41.58,58.84
2025-07-16T03:08:00Z,32.30,70.00
2025-07-16T03:09:00Z,28.01,74.34
2025-07-16T03:10:00Z,27.28,72.21
2025-07-16T03:11:00Z,29.00,72.00
2025-07-16T03:12:00Z,29.00,72.00
2025-07-16T03:13:00Z,33.00,70.60
2025-07-16T03:14:00Z,33.00,69.00
2025-07-16T03:15:00Z,33.00,70.27
2025-07-16T03:16:00Z,30.95,76.00
2025-07-16T03:17:00Z,34.00,76.00
2025-07-16T03:18:00Z,32.59,75.56
2025-07-16T03:19:00Z,27.44,74.00
2025-07-16T03:20:00Z,17.86,75.20
2025-07-16T03:21:00Z,25.24,73.97
2025-07-16T03:22:00Z,22.01,79.59
2025-07-16T03:23:00Z,23.00,78.20
2025-07-16T03:24:00Z,24.72,78.20
2025-07-16T03:25:00Z,24.72,80.00
2025-07-16T03:27:00Z,23.98,76.99
2025-07-16T03:28:00Z,23.00,76.99
2025-07-16T03:29:00Z,23.00,75.00
2025-07-16T03:30:00Z,24.00,79.18
2025-07-16T03:31:00Z,24.00,79.18
2025-07-16T03:32:00Z,22.12,77.08
2025-07-16T03:33:00Z,22.12,81.84
2025-07-16T03:34:00Z,22.12,87.12
2025-07-16T03:35:00Z,26.00,79.95
2025-07-16T03:37:00Z,22.00,80.91
2025-07-16T03:38:00Z,18.00,83.00
2025-07-16T03:39:00Z,18.00,79.18
2025-07-16T03:40:00Z,24.81,79.88
2025-07-16T03:41:00Z,21.00,80.62
2025-07-16T03:42:00Z,23.98,80.88
2025-07-16T03:43:00Z,27.25,76.10
2025-07-16T03:44:00Z,28.00,75.29
2025-07-16T03:45:00Z,23.00,78.00
2025-07-16T03:46:00Z,23.00,77.21
2025-07-16T03:47:00Z,23.00,85.00
2025-07-16T03:48:00Z,12.45,88.60
2025-07-16T03:49:00Z,11.00,90.15
2025-07-16T03:50:00Z,11.00,92.00
2025-07-16T03:51:00Z,7.56,90.00
