# event_ticker=KXATPCHALLENGERMATCH-26MAY25GRENAR
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Luca Nardi
# fav_player=Hugo Grenier
# dog_player=Luca Nardi
# kalshi_date=2026-05-25
timestamp,Hugo Grenier,Luca Nardi
2026-05-25T02:40:00Z,22.00,
2026-05-25T03:17:00Z,22.00,80.00
2026-05-25T06:42:00Z,22.00,81.00
2026-05-25T11:51:00Z,20.00,81.00
2026-05-25T12:07:00Z,20.00,82.00
2026-05-25T12:22:00Z,20.00,82.00
2026-05-25T12:32:00Z,20.00,82.00
2026-05-25T13:07:00Z,20.00,82.65
2026-05-25T13:10:00Z,20.00,83.00
2026-05-25T13:11:00Z,22.59,83.00
2026-05-25T13:12:00Z,20.00,79.17
2026-05-25T13:13:00Z,20.00,81.00
2026-05-25T13:15:00Z,17.00,81.00
2026-05-25T13:16:00Z,16.36,83.91
2026-05-25T13:17:00Z,13.09,83.91
2026-05-25T13:18:00Z,16.00,83.91
2026-05-25T13:19:00Z,18.00,81.96
2026-05-25T13:20:00Z,20.73,79.96
2026-05-25T13:21:00Z,21.51,78.67
2026-05-25T13:22:00Z,27.25,75.65
2026-05-25T13:23:00Z,32.24,68.00
2026-05-25T13:24:00Z,33.00,68.00
2026-05-25T13:25:00Z,33.80,68.00
2026-05-25T13:26:00Z,37.49,64.84
2026-05-25T13:27:00Z,37.00,62.00
2026-05-25T13:28:00Z,36.05,66.48
2026-05-25T13:29:00Z,33.06,70.25
2026-05-25T13:30:00Z,21.29,77.28
2026-05-25T13:31:00Z,20.00,77.28
2026-05-25T13:32:00Z,23.37,79.90
2026-05-25T13:33:00Z,31.52,67.49
2026-05-25T13:34:00Z,37.00,67.49
2026-05-25T13:35:00Z,34.98,64.86
2026-05-25T13:36:00Z,33.26,68.59
2026-05-25T13:37:00Z,30.38,71.81
2026-05-25T13:38:00Z,33.88,66.00
2026-05-25T13:39:00Z,27.63,73.33
2026-05-25T13:40:00Z,23.87,77.06
2026-05-25T13:41:00Z,24.69,75.49
2026-05-25T13:42:00Z,22.00,76.56
2026-05-25T13:43:00Z,22.00,78.00
2026-05-25T13:44:00Z,19.00,78.00
2026-05-25T13:45:00Z,16.00,83.40
2026-05-25T13:46:00Z,18.24,82.05
2026-05-25T13:47:00Z,18.53,80.84
2026-05-25T13:48:00Z,16.08,82.97
2026-05-25T13:49:00Z,21.24,79.32
2026-05-25T13:50:00Z,22.00,77.04
2026-05-25T13:51:00Z,19.00,79.96
2026-05-25T13:52:00Z,19.00,83.00
2026-05-25T13:53:00Z,18.00,83.00
2026-05-25T13:54:00Z,19.00,81.00
2026-05-25T13:55:00Z,21.45,80.00
2026-05-25T13:56:00Z,18.00,82.13
2026-05-25T13:57:00Z,13.68,85.70
2026-05-25T13:58:00Z,15.06,85.52
2026-05-25T13:59:00Z,9.22,91.33
2026-05-25T14:00:00Z,8.00,93.00
2026-05-25T14:01:00Z,8.00,92.98
2026-05-25T14:02:00Z,8.00,93.00
2026-05-25T14:03:00Z,8.00,92.89
2026-05-25T14:04:00Z,6.55,94.00
2026-05-25T14:05:00Z,7.78,93.59
2026-05-25T14:06:00Z,9.23,92.40
2026-05-25T14:07:00Z,9.23,92.00
2026-05-25T14:09:00Z,6.94,93.84
2026-05-25T14:10:00Z,6.94,93.66
2026-05-25T14:11:00Z,4.25,96.03
2026-05-25T14:12:00Z,2.94,96.98
2026-05-25T14:13:00Z,4.00,96.26
2026-05-25T14:14:00Z,5.52,93.04
2026-05-25T14:15:00Z,8.00,92.00
2026-05-25T14:16:00Z,7.00,93.63
2026-05-25T14:17:00Z,6.91,93.38
2026-05-25T14:18:00Z,7.00,94.00
2026-05-25T14:19:00Z,6.11,94.11
2026-05-25T14:20:00Z,7.64,94.00
2026-05-25T14:21:00Z,7.64,92.00
2026-05-25T14:22:00Z,6.00,93.76
2026-05-25T14:23:00Z,5.73,93.12
2026-05-25T14:24:00Z,5.65,94.34
2026-05-25T14:25:00Z,3.00,96.08
2026-05-25T14:26:00Z,5.92,93.51
2026-05-25T14:27:00Z,8.00,93.00
2026-05-25T14:28:00Z,8.00,93.00
2026-05-25T14:29:00Z,8.00,92.00
2026-05-25T14:30:00Z,7.01,93.30
2026-05-25T14:31:00Z,8.00,92.78
2026-05-25T14:32:00Z,6.76,94.73
2026-05-25T14:33:00Z,8.94,92.80
2026-05-25T14:34:00Z,6.47,93.50
2026-05-25T14:35:00Z,3.23,97.04
2026-05-25T14:36:00Z,2.73,97.34
2026-05-25T14:37:00Z,2.00,98.93
2026-05-25T14:38:00Z,3.00,97.98
2026-05-25T14:39:00Z,3.48,97.12
2026-05-25T14:40:00Z,2.00,98.79
2026-05-25T14:41:00Z,2.00,99.00
2026-05-25T14:42:00Z,2.00,98.79
2026-05-25T14:43:00Z,2.83,98.00
2026-05-25T14:44:00Z,2.00,98.00
2026-05-25T14:45:00Z,1.14,99.00
2026-05-25T14:46:00Z,1.00,99.00
2026-05-25T14:47:00Z,2.01,97.22
2026-05-25T14:48:00Z,1.00,99.00
