# event_ticker=KXATPCHALLENGERMATCH-26MAR24FICALV
# final_score=6-3 6-1
# match_winner=Juan Pablo Ficovich
# fav_player=Juan Pablo Ficovich
# dog_player=Mateus Alves
# kalshi_date=2026-03-24
timestamp,Juan Pablo Ficovich,Mateus Alves
2026-03-24T11:02:00Z,,43.00
2026-03-24T12:13:00Z,,43.00
2026-03-24T12:17:00Z,59.00,43.00
2026-03-24T12:30:00Z,58.00,43.00
2026-03-24T14:51:00Z,58.00,42.00
2026-03-24T16:21:00Z,58.00,41.00
2026-03-24T16:42:00Z,60.00,41.00
2026-03-24T17:30:00Z,60.00,41.00
2026-03-24T17:36:00Z,60.00,41.00
2026-03-24T17:39:00Z,58.00,41.00
2026-03-24T17:48:00Z,58.00,41.00
2026-03-24T17:50:00Z,58.00,41.00
2026-03-24T17:54:00Z,58.00,41.00
2026-03-24T17:55:00Z,58.00,41.72
2026-03-24T17:56:00Z,58.00,42.00
2026-03-24T17:57:00Z,58.00,42.00
2026-03-24T17:59:00Z,58.00,43.00
2026-03-24T18:00:00Z,58.00,42.00
2026-03-24T18:01:00Z,58.00,40.15
2026-03-24T18:02:00Z,58.00,42.00
2026-03-24T18:05:00Z,58.00,41.00
2026-03-24T18:06:00Z,58.00,41.00
2026-03-24T18:07:00Z,58.00,41.00
2026-03-24T18:22:00Z,61.00,41.00
2026-03-24T18:28:00Z,61.00,42.85
2026-03-24T18:31:00Z,58.29,42.85
2026-03-24T18:37:00Z,60.00,42.85
2026-03-24T18:39:00Z,60.00,42.85
2026-03-24T18:42:00Z,60.00,42.85
2026-03-24T18:43:00Z,60.00,43.00
2026-03-24T18:48:00Z,57.58,43.00
2026-03-24T18:49:00Z,55.01,43.00
2026-03-24T18:50:00Z,58.86,43.00
2026-03-24T18:51:00Z,58.00,44.00
2026-03-24T18:52:00Z,55.00,44.51
2026-03-24T18:53:00Z,57.00,41.93
2026-03-24T18:54:00Z,57.00,42.00
2026-03-24T18:55:00Z,57.00,45.95
2026-03-24T18:56:00Z,57.00,47.00
2026-03-24T18:57:00Z,53.71,46.00
2026-03-24T18:58:00Z,57.00,43.00
2026-03-24T18:59:00Z,57.00,45.09
2026-03-24T19:00:00Z,54.00,45.23
2026-03-24T19:01:00Z,57.00,45.23
2026-03-24T19:02:00Z,61.46,41.39
2026-03-24T19:03:00Z,61.00,36.00
2026-03-24T19:04:00Z,64.00,40.00
2026-03-24T19:05:00Z,61.00,43.39
2026-03-24T19:06:00Z,56.00,43.39
2026-03-24T19:07:00Z,60.00,43.39
2026-03-24T19:08:00Z,60.00,40.00
2026-03-24T19:10:00Z,60.00,40.21
2026-03-24T19:11:00Z,66.27,34.00
2026-03-24T19:12:00Z,64.00,34.00
2026-03-24T19:13:00Z,69.00,34.00
2026-03-24T19:14:00Z,70.00,34.00
2026-03-24T19:15:00Z,76.00,34.00
2026-03-24T19:16:00Z,78.64,22.00
2026-03-24T19:17:00Z,82.00,18.00
2026-03-24T19:18:00Z,82.00,17.00
2026-03-24T19:19:00Z,82.81,18.00
2026-03-24T19:20:00Z,82.72,17.47
2026-03-24T19:21:00Z,81.00,18.45
2026-03-24T19:22:00Z,82.00,19.85
2026-03-24T19:23:00Z,81.50,18.00
2026-03-24T19:24:00Z,85.00,18.00
2026-03-24T19:25:00Z,85.48,15.00
2026-03-24T19:26:00Z,85.14,15.00
2026-03-24T19:27:00Z,88.61,12.82
2026-03-24T19:28:00Z,91.04,10.00
2026-03-24T19:29:00Z,91.13,6.65
2026-03-24T19:30:00Z,94.00,6.08
2026-03-24T19:31:00Z,95.38,5.94
2026-03-24T19:32:00Z,95.00,5.06
2026-03-24T19:33:00Z,96.42,5.07
2026-03-24T19:34:00Z,94.52,4.04
2026-03-24T19:35:00Z,94.52,5.00
2026-03-24T19:36:00Z,94.52,5.37
2026-03-24T19:37:00Z,94.52,5.00
2026-03-24T19:38:00Z,95.94,5.00
2026-03-24T19:39:00Z,94.69,6.84
2026-03-24T19:40:00Z,91.94,8.92
2026-03-24T19:41:00Z,93.28,7.02
2026-03-24T19:42:00Z,92.94,8.53
2026-03-24T19:43:00Z,94.76,5.67
2026-03-24T19:44:00Z,95.97,5.01
2026-03-24T19:45:00Z,97.03,3.11
2026-03-24T19:46:00Z,97.95,3.74
2026-03-24T19:47:00Z,98.70,1.51
2026-03-24T19:48:00Z,98.00,1.06
2026-03-24T19:49:00Z,98.11,1.00
2026-03-24T19:50:00Z,98.00,1.00
2026-03-24T19:51:00Z,99.00,1.69
2026-03-24T19:52:00Z,99.00,1.00
2026-03-24T19:54:00Z,99.00,1.00
