# event_ticker=KXATPMATCH-26MAY08BORJOD
# final_score=7-6(4) 6-4
# score_resolution=6-7 4-6
# match_winner=Rafael Jodar
# fav_player=Nuno Borges
# dog_player=Rafael Jodar
# kalshi_date=2026-05-08
timestamp,Nuno Borges,Rafael Jodar
2026-05-07T21:26:00Z,,78.00
2026-05-07T21:27:00Z,,78.00
2026-05-07T21:28:00Z,,78.00
2026-05-07T21:30:00Z,,78.00
2026-05-07T21:41:00Z,,78.00
2026-05-07T21:42:00Z,23.00,77.18
2026-05-07T21:43:00Z,23.00,78.00
2026-05-07T21:45:00Z,23.00,78.00
2026-05-07T21:48:00Z,23.00,79.00
2026-05-07T21:49:00Z,23.00,79.87
2026-05-07T21:50:00Z,23.00,80.00
2026-05-07T21:51:00Z,23.00,80.00
2026-05-07T21:56:00Z,23.00,80.00
2026-05-07T21:57:00Z,23.00,80.00
2026-05-07T22:01:00Z,23.00,80.00
2026-05-07T22:02:00Z,22.00,80.00
2026-05-07T22:10:00Z,22.00,80.00
2026-05-07T22:11:00Z,22.00,80.00
2026-05-07T22:13:00Z,22.00,80.00
2026-05-07T22:16:00Z,22.00,80.00
2026-05-07T22:18:00Z,22.00,80.00
2026-05-07T22:19:00Z,22.00,79.00
2026-05-07T22:23:00Z,22.00,80.00
2026-05-07T22:27:00Z,22.00,80.00
2026-05-07T22:28:00Z,22.00,80.00
2026-05-07T22:29:00Z,22.00,80.00
2026-05-07T22:31:00Z,22.00,80.00
2026-05-07T22:37:00Z,22.00,80.00
2026-05-07T22:38:00Z,22.00,80.00
2026-05-07T22:45:00Z,22.00,80.00
2026-05-07T22:51:00Z,22.00,80.00
2026-05-07T22:53:00Z,22.00,80.00
2026-05-07T23:00:00Z,22.00,80.00
2026-05-07T23:04:00Z,22.00,80.00
2026-05-07T23:09:00Z,22.00,80.00
2026-05-07T23:10:00Z,22.00,80.00
2026-05-07T23:13:00Z,22.00,80.00
2026-05-07T23:21:00Z,22.00,80.00
2026-05-07T23:23:00Z,22.00,80.00
2026-05-07T23:24:00Z,22.00,80.00
2026-05-07T23:25:00Z,22.00,80.00
2026-05-07T23:35:00Z,22.00,80.00
2026-05-07T23:43:00Z,22.00,80.00
2026-05-07T23:50:00Z,22.00,80.00
2026-05-07T23:57:00Z,22.00,80.00
2026-05-08T00:01:00Z,22.00,80.00
2026-05-08T00:08:00Z,22.00,80.00
2026-05-08T00:16:00Z,22.00,80.00
2026-05-08T00:22:00Z,22.00,80.00
2026-05-08T00:26:00Z,22.00,80.00
2026-05-08T00:33:00Z,22.00,80.00
2026-05-08T00:35:00Z,22.00,80.00
2026-05-08T00:37:00Z,22.00,80.00
2026-05-08T00:39:00Z,22.00,80.00
2026-05-08T00:45:00Z,22.00,80.00
2026-05-08T00:51:00Z,20.02,80.00
