# event_ticker=KXATPCHALLENGERMATCH-26FEB10ZINAZK
# final_score=6-4 6-1
# match_winner=Tyler Zink
# fav_player=Tyler Zink
# dog_player=Arda Azkara
# kalshi_date=2026-02-10
timestamp,Tyler Zink,Arda Azkara
2026-02-10T08:54:00Z,68.00,28.00
2026-02-10T09:02:00Z,72.00,28.00
2026-02-10T09:06:00Z,74.00,28.00
2026-02-10T10:22:00Z,74.00,28.00
2026-02-10T11:55:00Z,75.00,28.00
2026-02-10T12:23:00Z,76.00,28.00
2026-02-10T13:35:00Z,76.00,27.00
2026-02-10T13:36:00Z,76.00,27.00
2026-02-10T13:49:00Z,76.00,27.00
2026-02-10T13:56:00Z,75.00,27.00
2026-02-10T13:57:00Z,75.00,25.00
2026-02-10T14:43:00Z,75.00,25.00
2026-02-10T14:48:00Z,75.00,25.00
2026-02-10T15:17:00Z,76.00,25.00
2026-02-10T16:00:00Z,76.00,25.00
2026-02-10T16:13:00Z,76.00,25.00
2026-02-10T16:58:00Z,76.00,25.00
2026-02-10T17:06:00Z,75.00,25.00
2026-02-10T17:29:00Z,75.00,25.00
2026-02-10T17:31:00Z,75.00,25.00
2026-02-10T17:53:00Z,75.00,25.00
2026-02-10T18:01:00Z,75.00,25.00
2026-02-10T18:12:00Z,75.00,25.00
2026-02-10T18:24:00Z,75.00,26.00
2026-02-10T18:27:00Z,75.00,26.00
2026-02-10T18:29:00Z,75.00,26.00
2026-02-10T18:33:00Z,75.00,26.00
2026-02-10T18:36:00Z,75.00,26.00
2026-02-10T18:40:00Z,75.00,26.00
2026-02-10T18:41:00Z,75.00,26.00
2026-02-10T18:44:00Z,75.00,26.00
2026-02-10T18:48:00Z,76.00,26.00
2026-02-10T18:51:00Z,76.00,26.00
2026-02-10T18:59:00Z,76.00,26.00
2026-02-10T19:03:00Z,76.00,26.00
2026-02-10T19:04:00Z,76.00,26.00
2026-02-10T19:06:00Z,75.99,26.00
2026-02-10T19:13:00Z,75.96,26.00
2026-02-10T19:14:00Z,75.00,26.00
2026-02-10T19:15:00Z,75.00,26.00
2026-02-10T19:18:00Z,75.80,27.00
2026-02-10T19:22:00Z,75.80,28.00
2026-02-10T19:24:00Z,75.00,28.00
2026-02-10T19:26:00Z,75.17,28.00
2026-02-10T19:27:00Z,76.00,28.00
2026-02-10T19:29:00Z,77.00,28.00
2026-02-10T19:30:00Z,77.00,27.00
2026-02-10T19:33:00Z,77.00,27.00
2026-02-10T19:34:00Z,77.00,26.00
2026-02-10T19:35:00Z,77.00,26.00
2026-02-10T19:36:00Z,77.00,26.00
2026-02-10T19:37:00Z,78.00,26.00
2026-02-10T19:38:00Z,75.86,23.98
2026-02-10T19:39:00Z,78.04,23.98
2026-02-10T19:40:00Z,79.12,22.00
2026-02-10T19:41:00Z,79.12,26.00
2026-02-10T19:42:00Z,76.52,26.00
2026-02-10T19:43:00Z,75.52,26.00
2026-02-10T19:44:00Z,75.00,26.79
2026-02-10T19:45:00Z,73.88,30.46
