# event_ticker=KXATPMATCH-25JUL19DEJPOL
# final_score=6-3 6-3
# match_winner=Jesper de Jong
# fav_player=Jesper De Jong
# dog_player=Mili Poljicak
# kalshi_date=2025-07-19
timestamp,Jesper De Jong,Mili Poljicak
2025-07-22T06:58:00Z,69.00,
2025-07-22T12:08:00Z,74.00,
2025-07-22T12:16:00Z,74.00,
2025-07-22T12:36:00Z,74.00,28.00
2025-07-22T13:17:00Z,72.00,28.00
2025-07-22T13:26:00Z,72.00,28.00
2025-07-22T13:37:00Z,72.00,28.00
2025-07-22T13:38:00Z,72.00,28.00
2025-07-22T13:47:00Z,72.00,28.00
2025-07-22T13:54:00Z,72.00,27.00
2025-07-22T14:00:00Z,72.00,25.00
2025-07-22T14:02:00Z,76.00,25.00
2025-07-22T14:18:00Z,76.00,24.00
2025-07-22T14:28:00Z,75.00,24.00
2025-07-22T14:29:00Z,75.00,24.00
2025-07-22T14:42:00Z,75.00,26.00
2025-07-22T14:58:00Z,74.00,26.00
2025-07-22T15:01:00Z,74.00,26.00
2025-07-22T15:07:00Z,74.00,26.00
2025-07-22T15:12:00Z,74.00,26.00
2025-07-22T15:13:00Z,74.00,25.00
2025-07-22T15:14:00Z,75.00,25.00
2025-07-22T15:16:00Z,75.00,25.00
2025-07-22T15:24:00Z,75.00,25.00
2025-07-22T15:27:00Z,75.00,25.00
2025-07-22T15:32:00Z,76.00,25.00
2025-07-22T15:36:00Z,76.00,25.00
2025-07-22T15:45:00Z,75.00,25.00
2025-07-22T15:48:00Z,75.00,26.00
2025-07-22T15:51:00Z,75.00,26.00
2025-07-22T15:58:00Z,75.00,26.00
2025-07-22T16:06:00Z,74.00,26.00
2025-07-22T16:19:00Z,74.00,26.00
2025-07-22T16:21:00Z,74.00,26.00
2025-07-22T16:23:00Z,74.87,26.00
2025-07-22T16:25:00Z,75.00,26.00
2025-07-22T16:30:00Z,75.00,26.00
2025-07-22T16:38:00Z,75.00,26.00
2025-07-22T16:40:00Z,75.93,25.00
2025-07-22T16:44:00Z,75.93,24.00
2025-07-22T16:46:00Z,75.36,24.00
2025-07-22T16:47:00Z,77.00,24.00
2025-07-22T17:10:00Z,77.00,24.00
2025-07-22T17:12:00Z,77.05,24.00
2025-07-22T17:19:00Z,77.05,24.00
2025-07-22T17:22:00Z,78.00,24.00
2025-07-22T17:24:00Z,78.00,24.00
2025-07-22T17:25:00Z,78.00,24.00
2025-07-22T17:26:00Z,77.00,24.00
2025-07-22T17:30:00Z,76.00,26.00
2025-07-22T17:31:00Z,76.00,28.00
2025-07-22T17:32:00Z,76.00,28.00
2025-07-22T17:33:00Z,74.00,29.00
2025-07-22T17:35:00Z,77.79,24.00
2025-07-22T17:37:00Z,77.79,25.00
2025-07-22T17:39:00Z,77.79,25.00
2025-07-22T17:41:00Z,76.00,29.00
2025-07-22T17:42:00Z,77.29,29.00
2025-07-22T17:43:00Z,77.00,26.00
2025-07-22T17:44:00Z,79.00,24.00
2025-07-22T17:46:00Z,76.00,24.00
2025-07-22T17:47:00Z,75.00,26.86
2025-07-22T17:48:00Z,75.00,26.00
2025-07-22T17:49:00Z,80.00,26.00
2025-07-22T17:50:00Z,77.00,27.00
2025-07-22T17:51:00Z,76.11,26.94
2025-07-22T17:52:00Z,78.00,25.72
2025-07-22T17:54:00Z,78.00,22.28
2025-07-22T17:55:00Z,78.00,24.00
2025-07-22T17:56:00Z,74.00,24.00
2025-07-22T17:57:00Z,73.00,30.00
2025-07-22T17:58:00Z,74.00,30.00
2025-07-22T17:59:00Z,78.00,25.00
2025-07-22T18:00:00Z,78.00,25.00
2025-07-22T18:02:00Z,80.92,25.00
2025-07-22T18:03:00Z,83.03,16.00
