# event_ticker=KXATPCHALLENGERMATCH-26APR21KIRARN
# final_score=6-3 6-2
# match_winner=Gilles Arnaud Bailly
# fav_player=Gilles Arnaud Bailly
# dog_player=Ergi Kirkin
# kalshi_date=2026-04-21
timestamp,Ergi Kirkin,Gilles Arnaud Bailly
2026-04-20T22:31:00Z,,60.00
2026-04-21T03:39:00Z,,61.00
2026-04-21T04:47:00Z,43.00,61.00
2026-04-21T04:57:00Z,43.00,60.00
2026-04-21T05:44:00Z,40.00,60.00
2026-04-21T05:50:00Z,40.00,60.00
2026-04-21T06:14:00Z,40.00,60.00
2026-04-21T06:36:00Z,40.00,60.00
2026-04-21T06:51:00Z,40.00,60.00
2026-04-21T07:09:00Z,40.00,59.91
2026-04-21T07:11:00Z,42.56,59.91
2026-04-21T07:49:00Z,42.56,59.00
2026-04-21T07:50:00Z,42.56,59.80
2026-04-21T08:26:00Z,42.56,59.92
2026-04-21T08:31:00Z,42.56,59.34
2026-04-21T08:34:00Z,42.56,60.00
2026-04-21T08:35:00Z,43.95,60.00
2026-04-21T08:36:00Z,43.95,58.93
2026-04-21T08:38:00Z,43.95,59.35
2026-04-21T08:42:00Z,43.95,60.00
2026-04-21T08:43:00Z,42.56,60.00
2026-04-21T08:58:00Z,42.56,60.77
2026-04-21T09:18:00Z,42.56,60.00
2026-04-21T09:22:00Z,42.56,61.15
2026-04-21T09:24:00Z,42.56,62.97
2026-04-21T09:25:00Z,40.00,58.16
2026-04-21T09:26:00Z,40.00,56.42
2026-04-21T09:28:00Z,40.00,57.25
2026-04-21T09:29:00Z,40.00,60.90
2026-04-21T09:30:00Z,40.00,63.00
2026-04-21T09:31:00Z,25.69,71.37
2026-04-21T09:32:00Z,25.69,73.00
2026-04-21T09:34:00Z,25.69,76.00
2026-04-21T09:35:00Z,25.95,76.00
2026-04-21T09:37:00Z,26.00,75.86
2026-04-21T09:38:00Z,27.00,74.00
2026-04-21T09:39:00Z,27.00,71.00
2026-04-21T09:40:00Z,31.00,71.00
2026-04-21T09:41:00Z,36.19,71.00
2026-04-21T09:42:00Z,42.00,59.00
2026-04-21T09:43:00Z,44.36,53.86
2026-04-21T09:44:00Z,50.00,51.00
2026-04-21T09:45:00Z,51.00,49.06
2026-04-21T09:46:00Z,51.00,49.00
2026-04-21T09:47:00Z,54.40,46.97
2026-04-21T09:48:00Z,56.00,46.00
2026-04-21T09:50:00Z,53.00,47.69
2026-04-21T09:51:00Z,53.99,48.24
2026-04-21T09:52:00Z,51.94,50.51
2026-04-21T09:53:00Z,51.94,49.56
2026-04-21T09:54:00Z,42.00,56.00
2026-04-21T09:55:00Z,38.95,63.99
2026-04-21T09:56:00Z,42.47,57.00
2026-04-21T09:57:00Z,38.00,62.95
2026-04-21T09:58:00Z,36.62,63.86
2026-04-21T09:59:00Z,32.00,70.00
2026-04-21T10:00:00Z,32.00,72.31
2026-04-21T10:01:00Z,27.00,72.31
2026-04-21T10:03:00Z,28.00,73.00
2026-04-21T10:04:00Z,28.00,72.51
2026-04-21T10:06:00Z,28.00,73.92
2026-04-21T10:07:00Z,28.05,69.69
2026-04-21T10:08:00Z,29.47,73.00
2026-04-21T10:09:00Z,29.47,74.96
2026-04-21T10:10:00Z,29.47,75.00
2026-04-21T10:11:00Z,25.00,75.00
2026-04-21T10:12:00Z,23.93,75.84
2026-04-21T10:13:00Z,26.00,76.16
2026-04-21T10:14:00Z,21.03,78.71
2026-04-21T10:15:00Z,20.00,81.95
2026-04-21T10:16:00Z,19.79,80.17
2026-04-21T10:17:00Z,19.50,78.00
2026-04-21T10:21:00Z,20.00,78.00
2026-04-21T10:22:00Z,16.00,81.00
2026-04-21T10:23:00Z,20.86,80.00
2026-04-21T10:24:00Z,23.14,77.00
2026-04-21T10:25:00Z,22.00,76.78
2026-04-21T10:26:00Z,19.00,80.41
2026-04-21T10:27:00Z,18.00,84.18
2026-04-21T10:28:00Z,12.99,85.89
2026-04-21T10:29:00Z,16.43,86.92
2026-04-21T10:30:00Z,20.00,86.92
2026-04-21T10:31:00Z,20.00,81.94
2026-04-21T10:32:00Z,14.00,83.11
2026-04-21T10:33:00Z,16.00,82.45
2026-04-21T10:34:00Z,18.00,84.00
2026-04-21T10:35:00Z,18.00,84.00
2026-04-21T10:36:00Z,16.00,84.00
2026-04-21T10:37:00Z,16.08,91.34
2026-04-21T10:38:00Z,9.06,93.19
2026-04-21T10:39:00Z,6.80,95.98
2026-04-21T10:40:00Z,5.00,96.60
2026-04-21T10:41:00Z,5.89,96.47
2026-04-21T10:42:00Z,4.00,96.14
2026-04-21T10:43:00Z,6.00,93.39
2026-04-21T10:44:00Z,6.00,95.06
2026-04-21T10:45:00Z,5.73,96.94
2026-04-21T10:46:00Z,5.00,95.37
2026-04-21T10:47:00Z,2.36,97.08
2026-04-21T10:48:00Z,2.00,98.26
2026-04-21T10:49:00Z,2.97,98.26
2026-04-21T10:50:00Z,1.09,98.94
2026-04-21T10:51:00Z,3.00,99.00
2026-04-21T10:52:00Z,2.73,99.00
2026-04-21T10:53:00Z,2.51,98.57
2026-04-21T10:54:00Z,3.02,97.84
2026-04-21T10:55:00Z,4.00,97.40
2026-04-21T10:56:00Z,3.80,95.45
2026-04-21T10:57:00Z,3.73,95.45
2026-04-21T10:58:00Z,1.03,95.45
2026-04-21T10:59:00Z,1.00,95.45
2026-04-21T11:00:00Z,1.00,99.00
2026-04-21T11:01:00Z,1.00,99.00
2026-04-21T11:02:00Z,1.00,99.00
