# event_ticker=KXATPMATCH-25SEP25THONAK
# final_score=6-7(6) 7-6(4) 6-2
# score_resolution=7-6 6-7 2-6
# match_winner=Brandon Nakashima
# fav_player=Jordan Thompson
# dog_player=Brandon Nakashima
# kalshi_date=2025-09-25
timestamp,Jordan Thompson,Brandon Nakashima
2025-09-24T19:18:00Z,,66.00
2025-09-24T21:29:00Z,,66.00
2025-09-24T21:56:00Z,,66.00
2025-09-24T22:02:00Z,,66.00
2025-09-24T22:15:00Z,,66.00
2025-09-24T22:31:00Z,,66.00
2025-09-24T22:41:00Z,,66.00
2025-09-24T23:14:00Z,,66.00
2025-09-24T23:40:00Z,34.00,66.00
2025-09-25T00:02:00Z,33.00,66.00
2025-09-25T00:17:00Z,33.00,66.00
2025-09-25T00:19:00Z,33.00,68.00
2025-09-25T01:19:00Z,33.00,68.00
2025-09-25T01:22:00Z,33.00,68.00
2025-09-25T01:34:00Z,33.00,69.00
2025-09-25T01:51:00Z,33.00,69.00
2025-09-25T01:55:00Z,33.00,69.00
2025-09-25T02:25:00Z,33.00,69.00
2025-09-25T02:28:00Z,33.00,69.00
2025-09-25T02:40:00Z,33.00,69.00
2025-09-25T02:41:00Z,31.00,69.00
2025-09-25T03:16:00Z,31.00,69.00
2025-09-25T03:30:00Z,31.00,69.00
2025-09-25T03:58:00Z,31.00,69.00
2025-09-25T04:08:00Z,31.00,69.00
2025-09-25T04:13:00Z,31.00,69.00
2025-09-25T04:26:00Z,31.00,69.00
2025-09-25T04:42:00Z,31.00,69.00
2025-09-25T04:53:00Z,31.00,69.00
2025-09-25T04:58:00Z,32.00,69.00
2025-09-25T05:00:00Z,32.00,69.00
2025-09-25T05:01:00Z,32.00,69.00
2025-09-25T05:02:00Z,32.00,69.00
2025-09-25T05:03:00Z,32.00,69.00
2025-09-25T05:05:00Z,32.00,69.00
2025-09-25T05:14:00Z,32.00,69.00
2025-09-25T05:15:00Z,32.00,69.00
2025-09-25T05:16:00Z,32.00,69.00
2025-09-25T05:21:00Z,33.00,69.00
2025-09-25T05:22:00Z,33.00,70.38
2025-09-25T05:23:00Z,32.00,70.38
2025-09-25T05:29:00Z,32.44,70.38
2025-09-25T05:30:00Z,33.00,70.38
2025-09-25T05:33:00Z,33.00,70.00
2025-09-25T05:34:00Z,33.00,70.00
2025-09-25T05:37:00Z,33.00,71.00
2025-09-25T05:39:00Z,33.00,71.00
2025-09-25T05:48:00Z,33.00,70.49
2025-09-25T05:52:00Z,33.00,70.00
2025-09-25T05:57:00Z,33.00,70.00
2025-09-25T05:58:00Z,31.47,70.00
2025-09-25T05:59:00Z,32.46,70.00
2025-09-25T06:00:00Z,33.00,69.75
2025-09-25T06:02:00Z,34.00,69.75
2025-09-25T06:03:00Z,34.00,73.00
2025-09-25T06:04:00Z,30.00,73.00
2025-09-25T06:05:00Z,34.23,73.00
2025-09-25T06:06:00Z,33.00,67.00
2025-09-25T06:07:00Z,33.00,69.00
2025-09-25T06:08:00Z,33.00,69.00
2025-09-25T06:10:00Z,33.00,66.51
2025-09-25T06:11:00Z,33.00,67.03
2025-09-25T06:13:00Z,39.92,61.00
2025-09-25T06:15:00Z,47.06,61.00
2025-09-25T06:16:00Z,42.15,61.00
2025-09-25T06:18:00Z,40.00,61.00
2025-09-25T06:19:00Z,40.00,54.68
2025-09-25T06:20:00Z,48.00,62.00
2025-09-25T06:21:00Z,48.00,64.98
2025-09-25T06:23:00Z,48.00,65.19
2025-09-25T06:24:00Z,48.00,63.00
2025-09-25T06:25:00Z,35.00,65.92
2025-09-25T06:26:00Z,41.00,61.00
2025-09-25T06:27:00Z,45.00,59.00
2025-09-25T06:28:00Z,45.00,63.00
2025-09-25T06:30:00Z,45.00,65.47
2025-09-25T06:31:00Z,45.00,68.86
2025-09-25T06:33:00Z,33.00,68.86
2025-09-25T06:34:00Z,30.00,73.79
2025-09-25T06:36:00Z,30.00,66.00
2025-09-25T06:37:00Z,34.00,66.00
2025-09-25T06:38:00Z,37.93,64.00
2025-09-25T06:39:00Z,37.35,64.00
2025-09-25T06:40:00Z,41.48,59.04
2025-09-25T06:41:00Z,37.07,61.00
2025-09-25T06:42:00Z,37.00,67.00
2025-09-25T06:44:00Z,32.00,69.40
2025-09-25T06:45:00Z,34.04,68.00
2025-09-25T06:46:00Z,35.60,64.05
2025-09-25T06:47:00Z,34.45,65.85
2025-09-25T06:48:00Z,39.00,65.85
2025-09-25T06:49:00Z,38.07,65.85
2025-09-25T06:50:00Z,33.08,67.00
2025-09-25T06:51:00Z,37.12,67.67
2025-09-25T06:52:00Z,35.70,63.80
2025-09-25T06:53:00Z,40.81,61.85
2025-09-25T06:54:00Z,46.08,58.32
2025-09-25T06:55:00Z,53.61,52.69
2025-09-25T06:56:00Z,46.08,52.11
2025-09-25T06:57:00Z,55.37,55.25
2025-09-25T06:58:00Z,50.16,50.62
2025-09-25T06:59:00Z,54.69,45.98
2025-09-25T07:00:00Z,66.23,40.64
2025-09-25T09:01:00Z,66.23,80.32
2025-09-25T09:03:00Z,66.23,97.69
2025-09-25T09:06:00Z,2.34,98.94
2025-09-25T09:07:00Z,2.34,99.00
