# event_ticker=KXATPCHALLENGERMATCH-26APR28COUPOU
# final_score=6-2 7-6(4)
# score_resolution=6-2 7-6
# match_winner=Eliakim Coulibaly
# fav_player=Eliakim Coulibaly
# dog_player=Oskar Brostrom Poulsen
# kalshi_date=2026-04-28
timestamp,Eliakim Coulibaly,Oskar Brostrom Poulsen
2026-04-28T16:37:00Z,,96.00
2026-04-28T16:50:00Z,96.00,96.00
2026-04-28T16:52:00Z,95.00,96.00
2026-04-28T16:59:00Z,58.50,96.00
2026-04-28T17:01:00Z,58.50,4.00
2026-04-28T17:02:00Z,96.00,4.00
2026-04-28T17:03:00Z,94.11,4.00
2026-04-28T17:10:00Z,95.00,4.00
2026-04-28T17:17:00Z,95.00,4.00
2026-04-28T17:19:00Z,95.00,4.00
2026-04-28T17:20:00Z,85.83,4.00
2026-04-28T17:21:00Z,86.43,4.00
2026-04-28T17:22:00Z,86.43,29.00
2026-04-28T17:27:00Z,90.00,29.00
2026-04-28T17:28:00Z,89.93,18.00
2026-04-28T17:31:00Z,93.00,5.00
2026-04-28T17:33:00Z,93.00,14.00
2026-04-28T17:38:00Z,93.00,14.00
2026-04-28T17:46:00Z,93.00,14.00
2026-04-28T17:47:00Z,95.00,14.00
2026-04-28T17:48:00Z,95.00,14.00
2026-04-28T17:49:00Z,93.00,14.00
2026-04-28T17:50:00Z,91.00,14.00
2026-04-28T17:51:00Z,90.00,14.00
2026-04-28T17:52:00Z,87.00,14.44
2026-04-28T17:53:00Z,83.50,15.00
2026-04-28T17:54:00Z,88.07,18.39
2026-04-28T17:55:00Z,91.47,13.00
2026-04-28T17:56:00Z,91.00,15.00
2026-04-28T17:57:00Z,91.00,16.00
2026-04-28T17:58:00Z,91.00,8.00
2026-04-28T17:59:00Z,91.00,13.78
2026-04-28T18:01:00Z,95.85,13.78
2026-04-28T18:02:00Z,95.85,10.62
2026-04-28T18:03:00Z,89.00,12.00
2026-04-28T18:04:00Z,89.91,10.82
2026-04-28T18:05:00Z,94.73,10.82
2026-04-28T18:06:00Z,95.00,11.00
2026-04-28T18:07:00Z,93.69,11.65
2026-04-28T18:08:00Z,77.32,12.26
2026-04-28T18:09:00Z,86.31,17.00
2026-04-28T18:10:00Z,80.00,20.47
2026-04-28T18:11:00Z,80.00,21.61
2026-04-28T18:12:00Z,87.03,18.71
2026-04-28T18:13:00Z,86.00,21.38
2026-04-28T18:14:00Z,86.91,17.66
2026-04-28T18:15:00Z,77.07,32.68
2026-04-28T18:16:00Z,77.07,32.00
2026-04-28T18:17:00Z,62.20,36.07
2026-04-28T18:18:00Z,58.08,43.55
2026-04-28T18:19:00Z,64.00,41.00
2026-04-28T18:20:00Z,70.45,35.00
2026-04-28T18:21:00Z,84.96,35.00
2026-04-28T18:22:00Z,82.60,19.16
2026-04-28T18:23:00Z,89.06,13.44
2026-04-28T18:24:00Z,71.54,21.71
2026-04-28T18:25:00Z,78.75,27.00
2026-04-28T18:26:00Z,97.07,9.39
2026-04-28T18:27:00Z,95.74,5.39
2026-04-28T18:28:00Z,98.42,1.41
2026-04-28T18:29:00Z,99.00,1.41
2026-04-28T18:30:00Z,99.00,1.41
2026-04-28T18:31:00Z,99.00,1.00
