# event_ticker=KXATPCHALLENGERMATCH-26APR07BASDRA
# final_score=6-3 7-6(5)
# score_resolution=3-6 6-7
# match_winner=Nishesh Basavareddy
# fav_player=Liam Draxl
# dog_player=Nishesh Basavareddy
# kalshi_date=2026-04-07
timestamp,Liam Draxl,Nishesh Basavareddy
2026-04-07T07:04:00Z,,58.00
2026-04-07T07:34:00Z,45.00,58.00
2026-04-07T07:51:00Z,45.00,58.00
2026-04-07T07:52:00Z,45.00,58.00
2026-04-07T10:28:00Z,45.00,55.00
2026-04-07T10:29:00Z,45.00,56.00
2026-04-07T12:38:00Z,45.00,56.00
2026-04-07T12:42:00Z,45.00,56.34
2026-04-07T13:16:00Z,45.00,57.00
2026-04-07T13:29:00Z,45.00,57.00
2026-04-07T13:35:00Z,45.00,57.96
2026-04-07T13:36:00Z,45.00,57.96
2026-04-07T13:41:00Z,45.00,57.96
2026-04-07T13:46:00Z,45.00,57.07
2026-04-07T14:01:00Z,45.00,56.00
2026-04-07T14:04:00Z,45.00,56.00
2026-04-07T14:06:00Z,46.00,56.00
2026-04-07T14:10:00Z,46.00,56.00
2026-04-07T14:18:00Z,46.00,55.00
2026-04-07T14:32:00Z,46.24,55.00
2026-04-07T14:33:00Z,46.24,55.00
2026-04-07T15:01:00Z,47.25,55.00
2026-04-07T15:08:00Z,47.25,55.00
2026-04-07T15:16:00Z,47.25,55.00
2026-04-07T15:31:00Z,47.25,54.00
2026-04-07T15:33:00Z,47.25,54.00
2026-04-07T15:49:00Z,47.25,52.00
2026-04-07T15:58:00Z,47.25,53.00
2026-04-07T16:00:00Z,47.25,53.00
2026-04-07T16:02:00Z,47.25,53.00
2026-04-07T16:03:00Z,47.25,53.00
2026-04-07T16:29:00Z,47.25,54.00
2026-04-07T16:33:00Z,47.00,54.00
2026-04-07T16:35:00Z,47.00,54.00
2026-04-07T16:39:00Z,47.00,54.00
2026-04-07T16:42:00Z,47.00,54.00
2026-04-07T16:43:00Z,47.00,54.00
2026-04-07T16:49:00Z,47.50,54.00
2026-04-07T16:58:00Z,47.50,54.00
2026-04-07T16:59:00Z,47.50,54.00
2026-04-07T17:00:00Z,47.50,54.00
2026-04-07T17:01:00Z,47.50,54.00
2026-04-07T17:04:00Z,48.00,54.00
2026-04-07T17:09:00Z,48.00,54.00
2026-04-07T17:10:00Z,48.00,55.00
2026-04-07T17:13:00Z,48.00,55.00
2026-04-07T17:15:00Z,48.00,55.00
2026-04-07T17:16:00Z,44.61,55.00
2026-04-07T17:17:00Z,44.61,56.00
2026-04-07T17:20:00Z,47.00,56.00
2026-04-07T17:21:00Z,47.00,56.00
2026-04-07T17:26:00Z,46.83,56.00
2026-04-07T17:27:00Z,47.00,56.00
2026-04-07T17:29:00Z,47.00,53.00
2026-04-07T17:34:00Z,47.00,53.00
2026-04-07T17:36:00Z,47.00,53.00
2026-04-07T17:39:00Z,49.00,53.00
2026-04-07T17:43:00Z,49.00,53.00
