# event_ticker=KXATPCHALLENGERMATCH-26MAR24CATSCH
# final_score=7-6(2) 6-4
# score_resolution=6-7 4-6
# match_winner=Tristan Schoolkate
# fav_player=Robin Catry
# dog_player=Tristan Schoolkate
# kalshi_date=2026-03-24
timestamp,Robin Catry,Tristan Schoolkate
2026-03-24T10:03:00Z,20.00,79.15
2026-03-24T10:04:00Z,20.00,83.00
2026-03-24T11:14:00Z,20.00,82.00
2026-03-24T12:36:00Z,18.00,82.00
2026-03-24T13:37:00Z,18.00,83.00
2026-03-24T14:23:00Z,18.00,83.00
2026-03-24T15:13:00Z,16.00,83.00
2026-03-24T16:11:00Z,16.00,81.00
2026-03-24T16:14:00Z,18.00,81.00
2026-03-24T17:16:00Z,18.00,83.00
2026-03-24T17:51:00Z,18.00,83.00
2026-03-24T18:23:00Z,18.00,83.00
2026-03-24T18:25:00Z,18.00,83.00
2026-03-24T18:32:00Z,18.00,84.29
2026-03-24T18:50:00Z,18.00,84.00
2026-03-24T18:54:00Z,18.00,84.00
2026-03-24T19:16:00Z,18.00,84.00
2026-03-24T19:26:00Z,17.00,84.00
2026-03-24T19:30:00Z,17.00,84.00
2026-03-24T19:33:00Z,17.00,84.00
2026-03-24T19:38:00Z,17.00,84.00
2026-03-24T20:16:00Z,16.00,85.00
2026-03-24T20:17:00Z,16.00,85.00
2026-03-24T20:29:00Z,16.00,84.00
2026-03-24T20:30:00Z,16.00,84.00
2026-03-24T20:36:00Z,17.12,84.00
2026-03-24T20:40:00Z,16.94,84.00
2026-03-24T20:51:00Z,18.00,84.00
2026-03-24T20:52:00Z,18.00,83.00
2026-03-24T21:00:00Z,18.00,84.00
2026-03-24T21:03:00Z,18.00,84.00
2026-03-24T21:08:00Z,18.76,84.00
2026-03-24T21:10:00Z,18.00,84.00
2026-03-24T21:11:00Z,18.19,84.00
2026-03-24T21:12:00Z,17.00,84.00
2026-03-24T21:14:00Z,17.00,84.00
2026-03-24T21:16:00Z,17.00,84.00
2026-03-24T21:19:00Z,18.00,84.00
2026-03-24T21:20:00Z,18.00,84.00
2026-03-24T21:22:00Z,18.00,84.00
2026-03-24T21:23:00Z,18.00,84.00
2026-03-24T21:24:00Z,18.00,84.00
2026-03-24T21:25:00Z,18.00,84.00
2026-03-24T21:26:00Z,18.00,84.00
2026-03-24T21:27:00Z,15.62,85.00
2026-03-24T21:28:00Z,15.62,85.00
2026-03-24T21:29:00Z,15.00,85.00
2026-03-24T21:30:00Z,14.06,85.13
2026-03-24T21:31:00Z,12.34,88.46
2026-03-24T21:32:00Z,13.00,84.10
2026-03-24T21:33:00Z,18.06,83.90
2026-03-24T21:34:00Z,18.09,83.00
2026-03-24T21:35:00Z,18.28,81.55
2026-03-24T21:36:00Z,17.11,81.96
2026-03-24T21:37:00Z,16.03,85.00
2026-03-24T21:38:00Z,15.97,85.00
2026-03-24T21:39:00Z,13.36,86.12
2026-03-24T21:40:00Z,17.00,84.74
2026-03-24T21:41:00Z,16.00,84.74
2026-03-24T21:43:00Z,15.10,84.67
2026-03-24T21:44:00Z,16.00,83.00
2026-03-24T21:45:00Z,21.75,79.95
2026-03-24T21:46:00Z,25.20,77.31
2026-03-24T21:47:00Z,28.53,70.93
2026-03-24T21:48:00Z,35.00,67.00
2026-03-24T21:49:00Z,35.82,66.79
2026-03-24T21:50:00Z,38.00,61.73
2026-03-24T21:51:00Z,38.44,62.25
2026-03-24T21:52:00Z,42.41,57.15
2026-03-24T21:53:00Z,44.21,57.21
2026-03-24T21:54:00Z,40.23,61.00
2026-03-24T21:55:00Z,39.55,60.94
2026-03-24T21:56:00Z,40.00,60.39
2026-03-24T21:57:00Z,38.77,65.67
2026-03-24T21:58:00Z,25.67,77.43
2026-03-24T21:59:00Z,18.33,79.48
2026-03-24T22:00:00Z,17.01,83.80
2026-03-24T22:01:00Z,18.00,82.00
2026-03-24T22:02:00Z,18.00,82.86
2026-03-24T22:03:00Z,13.94,86.31
2026-03-24T22:04:00Z,11.73,88.46
2026-03-24T22:05:00Z,9.45,90.95
2026-03-24T22:06:00Z,13.60,88.00
2026-03-24T22:07:00Z,18.33,83.81
2026-03-24T22:08:00Z,19.55,81.08
2026-03-24T22:09:00Z,17.19,83.30
