# event_ticker=KXATPCHALLENGERMATCH-26MAR03BERSOR
# final_score=6-0 6-2
# score_resolution=0-6 2-6
# match_winner=Robin Bertrand
# fav_player=Adria Soriano Barrera
# dog_player=Robin Bertrand
# kalshi_date=2026-03-03
timestamp,Adria Soriano Barrera,Robin Bertrand
2026-03-03T02:15:00Z,66.00,
2026-03-03T02:27:00Z,66.00,
2026-03-03T02:32:00Z,66.00,
2026-03-03T02:44:00Z,66.00,
2026-03-03T03:45:00Z,66.00,37.00
2026-03-03T04:07:00Z,66.00,37.00
2026-03-03T04:10:00Z,66.00,37.00
2026-03-03T04:46:00Z,66.00,36.00
2026-03-03T05:52:00Z,66.50,36.00
2026-03-03T06:04:00Z,66.50,37.00
2026-03-03T06:18:00Z,64.00,37.00
2026-03-03T06:22:00Z,64.00,37.00
2026-03-03T06:23:00Z,65.00,37.00
2026-03-03T06:36:00Z,65.00,37.00
2026-03-03T07:11:00Z,65.00,37.00
2026-03-03T07:28:00Z,65.00,37.00
2026-03-03T07:58:00Z,65.00,36.00
2026-03-03T08:12:00Z,65.00,33.00
2026-03-03T08:13:00Z,67.00,33.00
2026-03-03T08:21:00Z,67.00,33.00
2026-03-03T08:22:00Z,67.00,33.00
2026-03-03T08:29:00Z,68.00,32.00
2026-03-03T08:30:00Z,68.00,32.00
2026-03-03T09:01:00Z,68.00,36.00
2026-03-03T09:03:00Z,68.00,36.00
2026-03-03T10:01:00Z,68.00,35.00
2026-03-03T10:19:00Z,68.00,36.00
2026-03-03T11:02:00Z,66.53,36.00
2026-03-03T11:25:00Z,68.00,36.00
2026-03-03T11:28:00Z,68.00,35.00
2026-03-03T11:38:00Z,68.00,35.00
2026-03-03T11:53:00Z,68.00,35.00
2026-03-03T12:06:00Z,68.00,35.00
2026-03-03T12:27:00Z,69.00,35.00
2026-03-03T12:37:00Z,69.00,35.00
2026-03-03T12:48:00Z,69.00,35.00
2026-03-03T13:00:00Z,69.00,35.00
2026-03-03T13:04:00Z,69.99,35.00
2026-03-03T13:18:00Z,69.00,35.00
2026-03-03T13:19:00Z,69.00,35.00
2026-03-03T13:20:00Z,70.00,35.00
2026-03-03T13:26:00Z,70.99,35.00
2026-03-03T13:33:00Z,70.99,32.00
2026-03-03T13:34:00Z,70.99,32.91
2026-03-03T13:35:00Z,70.00,32.91
2026-03-03T13:38:00Z,67.40,36.00
2026-03-03T13:39:00Z,68.00,36.00
2026-03-03T13:40:00Z,62.33,37.04
2026-03-03T13:41:00Z,62.33,41.76
2026-03-03T13:42:00Z,55.00,47.00
2026-03-03T13:43:00Z,52.13,47.33
2026-03-03T13:44:00Z,52.08,47.20
2026-03-03T13:45:00Z,56.01,42.96
2026-03-03T13:46:00Z,56.01,46.11
2026-03-03T13:47:00Z,57.00,45.00
2026-03-03T13:48:00Z,50.76,48.41
2026-03-03T13:49:00Z,50.83,48.41
2026-03-03T13:50:00Z,52.33,47.95
2026-03-03T13:51:00Z,51.33,47.12
2026-03-03T13:52:00Z,48.00,50.15
2026-03-03T13:53:00Z,44.74,56.20
2026-03-03T13:54:00Z,39.00,56.20
2026-03-03T13:55:00Z,39.00,64.10
2026-03-03T13:56:00Z,37.89,61.13
2026-03-03T13:57:00Z,40.36,57.36
2026-03-03T13:58:00Z,35.09,65.59
2026-03-03T13:59:00Z,33.00,66.65
2026-03-03T14:00:00Z,34.00,67.04
2026-03-03T14:01:00Z,27.00,71.04
2026-03-03T14:02:00Z,23.59,73.97
2026-03-03T14:03:00Z,27.00,74.00
2026-03-03T14:04:00Z,27.00,74.62
2026-03-03T14:05:00Z,24.00,76.89
2026-03-03T14:06:00Z,24.00,77.00
2026-03-03T14:07:00Z,24.00,76.05
2026-03-03T14:08:00Z,20.06,81.40
2026-03-03T14:09:00Z,16.02,85.52
2026-03-03T14:10:00Z,15.13,87.86
2026-03-03T14:11:00Z,12.00,87.44
2026-03-03T14:12:00Z,11.01,88.83
2026-03-03T14:13:00Z,11.01,89.36
2026-03-03T14:14:00Z,9.00,91.89
2026-03-03T14:15:00Z,8.25,93.29
2026-03-03T14:16:00Z,6.09,93.71
2026-03-03T14:17:00Z,6.92,93.91
2026-03-03T14:18:00Z,11.00,90.98
2026-03-03T14:19:00Z,10.00,91.42
2026-03-03T14:20:00Z,7.22,92.94
2026-03-03T14:21:00Z,8.43,91.76
2026-03-03T14:22:00Z,9.80,93.06
2026-03-03T14:23:00Z,7.00,93.69
2026-03-03T14:24:00Z,3.80,96.95
2026-03-03T14:25:00Z,2.99,97.91
2026-03-03T14:26:00Z,2.00,98.03
2026-03-03T14:27:00Z,3.00,98.41
2026-03-03T14:28:00Z,1.00,98.21
2026-03-03T14:29:00Z,1.00,98.99
2026-03-03T14:30:00Z,1.00,99.00
2026-03-03T14:31:00Z,1.00,99.00
2026-03-03T14:32:00Z,1.64,98.99
2026-03-03T14:33:00Z,1.64,98.91
2026-03-03T14:34:00Z,2.00,98.08
2026-03-03T14:35:00Z,2.00,99.00
2026-03-03T14:36:00Z,1.00,99.00
2026-03-03T14:37:00Z,1.00,99.00
2026-03-03T14:38:00Z,1.00,99.00
2026-03-03T14:39:00Z,1.00,99.00
2026-03-03T14:40:00Z,1.00,99.00
2026-03-03T14:41:00Z,1.00,99.00
2026-03-03T14:42:00Z,1.00,99.00
2026-03-03T14:43:00Z,1.00,99.00
2026-03-03T14:44:00Z,1.00,99.00
2026-03-03T14:46:00Z,1.00,99.00
2026-03-03T14:47:00Z,1.00,99.00
2026-03-03T14:49:00Z,1.00,99.00
