# event_ticker=KXATPCHALLENGERMATCH-26MAY27AZKCOU
# final_score=7-6(4) 6-1
# score_resolution=6-7 1-6
# match_winner=Eliakim Coulibaly
# fav_player=Arda Azkara
# dog_player=Eliakim Coulibaly
# kalshi_date=2026-05-27
timestamp,Arda Azkara,Eliakim Coulibaly
2026-05-27T03:07:00Z,24.00,
2026-05-27T03:16:00Z,24.00,84.00
2026-05-27T03:43:00Z,24.00,84.00
2026-05-27T04:05:00Z,24.00,84.00
2026-05-27T04:43:00Z,24.00,84.74
2026-05-27T05:05:00Z,24.00,87.40
2026-05-27T06:23:00Z,23.00,87.40
2026-05-27T08:26:00Z,20.68,87.40
2026-05-27T08:28:00Z,24.00,87.40
2026-05-27T08:38:00Z,24.00,87.40
2026-05-27T08:41:00Z,24.00,77.50
2026-05-27T08:49:00Z,24.00,79.00
2026-05-27T08:53:00Z,18.50,86.97
2026-05-27T09:11:00Z,24.00,80.00
2026-05-27T09:14:00Z,19.00,83.00
2026-05-27T09:26:00Z,27.71,83.00
2026-05-27T09:33:00Z,27.71,83.82
2026-05-27T09:36:00Z,16.00,83.82
2026-05-27T09:39:00Z,33.00,83.82
2026-05-27T09:40:00Z,30.00,74.00
2026-05-27T09:58:00Z,30.00,90.00
2026-05-27T10:21:00Z,30.00,90.00
2026-05-27T10:25:00Z,30.00,90.00
2026-05-27T10:44:00Z,30.00,52.03
2026-05-27T10:45:00Z,30.00,81.91
2026-05-27T10:46:00Z,30.00,80.16
2026-05-27T10:47:00Z,21.08,76.27
2026-05-27T10:48:00Z,23.22,77.00
2026-05-27T10:49:00Z,23.28,74.01
2026-05-27T10:50:00Z,23.28,77.00
2026-05-27T10:52:00Z,23.28,78.00
2026-05-27T10:53:00Z,22.18,73.41
2026-05-27T10:54:00Z,22.18,76.00
2026-05-27T10:55:00Z,24.79,72.59
2026-05-27T10:56:00Z,26.00,71.32
2026-05-27T10:57:00Z,27.36,71.32
2026-05-27T10:58:00Z,27.36,73.67
2026-05-27T10:59:00Z,24.85,72.79
2026-05-27T11:00:00Z,25.79,71.67
2026-05-27T11:01:00Z,27.81,72.18
2026-05-27T11:02:00Z,30.69,66.60
2026-05-27T11:03:00Z,33.05,64.81
2026-05-27T11:04:00Z,34.03,71.55
2026-05-27T11:05:00Z,34.03,70.95
2026-05-27T11:06:00Z,29.54,66.09
2026-05-27T11:07:00Z,31.00,67.00
2026-05-27T11:09:00Z,33.90,64.29
2026-05-27T11:10:00Z,35.00,65.00
2026-05-27T11:11:00Z,37.33,57.40
2026-05-27T11:12:00Z,37.33,56.88
2026-05-27T11:13:00Z,40.04,62.30
2026-05-27T11:14:00Z,39.93,59.06
2026-05-27T11:15:00Z,34.03,65.05
2026-05-27T11:16:00Z,34.00,64.87
2026-05-27T11:17:00Z,34.58,64.00
2026-05-27T11:18:00Z,34.58,61.47
2026-05-27T11:19:00Z,34.58,65.00
2026-05-27T11:20:00Z,34.58,66.51
2026-05-27T11:22:00Z,37.00,65.00
2026-05-27T11:23:00Z,37.00,65.00
2026-05-27T11:24:00Z,36.00,63.00
2026-05-27T11:25:00Z,36.00,63.00
2026-05-27T11:26:00Z,36.00,65.00
2026-05-27T11:27:00Z,32.00,69.93
2026-05-27T11:28:00Z,32.46,67.64
2026-05-27T11:29:00Z,36.81,64.00
2026-05-27T11:30:00Z,37.00,65.00
2026-05-27T11:31:00Z,36.00,68.97
2026-05-27T11:32:00Z,36.00,69.00
2026-05-27T11:34:00Z,36.00,69.00
2026-05-27T11:35:00Z,37.00,65.00
2026-05-27T11:36:00Z,36.00,65.00
2026-05-27T11:37:00Z,36.00,65.00
2026-05-27T11:38:00Z,37.98,54.98
2026-05-27T11:39:00Z,46.25,58.03
2026-05-27T11:40:00Z,44.87,59.91
2026-05-27T11:41:00Z,39.33,60.95
2026-05-27T11:42:00Z,38.64,65.64
2026-05-27T11:43:00Z,26.01,67.15
2026-05-27T11:44:00Z,24.39,73.48
2026-05-27T11:45:00Z,24.39,78.76
2026-05-27T11:46:00Z,22.70,76.73
2026-05-27T11:47:00Z,22.70,79.70
2026-05-27T11:48:00Z,28.04,74.21
2026-05-27T11:49:00Z,25.25,78.41
2026-05-27T11:50:00Z,20.08,86.29
2026-05-27T11:51:00Z,14.95,82.26
2026-05-27T11:52:00Z,12.71,85.81
2026-05-27T11:53:00Z,14.19,88.61
2026-05-27T11:54:00Z,14.51,87.02
2026-05-27T11:55:00Z,14.25,88.61
2026-05-27T11:56:00Z,14.80,87.01
2026-05-27T11:57:00Z,14.82,87.01
2026-05-27T11:58:00Z,13.00,87.27
2026-05-27T11:59:00Z,12.00,90.47
2026-05-27T12:00:00Z,7.73,90.80
2026-05-27T12:01:00Z,5.00,93.00
2026-05-27T12:02:00Z,9.09,93.15
2026-05-27T12:03:00Z,11.00,90.06
2026-05-27T12:04:00Z,10.00,91.76
2026-05-27T12:05:00Z,8.55,95.00
2026-05-27T12:06:00Z,4.26,95.11
2026-05-27T12:07:00Z,6.00,94.38
2026-05-27T12:08:00Z,5.00,94.38
2026-05-27T12:09:00Z,5.08,93.99
2026-05-27T12:10:00Z,6.00,94.10
2026-05-27T12:11:00Z,6.00,96.00
2026-05-27T12:12:00Z,4.91,96.16
2026-05-27T12:13:00Z,3.53,97.00
2026-05-27T12:14:00Z,4.94,98.00
2026-05-27T12:16:00Z,3.14,94.85
2026-05-27T12:17:00Z,5.00,95.61
2026-05-27T12:18:00Z,1.07,95.61
2026-05-27T12:19:00Z,2.00,99.00
2026-05-27T12:20:00Z,1.00,99.00
2026-05-27T12:21:00Z,1.00,98.18
2026-05-27T12:22:00Z,3.00,98.09
2026-05-27T12:23:00Z,2.24,97.32
2026-05-27T12:24:00Z,2.24,99.00
2026-05-27T12:25:00Z,2.24,99.00
2026-05-27T12:26:00Z,2.90,98.04
2026-05-27T12:27:00Z,10.12,90.03
2026-05-27T12:28:00Z,7.88,91.28
2026-05-27T12:29:00Z,5.15,95.26
2026-05-27T12:30:00Z,5.15,97.47
2026-05-27T12:31:00Z,1.00,96.00
2026-05-27T12:32:00Z,1.67,99.00
2026-05-27T12:33:00Z,1.67,99.00
2026-05-27T12:34:00Z,1.67,99.00
