# event_ticker=KXATPCHALLENGERMATCH-26JUN02OLIKRU
# final_score=6-3 1-6 7-6(2)
# score_resolution=3-6 6-1 6-7
# match_winner=Genaro Alberto Olivieri
# fav_player=Martin Krumich
# dog_player=Genaro Alberto Olivieri
# kalshi_date=2026-06-02
timestamp,Genaro Alberto Olivieri,Martin Krumich
2026-06-02T02:27:00Z,,57.00
2026-06-02T05:02:00Z,,58.00
2026-06-02T05:09:00Z,44.00,58.00
2026-06-02T05:49:00Z,44.00,58.00
2026-06-02T06:23:00Z,44.65,58.00
2026-06-02T06:27:00Z,43.00,58.00
2026-06-02T06:29:00Z,43.00,57.00
2026-06-02T07:26:00Z,45.00,57.00
2026-06-02T08:22:00Z,45.00,57.00
2026-06-02T08:53:00Z,45.63,57.00
2026-06-02T08:59:00Z,45.63,58.00
2026-06-02T09:51:00Z,45.63,57.00
2026-06-02T10:54:00Z,45.00,57.00
2026-06-02T11:17:00Z,45.00,57.00
2026-06-02T12:06:00Z,45.00,61.00
2026-06-02T12:07:00Z,40.00,60.53
2026-06-02T12:08:00Z,39.69,60.86
2026-06-02T12:09:00Z,44.34,56.00
2026-06-02T12:10:00Z,47.00,56.00
2026-06-02T12:11:00Z,46.91,56.00
2026-06-02T12:12:00Z,46.91,60.00
2026-06-02T12:13:00Z,46.91,62.00
2026-06-02T12:14:00Z,35.00,64.33
2026-06-02T12:15:00Z,35.00,70.32
2026-06-02T12:16:00Z,37.00,62.00
2026-06-02T12:17:00Z,36.81,63.21
2026-06-02T12:18:00Z,36.93,63.00
2026-06-02T12:19:00Z,35.07,63.90
2026-06-02T12:20:00Z,30.00,63.90
2026-06-02T12:22:00Z,30.00,71.00
2026-06-02T12:23:00Z,37.77,63.00
2026-06-02T12:24:00Z,38.02,62.00
2026-06-02T12:25:00Z,43.99,61.00
2026-06-02T12:26:00Z,48.70,54.00
2026-06-02T12:27:00Z,47.97,54.09
2026-06-02T12:28:00Z,48.00,53.00
2026-06-02T12:29:00Z,47.00,54.00
2026-06-02T12:30:00Z,50.56,54.00
2026-06-02T12:31:00Z,46.00,54.48
2026-06-02T12:32:00Z,45.88,53.00
2026-06-02T12:33:00Z,50.22,50.03
2026-06-02T12:34:00Z,58.19,50.03
2026-06-02T12:35:00Z,61.54,50.03
2026-06-02T12:36:00Z,63.17,38.09
2026-06-02T12:37:00Z,62.08,38.13
2026-06-02T12:38:00Z,62.10,37.97
2026-06-02T12:39:00Z,64.09,37.00
2026-06-02T12:40:00Z,65.88,33.00
2026-06-02T12:41:00Z,67.00,34.00
2026-06-02T12:42:00Z,67.09,34.00
2026-06-02T12:43:00Z,67.00,33.98
2026-06-02T12:44:00Z,66.01,35.00
2026-06-02T12:45:00Z,67.16,33.56
2026-06-02T12:46:00Z,71.62,30.16
2026-06-02T12:47:00Z,71.05,29.00
2026-06-02T12:48:00Z,72.00,29.00
2026-06-02T12:49:00Z,71.02,29.00
2026-06-02T12:50:00Z,71.03,30.52
2026-06-02T12:51:00Z,69.89,31.05
2026-06-02T12:52:00Z,64.22,35.57
2026-06-02T12:53:00Z,62.66,42.30
2026-06-02T12:54:00Z,52.45,47.11
2026-06-02T12:55:00Z,50.88,50.00
2026-06-02T12:56:00Z,48.30,53.74
2026-06-02T12:57:00Z,47.17,54.45
2026-06-02T12:58:00Z,49.20,51.58
2026-06-02T12:59:00Z,46.00,54.87
2026-06-02T13:00:00Z,46.00,55.45
2026-06-02T13:01:00Z,46.00,53.68
2026-06-02T13:02:00Z,50.00,51.00
2026-06-02T13:03:00Z,47.86,51.00
2026-06-02T13:04:00Z,46.00,57.49
2026-06-02T13:05:00Z,44.73,55.96
2026-06-02T13:06:00Z,41.97,62.19
2026-06-02T13:07:00Z,38.04,62.98
2026-06-02T13:08:00Z,39.09,60.74
2026-06-02T13:10:00Z,39.09,61.00
2026-06-02T13:11:00Z,43.00,61.00
2026-06-02T13:12:00Z,42.36,59.00
2026-06-02T13:13:00Z,41.00,59.03
2026-06-02T13:14:00Z,38.91,62.39
2026-06-02T13:15:00Z,38.12,62.39
2026-06-02T13:16:00Z,37.00,64.00
2026-06-02T13:17:00Z,35.09,64.00
2026-06-02T13:18:00Z,36.00,63.70
2026-06-02T13:19:00Z,36.00,64.00
2026-06-02T13:20:00Z,37.00,63.21
2026-06-02T13:21:00Z,37.00,63.36
2026-06-02T13:22:00Z,37.00,63.99
2026-06-02T13:23:00Z,37.00,64.00
2026-06-02T13:24:00Z,38.06,63.42
2026-06-02T13:25:00Z,39.80,60.29
2026-06-02T13:26:00Z,42.79,57.94
2026-06-02T13:27:00Z,40.15,58.96
2026-06-02T13:28:00Z,36.06,64.28
2026-06-02T13:29:00Z,41.38,58.25
2026-06-02T13:30:00Z,44.38,55.63
2026-06-02T13:31:00Z,51.46,50.66
2026-06-02T13:32:00Z,56.69,36.79
2026-06-02T13:33:00Z,62.87,38.92
2026-06-02T13:34:00Z,57.85,44.68
2026-06-02T13:35:00Z,65.47,36.92
2026-06-02T13:36:00Z,71.96,31.81
2026-06-02T13:37:00Z,71.04,30.58
2026-06-02T13:38:00Z,78.00,23.27
2026-06-02T13:39:00Z,78.01,23.67
2026-06-02T13:40:00Z,78.61,21.88
2026-06-02T13:41:00Z,78.91,22.74
2026-06-02T13:42:00Z,76.14,24.23
2026-06-02T13:43:00Z,75.96,25.38
2026-06-02T13:44:00Z,75.00,25.00
2026-06-02T13:45:00Z,79.20,22.58
2026-06-02T13:46:00Z,81.41,18.99
2026-06-02T13:47:00Z,70.66,28.39
2026-06-02T13:48:00Z,76.77,22.28
2026-06-02T13:49:00Z,73.43,29.16
2026-06-02T13:50:00Z,68.42,31.82
2026-06-02T13:51:00Z,57.81,44.20
2026-06-02T13:52:00Z,51.00,50.27
2026-06-02T13:53:00Z,50.99,51.15
2026-06-02T13:54:00Z,44.96,55.44
2026-06-02T13:55:00Z,45.34,54.31
2026-06-02T13:56:00Z,44.44,55.62
2026-06-02T13:57:00Z,46.79,55.01
2026-06-02T13:58:00Z,44.30,56.00
2026-06-02T13:59:00Z,46.42,55.64
2026-06-02T14:00:00Z,47.39,55.30
2026-06-02T14:01:00Z,46.11,55.98
2026-06-02T14:02:00Z,42.72,55.27
2026-06-02T14:03:00Z,51.40,47.20
2026-06-02T14:04:00Z,54.50,46.94
2026-06-02T14:05:00Z,51.71,50.85
2026-06-02T14:06:00Z,45.89,55.88
2026-06-02T14:07:00Z,42.36,58.27
2026-06-02T14:08:00Z,35.69,70.65
2026-06-02T14:09:00Z,18.81,82.65
2026-06-02T14:10:00Z,23.60,79.36
2026-06-02T14:11:00Z,11.68,88.44
2026-06-02T14:12:00Z,11.96,88.42
2026-06-02T14:13:00Z,17.92,83.19
2026-06-02T14:14:00Z,15.94,86.95
2026-06-02T14:15:00Z,26.74,76.07
2026-06-02T14:16:00Z,31.84,70.28
2026-06-02T14:17:00Z,43.82,56.53
2026-06-02T14:18:00Z,40.66,64.14
2026-06-02T14:19:00Z,42.81,61.96
2026-06-02T14:20:00Z,25.35,74.34
2026-06-02T14:21:00Z,41.57,65.17
2026-06-02T14:22:00Z,32.20,64.86
2026-06-02T14:23:00Z,57.42,44.52
2026-06-02T14:24:00Z,60.44,39.71
2026-06-02T14:25:00Z,66.16,32.09
2026-06-02T14:26:00Z,65.43,32.86
2026-06-02T14:27:00Z,60.49,39.87
2026-06-02T14:28:00Z,63.34,34.93
2026-06-02T14:29:00Z,76.86,27.40
2026-06-02T14:30:00Z,72.90,32.25
2026-06-02T14:31:00Z,79.11,26.72
2026-06-02T14:32:00Z,67.41,34.64
2026-06-02T14:33:00Z,57.76,41.28
2026-06-02T14:34:00Z,53.97,48.80
2026-06-02T14:35:00Z,56.14,45.36
2026-06-02T14:36:00Z,71.79,21.17
2026-06-02T14:37:00Z,74.40,22.02
2026-06-02T14:38:00Z,82.54,17.52
2026-06-02T14:39:00Z,78.52,22.74
2026-06-02T14:40:00Z,85.96,17.54
2026-06-02T14:41:00Z,96.98,5.80
2026-06-02T14:42:00Z,99.00,1.00
2026-06-02T14:43:00Z,99.00,1.00
