# event_ticker=KXATPMATCH-25AUG18COMBEL
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Mattia Bellucci
# fav_player=Francisco Comesana
# dog_player=Mattia Bellucci
# kalshi_date=2025-08-18
timestamp,Francisco Comesana,Mattia Bellucci
2025-08-18T12:32:00Z,57.00,
2025-08-18T12:38:00Z,57.00,
2025-08-18T15:24:00Z,57.00,47.00
2025-08-18T16:24:00Z,54.00,47.00
2025-08-18T16:52:00Z,55.00,47.00
2025-08-18T16:58:00Z,55.00,47.00
2025-08-18T17:00:00Z,55.00,46.00
2025-08-18T19:20:00Z,55.00,46.00
2025-08-18T19:59:00Z,54.00,46.00
2025-08-18T20:06:00Z,54.00,46.00
2025-08-18T20:11:00Z,54.00,48.00
2025-08-18T20:14:00Z,53.06,48.00
2025-08-18T20:15:00Z,54.00,48.00
2025-08-18T20:31:00Z,55.00,48.00
2025-08-18T20:32:00Z,55.00,46.00
2025-08-18T20:40:00Z,55.00,46.00
2025-08-18T20:48:00Z,55.00,46.00
2025-08-18T20:54:00Z,55.00,46.00
2025-08-18T21:00:00Z,56.00,46.00
2025-08-18T21:04:00Z,56.00,46.00
2025-08-18T21:05:00Z,56.00,46.00
2025-08-18T21:09:00Z,56.00,46.00
2025-08-18T21:12:00Z,56.00,46.00
2025-08-18T21:25:00Z,56.00,46.00
2025-08-18T21:29:00Z,56.00,46.00
2025-08-18T21:32:00Z,56.00,46.00
2025-08-18T21:34:00Z,56.00,46.00
2025-08-18T21:36:00Z,56.00,46.00
2025-08-18T21:40:00Z,56.00,46.00
2025-08-18T21:45:00Z,56.00,46.00
2025-08-18T21:48:00Z,56.00,46.00
2025-08-18T21:50:00Z,56.00,46.00
2025-08-18T21:52:00Z,56.00,46.00
2025-08-18T21:54:00Z,56.00,46.00
2025-08-18T21:57:00Z,56.00,46.00
2025-08-18T21:58:00Z,56.00,44.00
2025-08-18T21:59:00Z,56.00,44.00
2025-08-18T22:00:00Z,56.00,44.00
2025-08-18T22:01:00Z,56.00,51.00
2025-08-18T22:03:00Z,54.14,51.00
2025-08-18T22:04:00Z,56.00,51.00
2025-08-18T22:05:00Z,55.52,51.00
2025-08-18T22:06:00Z,55.52,46.00
2025-08-18T22:08:00Z,51.12,46.00
2025-08-18T22:09:00Z,48.00,52.00
2025-08-18T22:10:00Z,36.25,63.00
2025-08-18T22:11:00Z,40.75,63.00
2025-08-18T22:13:00Z,40.75,66.00
2025-08-18T22:14:00Z,34.21,66.00
2025-08-18T22:15:00Z,34.21,67.00
2025-08-18T22:16:00Z,27.00,73.00
2025-08-18T22:17:00Z,27.00,75.00
2025-08-18T22:18:00Z,28.20,75.06
2025-08-18T22:19:00Z,27.26,75.06
2025-08-18T22:20:00Z,27.26,76.72
2025-08-18T22:21:00Z,30.00,76.72
2025-08-18T22:22:00Z,29.00,76.72
2025-08-18T22:23:00Z,29.00,67.75
2025-08-18T22:24:00Z,32.08,67.00
2025-08-18T22:26:00Z,30.00,69.00
2025-08-18T22:27:00Z,28.00,70.00
2025-08-18T22:28:00Z,30.78,70.11
2025-08-18T22:30:00Z,34.00,70.11
2025-08-18T22:31:00Z,33.04,70.11
2025-08-18T22:32:00Z,34.12,65.48
2025-08-18T22:33:00Z,34.35,63.49
2025-08-18T22:34:00Z,36.02,67.82
2025-08-18T22:36:00Z,28.00,72.00
2025-08-18T22:37:00Z,24.02,78.97
2025-08-18T22:38:00Z,22.09,78.69
2025-08-18T22:39:00Z,23.68,78.69
2025-08-18T22:40:00Z,22.00,79.00
2025-08-18T22:41:00Z,22.00,78.47
2025-08-18T22:42:00Z,25.21,76.98
2025-08-18T22:43:00Z,31.00,72.00
2025-08-18T22:44:00Z,31.00,72.72
2025-08-18T22:45:00Z,31.22,69.00
2025-08-18T22:46:00Z,31.22,70.41
2025-08-18T22:48:00Z,32.27,70.41
2025-08-18T22:49:00Z,33.50,68.00
2025-08-18T22:50:00Z,39.46,66.00
2025-08-18T22:51:00Z,40.89,74.00
2025-08-18T22:52:00Z,30.86,74.00
2025-08-18T22:53:00Z,27.93,74.00
2025-08-18T22:54:00Z,29.67,76.12
2025-08-18T22:55:00Z,27.57,76.00
2025-08-18T22:56:00Z,27.57,75.87
2025-08-18T22:57:00Z,28.08,70.96
2025-08-18T22:58:00Z,28.08,68.93
2025-08-18T22:59:00Z,28.08,70.97
2025-08-18T23:00:00Z,23.00,74.27
2025-08-18T23:01:00Z,24.00,74.27
2025-08-18T23:02:00Z,26.25,71.14
2025-08-18T23:03:00Z,28.77,75.00
2025-08-18T23:04:00Z,31.94,75.00
2025-08-18T23:05:00Z,32.00,75.00
2025-08-18T23:06:00Z,32.00,67.00
2025-08-18T23:07:00Z,30.00,72.13
2025-08-18T23:08:00Z,23.70,74.00
2025-08-18T23:09:00Z,23.00,74.86
2025-08-18T23:11:00Z,25.85,79.16
2025-08-18T23:12:00Z,13.15,84.93
2025-08-18T23:13:00Z,11.26,87.63
2025-08-18T23:14:00Z,11.00,88.95
2025-08-18T23:15:00Z,8.23,90.00
2025-08-18T23:16:00Z,6.33,94.99
2025-08-18T23:17:00Z,6.93,97.26
2025-08-18T23:18:00Z,5.00,96.82
2025-08-18T23:19:00Z,6.61,95.00
2025-08-18T23:20:00Z,7.14,93.00
2025-08-18T23:21:00Z,7.14,95.00
2025-08-18T23:22:00Z,9.91,92.59
2025-08-18T23:23:00Z,13.85,89.34
2025-08-18T23:24:00Z,8.00,91.96
2025-08-18T23:25:00Z,8.00,98.67
2025-08-18T23:26:00Z,2.85,98.67
2025-08-18T23:27:00Z,1.00,98.26
2025-08-18T23:28:00Z,1.00,99.00
2025-08-18T23:29:00Z,1.00,99.00
2025-08-18T23:36:00Z,1.00,99.00
