# event_ticker=KXATPCHALLENGERMATCH-26JUN02ZHAVIR
# final_score=7-6(8) 6-1
# score_resolution=7-6 6-1
# match_winner=Otto Virtanen
# fav_player=Otto Virtanen
# dog_player=Zhizhen Zhang
# kalshi_date=2026-06-02
timestamp,Zhizhen Zhang,Otto Virtanen
2026-06-03T01:29:00Z,37.00,
2026-06-03T01:30:00Z,37.00,64.00
2026-06-03T01:31:00Z,37.00,64.00
2026-06-03T01:32:00Z,36.00,64.00
2026-06-03T01:33:00Z,37.00,64.00
2026-06-03T01:34:00Z,37.00,64.00
2026-06-03T01:39:00Z,37.00,64.00
2026-06-03T01:41:00Z,36.00,64.00
2026-06-03T01:44:00Z,37.00,64.00
2026-06-03T01:46:00Z,37.00,64.00
2026-06-03T01:48:00Z,37.00,63.00
2026-06-03T01:49:00Z,37.00,63.15
2026-06-03T01:55:00Z,36.00,63.15
2026-06-03T01:58:00Z,36.00,64.00
2026-06-03T01:59:00Z,37.00,63.00
2026-06-03T02:00:00Z,36.00,63.00
2026-06-03T02:02:00Z,36.00,64.00
2026-06-03T02:04:00Z,36.35,64.00
2026-06-03T02:05:00Z,36.00,64.00
2026-06-03T02:07:00Z,37.00,64.00
2026-06-03T02:09:00Z,36.00,64.00
2026-06-03T02:11:00Z,37.00,64.00
2026-06-03T02:12:00Z,36.40,64.00
2026-06-03T02:14:00Z,37.00,64.00
2026-06-03T02:15:00Z,37.00,64.00
2026-06-03T02:16:00Z,36.00,64.00
2026-06-03T02:18:00Z,37.00,64.00
2026-06-03T02:21:00Z,38.00,64.00
2026-06-03T02:22:00Z,36.00,64.00
2026-06-03T02:23:00Z,36.00,63.00
2026-06-03T02:24:00Z,38.00,63.00
2026-06-03T02:25:00Z,37.94,64.00
2026-06-03T02:27:00Z,38.00,64.00
2026-06-03T02:28:00Z,38.00,64.00
2026-06-03T02:29:00Z,36.07,64.00
2026-06-03T02:30:00Z,36.00,64.00
2026-06-03T02:32:00Z,38.00,64.00
2026-06-03T02:33:00Z,38.00,64.00
2026-06-03T02:36:00Z,38.00,64.00
2026-06-03T02:38:00Z,38.00,64.00
2026-06-03T02:39:00Z,38.00,63.95
2026-06-03T02:40:00Z,36.00,63.95
2026-06-03T02:41:00Z,36.00,64.00
2026-06-03T02:43:00Z,38.00,64.00
2026-06-03T02:44:00Z,37.33,64.00
2026-06-03T02:45:00Z,38.00,62.24
2026-06-03T02:46:00Z,38.00,62.24
2026-06-03T02:50:00Z,37.00,62.24
2026-06-03T02:53:00Z,38.00,63.00
2026-06-03T02:54:00Z,37.00,63.00
2026-06-03T02:55:00Z,37.11,62.00
2026-06-03T02:56:00Z,38.00,62.00
2026-06-03T02:58:00Z,38.00,62.00
2026-06-03T02:59:00Z,38.00,62.00
2026-06-03T03:00:00Z,37.00,62.00
2026-06-03T03:01:00Z,37.00,63.00
2026-06-03T03:02:00Z,37.33,63.00
2026-06-03T03:03:00Z,38.00,62.36
2026-06-03T03:05:00Z,38.00,63.00
2026-06-03T03:07:00Z,38.00,63.00
2026-06-03T03:09:00Z,38.72,63.00
2026-06-03T03:10:00Z,38.93,62.00
2026-06-03T03:11:00Z,38.00,63.00
2026-06-03T03:12:00Z,38.00,63.00
2026-06-03T03:13:00Z,38.00,61.10
2026-06-03T03:15:00Z,39.00,62.00
