# event_ticker=KXATPCHALLENGERMATCH-26MAY13SAFDJE
# final_score=6-4 7-5
# match_winner=Laslo Djere
# fav_player=Laslo Djere
# dog_player=Roman Safiullin
# kalshi_date=2026-05-13
timestamp,Roman Safiullin,Laslo Djere
2026-05-13T01:17:00Z,,48.00
2026-05-13T01:18:00Z,55.00,48.00
2026-05-13T01:42:00Z,55.00,48.00
2026-05-13T02:20:00Z,55.00,47.00
2026-05-13T02:30:00Z,55.00,47.00
2026-05-13T02:41:00Z,55.00,47.00
2026-05-13T03:02:00Z,55.91,47.00
2026-05-13T03:03:00Z,56.00,47.00
2026-05-13T03:13:00Z,56.00,47.00
2026-05-13T03:29:00Z,56.00,47.00
2026-05-13T03:34:00Z,56.00,47.00
2026-05-13T03:37:00Z,56.00,47.00
2026-05-13T03:39:00Z,54.00,47.00
2026-05-13T03:47:00Z,54.00,46.00
2026-05-13T03:48:00Z,55.00,46.00
2026-05-13T03:52:00Z,55.00,46.00
2026-05-13T03:53:00Z,55.00,46.00
2026-05-13T04:07:00Z,55.00,46.00
2026-05-13T04:22:00Z,55.00,46.00
2026-05-13T04:27:00Z,55.00,46.00
2026-05-13T04:32:00Z,55.00,46.00
2026-05-13T04:38:00Z,55.00,46.00
2026-05-13T04:40:00Z,55.00,46.00
2026-05-13T04:50:00Z,55.00,46.00
2026-05-13T04:51:00Z,55.00,46.00
2026-05-13T04:57:00Z,55.00,46.00
2026-05-13T04:58:00Z,55.00,46.00
2026-05-13T04:59:00Z,56.07,46.00
2026-05-13T05:01:00Z,56.07,46.00
2026-05-13T05:03:00Z,56.00,46.00
2026-05-13T05:07:00Z,56.00,45.00
2026-05-13T05:13:00Z,56.00,45.00
2026-05-13T05:15:00Z,56.00,45.00
2026-05-13T05:16:00Z,56.00,45.00
2026-05-13T05:22:00Z,55.00,45.00
2026-05-13T05:23:00Z,56.00,45.00
2026-05-13T05:24:00Z,57.00,45.00
2026-05-13T05:31:00Z,57.00,45.00
