# event_ticker=KXATPCHALLENGERMATCH-26MAR31DENMCK
# final_score=7-6(3) 6-3
# score_resolution=6-7 3-6
# match_winner=Corentin Denolly
# fav_player=Maxwell McKennon
# dog_player=Corentin Denolly
# kalshi_date=2026-03-31
timestamp,Maxwell McKennon,Corentin Denolly
2026-03-31T10:04:00Z,33.00,
2026-03-31T10:51:00Z,32.00,75.00
2026-03-31T11:07:00Z,32.00,66.00
2026-03-31T12:57:00Z,36.00,66.00
2026-03-31T15:06:00Z,36.00,65.00
2026-03-31T15:49:00Z,36.00,66.00
2026-03-31T16:14:00Z,33.00,67.00
2026-03-31T18:25:00Z,35.00,67.00
2026-03-31T18:36:00Z,35.00,67.00
2026-03-31T18:53:00Z,35.00,67.00
2026-03-31T18:59:00Z,35.00,67.00
2026-03-31T19:01:00Z,35.00,66.00
2026-03-31T19:07:00Z,35.00,66.26
2026-03-31T19:16:00Z,35.00,66.29
2026-03-31T19:51:00Z,33.00,66.29
2026-03-31T20:01:00Z,33.00,69.00
2026-03-31T20:06:00Z,33.00,70.50
2026-03-31T20:07:00Z,33.00,63.00
2026-03-31T20:12:00Z,33.00,68.67
2026-03-31T20:13:00Z,30.00,70.00
2026-03-31T20:14:00Z,34.92,70.00
2026-03-31T20:15:00Z,28.00,69.00
2026-03-31T20:16:00Z,28.00,69.00
2026-03-31T20:17:00Z,23.00,75.00
2026-03-31T20:18:00Z,22.00,75.84
2026-03-31T20:19:00Z,20.00,79.64
2026-03-31T20:20:00Z,19.00,82.34
2026-03-31T20:21:00Z,21.72,80.00
2026-03-31T20:22:00Z,21.72,80.00
2026-03-31T20:23:00Z,23.00,78.00
2026-03-31T20:24:00Z,23.00,80.00
2026-03-31T20:25:00Z,18.82,82.88
2026-03-31T20:26:00Z,20.00,81.00
2026-03-31T20:27:00Z,19.42,81.00
2026-03-31T20:28:00Z,21.00,79.00
2026-03-31T20:29:00Z,20.38,81.00
2026-03-31T20:30:00Z,19.00,82.09
2026-03-31T20:31:00Z,22.00,77.00
2026-03-31T20:32:00Z,18.00,83.00
2026-03-31T20:34:00Z,20.00,81.00
2026-03-31T20:35:00Z,18.03,82.22
2026-03-31T20:36:00Z,19.00,82.55
2026-03-31T20:37:00Z,17.00,82.55
2026-03-31T20:38:00Z,17.00,80.00
2026-03-31T20:39:00Z,22.97,79.00
2026-03-31T20:40:00Z,25.00,72.84
2026-03-31T20:41:00Z,30.77,73.07
2026-03-31T20:42:00Z,41.37,60.97
2026-03-31T20:43:00Z,42.00,56.94
2026-03-31T20:44:00Z,43.13,58.00
2026-03-31T20:45:00Z,45.35,54.00
2026-03-31T20:46:00Z,45.35,57.98
2026-03-31T20:47:00Z,36.89,61.00
2026-03-31T20:48:00Z,31.79,61.00
2026-03-31T20:49:00Z,35.54,63.57
2026-03-31T20:50:00Z,39.29,63.57
2026-03-31T20:51:00Z,39.29,57.00
2026-03-31T20:52:00Z,43.35,57.00
2026-03-31T20:53:00Z,41.43,57.15
2026-03-31T20:54:00Z,43.88,58.80
2026-03-31T20:55:00Z,39.79,58.00
2026-03-31T20:56:00Z,45.99,54.29
2026-03-31T20:57:00Z,44.39,55.60
2026-03-31T20:59:00Z,43.00,63.14
2026-03-31T21:00:00Z,35.69,68.56
2026-03-31T21:01:00Z,27.76,73.52
2026-03-31T21:02:00Z,20.54,79.18
2026-03-31T21:03:00Z,17.02,83.59
2026-03-31T21:04:00Z,18.75,83.74
2026-03-31T21:05:00Z,15.00,85.00
2026-03-31T21:06:00Z,15.00,85.00
2026-03-31T21:07:00Z,15.00,85.00
2026-03-31T21:08:00Z,14.87,85.00
2026-03-31T21:09:00Z,14.06,86.62
2026-03-31T21:10:00Z,12.01,89.00
2026-03-31T21:11:00Z,10.49,89.46
2026-03-31T21:12:00Z,7.28,94.92
2026-03-31T21:13:00Z,6.98,94.05
2026-03-31T21:14:00Z,7.99,94.59
2026-03-31T21:15:00Z,7.78,92.14
2026-03-31T21:16:00Z,7.02,94.43
2026-03-31T21:17:00Z,3.39,96.36
2026-03-31T21:18:00Z,3.68,96.98
2026-03-31T21:19:00Z,3.40,97.91
2026-03-31T21:20:00Z,3.03,97.38
2026-03-31T21:21:00Z,2.20,98.09
2026-03-31T21:22:00Z,3.23,96.61
2026-03-31T21:23:00Z,3.08,98.70
2026-03-31T21:24:00Z,3.96,96.77
2026-03-31T21:25:00Z,4.91,95.20
2026-03-31T21:26:00Z,6.16,93.10
2026-03-31T21:27:00Z,8.29,92.39
2026-03-31T21:28:00Z,5.25,95.30
2026-03-31T21:29:00Z,3.01,98.00
2026-03-31T21:30:00Z,3.04,98.00
2026-03-31T21:31:00Z,3.00,97.00
2026-03-31T21:32:00Z,3.06,98.00
2026-03-31T21:33:00Z,4.00,96.45
2026-03-31T21:34:00Z,3.10,97.63
2026-03-31T21:35:00Z,1.53,98.99
2026-03-31T21:36:00Z,1.54,99.00
2026-03-31T21:37:00Z,1.04,99.00
2026-03-31T21:38:00Z,1.01,98.00
2026-03-31T21:39:00Z,3.00,97.14
2026-03-31T21:40:00Z,9.40,93.90
2026-03-31T21:41:00Z,8.78,94.89
2026-03-31T21:42:00Z,1.83,97.91
2026-03-31T21:43:00Z,1.00,99.00
