# event_ticker=KXATPCHALLENGERMATCH-26MAR31DHABLA
# final_score=5-7 6-3 6-2
# score_resolution=7-5 3-6 2-6
# match_winner=Ugo Blanchet
# fav_player=Manas Dhamne
# dog_player=Ugo Blanchet
# kalshi_date=2026-03-31
timestamp,Manas Dhamne,Ugo Blanchet
2026-04-01T22:37:00Z,31.00,
2026-04-01T22:54:00Z,31.00,67.00
2026-04-01T23:04:00Z,31.00,66.00
2026-04-01T23:19:00Z,31.00,67.00
2026-04-01T23:37:00Z,32.00,67.00
2026-04-01T23:39:00Z,32.00,67.00
2026-04-01T23:43:00Z,31.00,67.00
2026-04-02T00:05:00Z,31.00,66.00
2026-04-02T00:29:00Z,31.00,66.00
2026-04-02T00:39:00Z,31.00,66.00
2026-04-02T00:51:00Z,31.00,67.00
2026-04-02T00:54:00Z,31.00,67.00
2026-04-02T00:58:00Z,31.00,66.00
2026-04-02T01:03:00Z,31.00,66.00
2026-04-02T01:16:00Z,31.00,66.00
2026-04-02T01:39:00Z,31.00,67.00
2026-04-02T02:02:00Z,31.00,66.00
2026-04-02T02:14:00Z,32.00,66.00
2026-04-02T02:15:00Z,32.00,66.00
2026-04-02T02:29:00Z,32.00,66.00
2026-04-02T02:40:00Z,32.00,67.00
2026-04-02T03:03:00Z,32.00,67.30
2026-04-02T03:23:00Z,32.00,66.59
2026-04-02T03:25:00Z,32.00,66.59
2026-04-02T03:32:00Z,32.00,69.00
2026-04-02T03:44:00Z,32.00,66.00
2026-04-02T03:52:00Z,32.00,69.00
2026-04-02T03:53:00Z,32.00,69.00
2026-04-02T03:57:00Z,32.00,69.00
2026-04-02T04:05:00Z,32.00,69.00
2026-04-02T04:08:00Z,32.00,69.00
2026-04-02T04:13:00Z,32.00,69.00
2026-04-02T04:14:00Z,32.00,69.00
2026-04-02T04:15:00Z,32.00,69.00
2026-04-02T04:20:00Z,32.00,69.00
2026-04-02T04:30:00Z,32.00,65.10
2026-04-02T04:32:00Z,32.00,68.14
2026-04-02T04:34:00Z,32.00,69.00
2026-04-02T04:35:00Z,32.00,69.00
2026-04-02T04:42:00Z,32.00,69.00
2026-04-02T04:43:00Z,32.00,69.00
2026-04-02T04:45:00Z,32.00,69.00
2026-04-02T04:54:00Z,32.00,69.00
2026-04-02T04:55:00Z,32.00,66.00
2026-04-02T04:56:00Z,32.00,69.00
2026-04-02T05:04:00Z,32.00,69.00
2026-04-02T05:05:00Z,32.00,69.00
2026-04-02T05:07:00Z,32.00,69.00
2026-04-02T05:12:00Z,33.00,69.00
2026-04-02T05:14:00Z,33.00,69.00
2026-04-02T05:23:00Z,33.00,66.80
