# event_ticker=KXATPCHALLENGERMATCH-26MAY25POKPAR
# final_score=0-6 6-1 6-3
# match_winner=Lukas Pokorny
# fav_player=Lukas Pokorny
# dog_player=Tom Paris
# kalshi_date=2026-05-25
timestamp,Lukas Pokorny,Tom Paris
2026-05-25T03:26:00Z,,47.00
2026-05-25T08:58:00Z,55.00,47.00
2026-05-25T13:21:00Z,56.00,47.00
2026-05-25T13:32:00Z,56.00,47.00
2026-05-25T13:39:00Z,56.00,47.00
2026-05-25T13:52:00Z,56.00,47.00
2026-05-25T13:56:00Z,56.00,47.00
2026-05-25T14:01:00Z,56.00,47.00
2026-05-25T14:05:00Z,56.00,47.00
2026-05-25T14:06:00Z,53.00,49.00
2026-05-25T14:09:00Z,53.00,49.95
2026-05-25T14:10:00Z,51.00,50.00
2026-05-25T14:11:00Z,51.00,52.40
2026-05-25T14:12:00Z,51.00,50.00
2026-05-25T14:13:00Z,46.00,53.87
2026-05-25T14:14:00Z,41.98,61.84
2026-05-25T14:15:00Z,41.98,69.76
2026-05-25T14:16:00Z,33.34,65.41
2026-05-25T14:17:00Z,32.08,67.67
2026-05-25T14:18:00Z,32.00,67.67
2026-05-25T14:19:00Z,32.00,69.00
2026-05-25T14:20:00Z,32.00,68.00
2026-05-25T14:21:00Z,26.00,71.42
2026-05-25T14:22:00Z,23.00,75.97
2026-05-25T14:23:00Z,23.00,80.00
2026-05-25T14:24:00Z,23.00,81.00
2026-05-25T14:25:00Z,23.00,81.00
2026-05-25T14:26:00Z,18.08,82.23
2026-05-25T14:27:00Z,18.00,82.08
2026-05-25T14:29:00Z,18.00,82.08
2026-05-25T14:30:00Z,19.00,83.00
2026-05-25T14:31:00Z,19.00,82.93
2026-05-25T14:32:00Z,20.64,79.85
2026-05-25T14:33:00Z,29.59,70.83
2026-05-25T14:34:00Z,32.00,68.00
2026-05-25T14:35:00Z,33.00,67.04
2026-05-25T14:36:00Z,33.00,67.64
2026-05-25T14:37:00Z,35.25,66.01
2026-05-25T14:38:00Z,36.00,64.88
2026-05-25T14:39:00Z,35.66,65.00
2026-05-25T14:40:00Z,33.78,66.00
2026-05-25T14:41:00Z,35.67,65.00
2026-05-25T14:42:00Z,38.19,62.13
2026-05-25T14:43:00Z,40.00,60.18
2026-05-25T14:44:00Z,44.91,56.15
2026-05-25T14:45:00Z,47.43,54.46
2026-05-25T14:46:00Z,49.00,52.00
2026-05-25T14:47:00Z,49.98,50.83
2026-05-25T14:48:00Z,50.06,51.00
2026-05-25T14:49:00Z,51.01,48.78
2026-05-25T14:50:00Z,52.64,47.10
2026-05-25T14:51:00Z,53.96,46.10
2026-05-25T14:52:00Z,55.08,44.96
2026-05-25T14:53:00Z,56.00,44.00
2026-05-25T14:54:00Z,55.76,45.41
2026-05-25T14:55:00Z,57.51,42.06
2026-05-25T14:56:00Z,56.34,46.57
2026-05-25T14:57:00Z,58.96,40.77
2026-05-25T14:58:00Z,62.00,39.27
2026-05-25T14:59:00Z,55.40,46.35
2026-05-25T15:00:00Z,49.08,49.58
2026-05-25T15:01:00Z,44.77,59.19
2026-05-25T15:02:00Z,39.55,59.41
2026-05-25T15:03:00Z,34.34,64.74
2026-05-25T15:04:00Z,27.00,73.00
2026-05-25T15:05:00Z,30.22,70.12
2026-05-25T15:06:00Z,31.29,69.83
2026-05-25T15:07:00Z,40.11,59.89
2026-05-25T15:08:00Z,53.70,52.02
2026-05-25T15:09:00Z,57.71,41.86
2026-05-25T15:10:00Z,64.40,35.24
2026-05-25T15:11:00Z,65.00,36.00
2026-05-25T15:12:00Z,67.23,32.15
2026-05-25T15:13:00Z,60.69,40.09
2026-05-25T15:14:00Z,64.67,38.11
2026-05-25T15:15:00Z,73.55,31.92
2026-05-25T15:16:00Z,87.69,13.97
2026-05-25T15:17:00Z,95.98,4.21
2026-05-25T15:18:00Z,97.00,3.07
2026-05-25T15:19:00Z,96.07,3.75
2026-05-25T15:20:00Z,96.74,4.00
2026-05-25T15:21:00Z,96.00,4.62
2026-05-25T15:22:00Z,96.33,3.20
2026-05-25T15:23:00Z,99.00,1.08
2026-05-25T15:27:00Z,99.00,1.08
