# event_ticker=KXATPMATCH-26MAR06BROTIA
# final_score=6-4 6-2
# match_winner=Frances Tiafoe
# fav_player=Frances Tiafoe
# dog_player=Jenson Brooksby
# kalshi_date=2026-03-06
timestamp,Frances Tiafoe,Jenson Brooksby
2026-03-06T12:04:00Z,,48.00
2026-03-06T12:06:00Z,53.00,48.00
2026-03-06T12:11:00Z,53.00,48.00
2026-03-06T12:16:00Z,53.00,48.00
2026-03-06T12:19:00Z,53.00,48.00
2026-03-06T12:23:00Z,53.00,48.00
2026-03-06T12:26:00Z,53.00,48.00
2026-03-06T12:32:00Z,53.00,48.00
2026-03-06T12:41:00Z,53.00,48.00
2026-03-06T12:44:00Z,53.00,48.00
2026-03-06T12:49:00Z,53.00,48.00
2026-03-06T12:52:00Z,53.00,48.00
2026-03-06T12:53:00Z,53.00,48.00
2026-03-06T12:54:00Z,53.00,48.00
2026-03-06T12:55:00Z,53.00,48.68
2026-03-06T12:56:00Z,53.00,49.00
2026-03-06T12:59:00Z,53.00,49.00
2026-03-06T13:01:00Z,53.00,49.00
2026-03-06T13:10:00Z,53.00,49.00
2026-03-06T13:33:00Z,53.00,49.00
2026-03-06T13:36:00Z,53.00,49.00
2026-03-06T13:41:00Z,53.00,49.00
2026-03-06T13:45:00Z,53.00,47.00
2026-03-06T13:47:00Z,52.00,47.00
2026-03-06T13:49:00Z,52.00,49.00
2026-03-06T13:50:00Z,52.00,49.00
2026-03-06T13:55:00Z,53.00,49.00
2026-03-06T14:01:00Z,53.00,49.00
2026-03-06T14:04:00Z,54.00,49.00
2026-03-06T14:05:00Z,54.00,49.00
2026-03-06T14:07:00Z,53.00,49.00
2026-03-06T14:13:00Z,53.00,49.00
2026-03-06T14:14:00Z,53.00,49.00
2026-03-06T14:17:00Z,53.00,49.00
2026-03-06T14:22:00Z,53.00,49.00
2026-03-06T14:24:00Z,53.00,49.00
2026-03-06T14:26:00Z,53.00,49.00
2026-03-06T14:27:00Z,53.00,49.00
2026-03-06T14:28:00Z,53.00,49.00
2026-03-06T14:29:00Z,53.00,49.00
2026-03-06T14:32:00Z,53.00,49.00
2026-03-06T14:34:00Z,53.00,49.00
2026-03-06T14:40:00Z,52.27,49.00
2026-03-06T14:48:00Z,53.00,49.00
2026-03-06T14:53:00Z,53.00,49.00
2026-03-06T14:59:00Z,53.00,49.00
