# event_ticker=KXATPMATCH-25JUL13KACFIC
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Juan Pablo Ficovich
# fav_player=Alibek Kachmazov
# dog_player=Juan Pablo Ficovich
# kalshi_date=2025-07-13
timestamp,Alibek Kachmazov,Juan Pablo Ficovich
2025-07-14T16:28:00Z,64.00,
2025-07-14T16:36:00Z,61.81,
2025-07-14T17:48:00Z,62.00,
2025-07-14T17:50:00Z,62.00,40.00
2025-07-14T18:20:00Z,62.00,40.00
2025-07-14T18:25:00Z,62.00,40.00
2025-07-14T18:50:00Z,62.00,40.00
2025-07-14T19:01:00Z,62.00,40.00
2025-07-14T19:11:00Z,62.00,40.00
2025-07-14T19:14:00Z,62.00,40.00
2025-07-14T19:16:00Z,62.00,40.00
2025-07-14T19:48:00Z,62.00,40.00
2025-07-14T19:56:00Z,62.00,40.00
2025-07-14T20:17:00Z,62.00,40.00
2025-07-14T20:22:00Z,62.00,40.00
2025-07-14T20:27:00Z,61.00,40.00
2025-07-14T20:32:00Z,61.00,40.00
2025-07-14T20:34:00Z,61.00,40.00
2025-07-14T20:39:00Z,61.00,40.00
2025-07-14T21:08:00Z,61.00,40.00
2025-07-14T21:15:00Z,61.00,40.00
2025-07-14T21:25:00Z,61.00,40.00
2025-07-14T21:28:00Z,61.00,40.00
2025-07-14T21:30:00Z,61.00,40.00
2025-07-14T21:39:00Z,61.00,40.00
2025-07-14T22:01:00Z,61.00,40.00
2025-07-14T22:12:00Z,61.51,40.00
2025-07-14T22:23:00Z,62.00,40.00
2025-07-14T23:06:00Z,62.00,40.00
2025-07-14T23:12:00Z,62.00,40.00
2025-07-14T23:17:00Z,62.00,40.00
2025-07-14T23:36:00Z,61.00,40.00
2025-07-15T00:12:00Z,62.00,40.00
2025-07-15T00:29:00Z,62.00,40.00
2025-07-15T00:30:00Z,62.00,40.00
2025-07-15T01:02:00Z,62.00,40.00
2025-07-15T01:18:00Z,62.00,40.00
2025-07-15T01:30:00Z,62.00,39.00
2025-07-15T01:45:00Z,2.00,39.00
2025-07-15T01:46:00Z,63.00,39.00
2025-07-15T01:47:00Z,63.00,39.00
2025-07-15T02:02:00Z,63.00,39.00
2025-07-15T02:05:00Z,63.00,39.00
2025-07-15T02:11:00Z,63.00,39.00
2025-07-15T02:22:00Z,63.00,39.00
2025-07-15T02:33:00Z,63.00,39.00
2025-07-15T02:37:00Z,2.00,39.00
2025-07-15T02:39:00Z,2.00,38.00
2025-07-15T02:43:00Z,2.00,39.00
2025-07-15T02:46:00Z,2.00,39.00
2025-07-15T02:58:00Z,63.00,39.00
2025-07-15T02:59:00Z,63.00,39.00
2025-07-15T03:06:00Z,63.00,39.00
2025-07-15T03:10:00Z,63.00,39.00
2025-07-15T03:13:00Z,63.13,39.00
2025-07-15T03:23:00Z,63.00,39.00
2025-07-15T03:24:00Z,63.00,38.00
2025-07-15T03:26:00Z,63.00,38.00
2025-07-15T03:35:00Z,63.00,38.00
2025-07-15T03:37:00Z,63.00,38.93
2025-07-15T03:38:00Z,63.00,39.00
2025-07-15T03:50:00Z,63.00,39.00
2025-07-15T03:58:00Z,62.00,39.00
2025-07-15T03:59:00Z,62.00,39.00
2025-07-15T04:01:00Z,62.00,52.41
2025-07-15T04:03:00Z,62.00,52.41
2025-07-15T04:05:00Z,62.00,39.00
2025-07-15T04:08:00Z,62.00,39.00
2025-07-15T04:09:00Z,63.00,39.00
2025-07-15T04:10:00Z,63.00,38.53
