# event_ticker=KXATPMATCH-25JUL27KECHAL
# final_score=4-6 6-4 7-5
# match_winner=Miomir Kecmanovic
# fav_player=Miomir Kecmanovic
# dog_player=Quentin Halys
# kalshi_date=2025-07-27
timestamp,Miomir Kecmanovic,Quentin Halys
2025-07-27T12:39:00Z,,46.00
2025-07-27T13:00:00Z,60.00,46.00
2025-07-27T13:49:00Z,60.00,42.00
2025-07-27T14:01:00Z,60.00,40.00
2025-07-27T14:28:00Z,61.00,40.00
2025-07-27T15:03:00Z,61.00,40.70
2025-07-27T15:04:00Z,61.00,41.00
2025-07-27T15:39:00Z,61.63,41.00
2025-07-27T15:44:00Z,61.63,40.00
2025-07-27T18:38:00Z,63.00,40.00
2025-07-27T18:42:00Z,63.00,39.00
2025-07-27T19:41:00Z,63.00,39.00
2025-07-27T19:44:00Z,62.71,39.00
2025-07-27T19:46:00Z,62.71,39.00
2025-07-27T19:49:00Z,63.00,39.00
2025-07-27T19:58:00Z,63.00,39.00
2025-07-27T20:56:00Z,62.00,39.00
2025-07-27T21:01:00Z,62.00,39.00
2025-07-27T21:04:00Z,62.00,39.00
2025-07-27T21:14:00Z,62.00,39.00
2025-07-27T21:23:00Z,62.00,39.00
2025-07-27T21:39:00Z,62.00,39.00
2025-07-27T21:42:00Z,62.00,39.00
2025-07-27T21:51:00Z,62.00,39.00
2025-07-27T21:54:00Z,62.00,39.00
2025-07-27T22:20:00Z,67.51,39.00
2025-07-27T23:24:00Z,67.51,39.00
2025-07-27T23:27:00Z,68.84,39.00
2025-07-27T23:29:00Z,71.00,39.00
2025-07-27T23:39:00Z,71.00,41.00
2025-07-27T23:40:00Z,64.00,41.00
2025-07-27T23:44:00Z,66.00,41.00
2025-07-27T23:47:00Z,66.00,40.00
2025-07-27T23:50:00Z,62.00,40.00
2025-07-27T23:51:00Z,62.00,40.00
2025-07-27T23:54:00Z,62.00,43.00
2025-07-27T23:55:00Z,62.00,43.00
2025-07-27T23:56:00Z,55.82,44.54
2025-07-27T23:57:00Z,49.50,51.91
2025-07-27T23:58:00Z,53.02,49.43
2025-07-27T23:59:00Z,58.00,49.43
2025-07-28T00:02:00Z,58.00,48.19
2025-07-28T00:04:00Z,58.00,47.00
2025-07-28T00:05:00Z,57.71,47.00
2025-07-28T00:06:00Z,56.00,49.20
2025-07-28T00:07:00Z,60.00,40.84
2025-07-28T00:08:00Z,60.00,39.27
2025-07-28T00:09:00Z,64.68,37.00
2025-07-28T00:10:00Z,62.63,41.00
2025-07-28T00:12:00Z,62.63,44.00
2025-07-28T00:13:00Z,59.00,44.00
