# event_ticker=KXATPCHALLENGERMATCH-26MAR20HUEZIN
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Tyler Zink
# fav_player=Marc-Andrea Huesler
# dog_player=Tyler Zink
# kalshi_date=2026-03-20
timestamp,Marc-Andrea Huesler,Tyler Zink
2026-03-20T15:07:00Z,74.00,
2026-03-20T16:49:00Z,72.00,
2026-03-20T17:24:00Z,74.00,
2026-03-20T20:21:00Z,74.00,28.00
2026-03-20T20:38:00Z,73.00,28.00
2026-03-20T20:39:00Z,73.00,28.00
2026-03-20T21:30:00Z,73.00,28.00
2026-03-20T21:42:00Z,73.00,26.00
2026-03-20T22:02:00Z,73.00,27.00
2026-03-20T22:22:00Z,74.00,27.00
2026-03-20T22:33:00Z,74.00,27.87
2026-03-20T22:42:00Z,74.00,27.00
2026-03-20T22:46:00Z,74.00,27.00
2026-03-20T22:56:00Z,75.00,27.00
2026-03-20T23:08:00Z,74.00,27.00
2026-03-20T23:16:00Z,74.00,27.00
2026-03-20T23:29:00Z,74.00,27.00
2026-03-20T23:30:00Z,73.60,27.00
2026-03-20T23:33:00Z,74.00,27.00
2026-03-20T23:49:00Z,74.00,27.00
2026-03-20T23:50:00Z,78.80,26.00
2026-03-20T23:52:00Z,78.80,25.00
2026-03-20T23:53:00Z,77.00,25.00
2026-03-20T23:54:00Z,77.00,25.00
2026-03-20T23:55:00Z,76.00,25.00
2026-03-20T23:57:00Z,74.11,25.00
2026-03-20T23:58:00Z,71.86,36.63
2026-03-20T23:59:00Z,70.00,36.63
2026-03-21T00:00:00Z,72.00,36.63
2026-03-21T00:01:00Z,72.00,36.63
2026-03-21T00:02:00Z,72.00,36.63
2026-03-21T00:03:00Z,72.50,36.63
2026-03-21T00:04:00Z,77.00,36.63
2026-03-21T00:05:00Z,71.00,36.63
2026-03-21T00:06:00Z,71.00,32.00
2026-03-21T00:07:00Z,66.00,34.97
2026-03-21T00:08:00Z,68.00,34.97
2026-03-21T00:09:00Z,67.00,34.97
2026-03-21T00:10:00Z,69.00,31.00
2026-03-21T00:12:00Z,65.57,31.00
2026-03-21T00:13:00Z,65.18,31.00
2026-03-21T00:14:00Z,69.00,31.00
2026-03-21T00:16:00Z,69.00,33.00
2026-03-21T00:17:00Z,69.00,33.00
2026-03-21T00:18:00Z,65.00,36.00
2026-03-21T00:19:00Z,63.50,39.44
2026-03-21T00:20:00Z,53.00,45.21
2026-03-21T00:21:00Z,42.14,53.10
2026-03-21T00:22:00Z,39.20,53.10
2026-03-21T00:23:00Z,38.86,67.65
2026-03-21T00:24:00Z,39.31,55.00
2026-03-21T00:25:00Z,46.22,55.81
2026-03-21T00:26:00Z,43.55,51.78
2026-03-21T00:27:00Z,45.90,56.69
2026-03-21T00:28:00Z,40.76,63.07
2026-03-21T00:29:00Z,35.76,63.07
2026-03-21T00:30:00Z,34.00,68.00
2026-03-21T00:31:00Z,35.00,68.00
2026-03-21T00:32:00Z,27.37,72.72
2026-03-21T00:33:00Z,23.69,81.97
2026-03-21T00:34:00Z,15.89,81.97
2026-03-21T00:35:00Z,12.08,88.06
2026-03-21T00:36:00Z,12.73,88.00
2026-03-21T00:37:00Z,13.78,86.66
2026-03-21T00:38:00Z,14.00,86.28
2026-03-21T00:39:00Z,11.12,89.00
2026-03-21T00:40:00Z,9.90,90.68
2026-03-21T00:41:00Z,8.77,93.90
2026-03-21T00:42:00Z,9.00,91.00
2026-03-21T00:43:00Z,10.00,90.00
2026-03-21T00:44:00Z,10.00,90.00
2026-03-21T00:46:00Z,6.36,91.70
2026-03-21T00:47:00Z,8.00,92.86
2026-03-21T00:48:00Z,8.00,92.00
2026-03-21T00:49:00Z,8.00,93.00
2026-03-21T00:50:00Z,4.00,95.95
2026-03-21T00:51:00Z,4.00,96.99
2026-03-21T00:52:00Z,2.94,97.95
2026-03-21T00:53:00Z,1.00,99.00
2026-03-21T01:00:00Z,1.00,99.00
